gene_id	LAU125_TPM	LAU125_FPKM	LAU355_TPM	LAU355_FPKM	LAU1255_TPM	LAU1255_FPKM	LAU1314_TPM	LAU1314_FPKM
ENSG00000008277	4.61	3.42	0.91	0.8	0.89	0.82	0.68	0.59
ENSG00000008282	176.01	130.57	121.34	107.63	54.73	50.57	180.25	155.19
ENSG00000008283	2.1	1.56	2.31	2.05	3.58	3.31	2.18	1.87
ENSG00000008294	132.92	98.61	20.61	18.28	45.01	41.59	23.43	20.17
ENSG00000008300	0.42	0.31	1.38	1.23	0.71	0.65	0.59	0.5
ENSG00000008311	23.91	17.74	2.45	2.17	6.13	5.66	3	2.59
ENSG00000008323	0.04	0.03	0.08	0.07	0	0	0.02	0.02
ENSG00000008324	11.8	8.75	19.07	16.91	19.12	17.66	26.92	23.18
ENSG00000008382	2.29	1.7	4.04	3.58	3.98	3.68	5.04	4.34
ENSG00000008394	2.85	2.12	0.96	0.85	1.12	1.03	0.78	0.67
ENSG00000008405	3.92	2.91	4.3	3.81	4.07	3.76	4.15	3.58
ENSG00000008438	0	0	0.03	0.03	0	0	0	0
ENSG00000008441	4.11	3.05	0.37	0.32	5.14	4.75	0.36	0.31
ENSG00000008513	88.46	65.63	61.27	54.35	25.9	23.93	45.06	38.8
ENSG00000008516	0	0	0.64	0.56	0.41	0.38	0.42	0.37
ENSG00000008517	3.46	2.57	224.89	199.48	142.64	131.8	158.05	136.09
ENSG00000008710	6.39	4.74	9.07	8.04	3.95	3.65	6.61	5.69
ENSG00000008735	1.4	1.04	0.07	0.06	4.3	3.97	0.01	0.01
ENSG00000008838	10.85	8.05	15.65	13.88	11.81	10.91	18.63	16.04
ENSG00000008853	18.2	13.5	28.6	25.37	7.93	7.33	39.21	33.76
ENSG00000008869	14.32	10.62	18.41	16.33	7.27	6.72	21.99	18.93
ENSG00000008952	146.54	108.71	113.63	100.79	77.86	71.94	125.64	108.18
ENSG00000008988	2629	1950.36	4263.16	3781.52	2056.49	1900.16	4047.84	3485.19
ENSG00000009307	736.24	546.19	426.31	378.15	306.16	282.88	451.49	388.73
ENSG00000009335	55.05	40.84	39.57	35.1	21.93	20.26	39.44	33.96
ENSG00000009413	81.48	60.44	24.84	22.03	11.13	10.28	21.99	18.94
ENSG00000009694	0.25	0.19	0.35	0.31	0.19	0.18	0.14	0.12
ENSG00000009709	0.02	0.02	0	0	0	0	0	0
ENSG00000009724	0.87	0.64	0.73	0.64	0.15	0.14	0.63	0.54
ENSG00000009765	0.04	0.03	0.2	0.18	0.03	0.03	0.1	0.08
ENSG00000009780	6.45	4.79	6.68	5.93	5.78	5.34	7.82	6.73
ENSG00000009790	3.79	2.81	139.24	123.51	28.31	26.16	134.89	116.14
ENSG00000009830	3.65	2.71	1.09	0.96	4.75	4.39	0.97	0.83
ENSG00000009844	56.98	42.27	33.23	29.47	17.86	16.5	40.37	34.76
ENSG00000009950	0.1	0.08	0.71	0.63	0.37	0.34	0.65	0.56
ENSG00000009954	48.84	36.23	28.59	25.36	23.22	21.45	37.3	32.11
ENSG00000010017	32.62	24.2	30.99	27.49	25.1	23.19	31.19	26.85
ENSG00000010030	0.38	0.29	0.78	0.69	4.04	3.74	1.18	1.02
ENSG00000010072	9.52	7.06	10.35	9.18	5.85	5.41	9.07	7.81
ENSG00000010165	24.81	18.41	19.16	16.99	17.51	16.17	25.7	22.13
ENSG00000010219	9.24	6.85	8.93	7.92	6.28	5.8	7.64	6.58
ENSG00000010244	113.66	84.32	88.35	78.37	64.17	59.29	98.51	84.82
ENSG00000010256	142.19	105.48	70.07	62.15	130.77	120.83	75.97	65.41
ENSG00000010270	76.67	56.88	22.44	19.9	25.56	23.62	23.21	19.99
ENSG00000010278	188.07	139.52	9.59	8.51	107.14	99	9.43	8.12
ENSG00000010282	189	140.21	0.05	0.05	439.2	405.82	1.76	1.52
ENSG00000010292	36.11	26.79	23.5	20.84	13.13	12.13	37.09	31.94
ENSG00000010295	9.95	7.38	6.7	5.94	7.36	6.8	6.61	5.7
ENSG00000010310	0	0	0.12	0.11	0.21	0.2	0.32	0.27
ENSG00000010318	4.59	3.41	5.89	5.22	5.08	4.69	4.03	3.47
ENSG00000010319	0.08	0.06	0	0	0.09	0.08	0.11	0.1
ENSG00000010322	35.96	26.68	28.52	25.3	32.64	30.16	31.03	26.71
ENSG00000010327	0.56	0.41	5.48	4.86	7.88	7.28	0.72	0.62
