"AGENE","CD56NK","CD4MemoryT","CD19B","CD14"
"AC007349.5",0.0059429958,0.0002332362,0,0
"AC007365.3",0.0014554275,0,0,0.0012269939
"AC007381.2",0,0,0.0022656809,0
"AC007381.3",0,0,0.0014309564,0
"AC007382.1",0.0010915706,0.0006997085,0.0002384927,0
"AC007383.3",0.0077622802,0.0047813411,0.0041736227,0.0016359918
"AC007383.4",0.0004851425,0.0001166181,0.0001192464,0
"AC007386.2",0,0,0.0066777963,0
"AC007391.2",0,0,0,0.0008179959
"AC007401.2",0.0006064281,0.0001166181,0.0003577391,0
"AC007405.6",0.0006064281,0.0001166181,0.0002384927,0
"AC007463.2",0.0001212856,0,0,0
"AC007551.3",0.0014554275,0.0010495627,0.0011924636,0
"AC007556.3",0,0,0.0001192464,0
"AC007563.3",0,0,0,0
"AC007566.10",0.0007277138,0.0003498542,0,0
"AC007620.3",0,0,0.0003577391,0
"AC007773.2",0.0035172832,0.0006997085,0.0010732173,0.000408998
"AC007773.3",0.0002425713,0.0001166181,0,0.000408998
"AC007879.2",0,0.0002332362,0.0015502027,0
"AC007879.3",0,0,0.0001192464,0
"AC007879.4",0.0001212856,0,0,0
"AC007879.5",0,0.0001166181,0,0.000408998
"AC007879.7",0,0,0,0
"AC007880.1",0,0,0.0076317672,0.0008179959
"AC007950.1",0,0,0,0.000408998
"AC007970.1",0,0,0,0
"AC008074.3",0,0,0.0001192464,0
"AC008088.4",0.0007277138,0.0002332362,0,0
"AC008154.4",0,0,0,0.000408998
"AC008174.3",0,0.0001166181,0.0002384927,0
"AC008267.1",0,0,0.0001192464,0
"AC008268.1",0,0,0.0001192464,0
"AC008269.2",0,0,0,0.000408998
"AC008277.1",0.0001212856,0,0,0
"AC008440.10",0,0,0,0.0008179959
"AC008440.5",0.0001212856,0,0,0.000408998
"AC008443.1",0.000970285,0.0004664723,0.0007154782,0
"AC008592.8",0,0,0.0001192464,0
"AC008697.1",0,0.0002332362,0.0005962318,0
"AC008746.12",0,0,0.0004769855,0
