"AABleh","cytotoxic.CD56.dim.NK.cell","memory.CD4.pos.AB.T.cell","memory.B.cell","CD14.pos.CD16.neg.classical.monocyte"
"BRAP",6.8735714286,6.3267857143,5.6151428571,5.8300857143
"RNF167",62.5351428571,47.0731428572,32.0934285714,22.8609142857
"RNF166",77.7371428571,78.3441428572,15.0091428571,68.9734
"RNF165",5.1743571429,0.1642142857,0,0.0235428571
"RNF169",15.3193571429,9.9628571429,7.5694285714,14.9856285714
"RNF168",11.8421428571,12.8155714286,6.2405714286,9.3576571429
"C8orf76",10.7404285714,7.5721428572,6.7217142857,7.7952571428
"NEDD4L",1.0467142858,2.506,4.5421428571,3.0988857143
"TM2D3",24.7436428572,29.2958571429,25.4298571429,20.0252285714
"PLEKHM3",6.7077142857,4.6868571429,4.476,7.2322857143
"ZBTB44",39.2581428571,19.9615714286,17.2357142857,12.1343714286
"BRAF",14.3825714286,12.7829285715,15.9885714286,10.5080285714
"ZBTB46",0.0202857143,0.4235714286,0.1197142857,0.9319142857
"ZBTB47",0.7328571429,0.4948571429,0.0814285714,4.2690857143
"ZBTB48",14.567,14.0135,17.9002857143,15.4342
"ALOX15B",0,0,0,1.0766
"IFITM10",0.5112142857,0.1256428572,0.1557142857,1.6290285714
"VPS4A",17.8107857143,20.1117857143,20.0814285714,11.5154285714
"TLCD2",0.0267857143,0.2981428571,0.0294285714,0.1203142857
"PSMD9",19.2120714286,19.707,11.5905714286,18.9622
"ZNF609",20.4812857143,23.0487142857,8.3877142857,11.1833714286
"SYNPO",0.0095714286,0.0126428572,2.8578571429,0.0059428571
"DRICH1",0.1569285714,0.2096428572,0,0.1765142857
"CTC1",15.2742857143,21.7343571429,32.46,6.0729714286
"XRCC2",0.2762857143,0.2057857143,0.1328571429,0.0340285714
"P4HA2",0.0497142858,0.1255714286,0.069,0.6965142857
"GOLGA6L17P",0.393,0.62,0.678,0.5608857143
"ANP32E",30.3316428572,50.2254285715,29.4837142857,15.0630571428
"ANP32B",9.093,18.3018571429,12.472,9.4805142857
"ANP32A",50.4407857143,42.2808571429,59.7997142857,72.9410285714
"FDXR",1.9786428572,1.695,1.0095714286,1.0607714286
"ZFYVE19",6.8562857143,6.3162857143,5.081,5.2222
"NTNG1",0.0623571429,0,1.3084285714,0.0024285714
"NTNG2",2.159,0.259,0.4375714286,1.3148
"RPF1",28.4174285714,34.2945714286,21.1125714286,14.9832571428
"RPF2",3.2573571429,3.6718571429,3.166,3.9207428571
"ZFYVE16",5.9749285714,3.5505714286,5.237,23.0205142857
"ALMS1",9.4181428572,9.9627857143,8.3331428571,4.8394
"TAZ",14.034,28.604,25.7495714286,17.8078
"SLC43A2",1.266,0.3478571429,14.0411428571,54.4564285714
"ATRNL1",0,0.0824285715,1.6404285714,0.0670285714
"MRPL55",30.7121428571,41.1790714286,32.8357142857,15.9169428571
"MRPL57",6.7744285714,10.1905,5.9305714286,4.7511142857
"MRPL50",4.5869285714,6.1022857143,4.678,1.8909714286
"MRPL51",33.2384285714,24.4078571429,22.034,22.1262285714
"MRPL52",29.1348571429,29.8945,35.971,27.2566571429
"MALT1",13.0935,37.0669285715,21.6274285714,17.631
"TNFAIP8L2-SCNM1",28.942,24.8898571429,22.4037142857,35.5902
"MRPL58",10.6053571428,16.3822142857,10.0415714286,8.6350857143
"UBE2R2",5.8975714286,4.8406428572,5.856,14.5929714286
"LCN10",0.0171428572,0.0515,9.2575714286,0.0103714286
"PRKRIP1",8.7261428572,13.7145714286,10.774,7.9686857143
"ZNF688",9.3617857143,8.3082857143,6.6125714286,3.6530285714
"ATP8",67.7501428571,64.9777142857,27.7401428571,116.4392
"NATD1",2.1658571429,1.0964285715,0.4727142857,2.4213428571
"TRIQK",0.2554285715,1.3127857143,1.1348571429,13.3655428571
"ZNF682",1.3882857143,1.5647857143,0.8767142857,0.3183714286
"STK16",10.1917142857,7.1415,8.308,6.2974857143
"ZNF680",7.0205,8.4544285714,8.5654285714,2.156
"ZNF681",0.7277857143,0.9460714286,0.7942857143,0.1444857143
"ATP6",84.2385,64.3597142858,74.5231428571,136.6684
"ZNF684",1.926,1.0567142857,1.4021428571,1.1202857143
"AP5M1",11.4784285714,11.6585714286,12.4377142857,10.6228285714
"PPP1R9A",0.5551428571,0,0.105,0.0011428571
"PCDHGC3",0.1905,0.0421428572,0.1791428571,0.0647142857
"IQCG",2.9244285714,2.6464285715,3.0194285714,3.1932857143
"IQCE",1.545,1.4488571429,0.8647142857,3.8724857143
"IQCD",0.7987142857,0.074,0.166,0.6189142857
"IQCK",0.214,0.7542857143,0.9171428571,0.2017714286
"TRAF3IP1",2.1345714286,2.2276428572,1.9634285714,1.3821142857
"PPP1R9B",37.3905714286,41.4717142858,85.9885714286,61.1985714286
"WDTC1",16.7128571428,7.4876428572,8.4234285714,9.2856285714
"OR52K1",0,0,0,0.5610857143
"MBTD1",7.3731428572,7.259,9.1098571429,8.2735714286
"SYAP1",13.4172142857,10.6967142857,7.581,9.6389714286
"ANGPTL6",1.1651428572,0.5330714286,2.0652857143,0.2079714286
"POP1",1.978,0.8847142857,0.706,0.6892
"POP7",13.8184285714,10.1318571429,9.6757142857,6.0851428571
"POP5",22.9448571429,23.8811428571,26.4967142857,10.3712857143
"POP4",35.0884285715,28.397,27.2828571429,23.9692571429
"PID1",0.0394285715,0,0,27.6932571429
"FDX1",3.9639285715,6.6025,3.854,3.6359714286
"CTCF",20.3907142857,16.9997857143,19.9108571429,8.7478571428
"SRSF10",57.613,88.509,89.653,51.197
"MMP14",0.0501428572,0.086,0.1557142857,2.3387428571
"RASGRP3",0.2555714286,1.2818571429,36.5122857143,0.2738285714
"MMP17",0.0107142857,0.0521428572,0.7834285714,8.9416857143
"MMP11",0.2342142857,0.3524285715,2.4697142857,0.0042
"RASGRP4",0.0432857143,0.0832857143,0.0442857143,27.4627428572
"DSTYK",3.1082857143,3.8065714286,2.7271428571,4.5785142857
"NAA60",11.3104285714,9.7199285715,11.0687142857,12.8467142857
"MMP19",0.034,0,0.0442857143,0.4919142857
"MYO18A",19.3343571428,36.4688571429,34.5715714286,20.6694
"PRG2",0.0171428572,0.0730714286,0.0568571429,0.9021428571
"ZNF219",1.2031428572,1.5928571429,0.4288571429,1.2474571428
"MEI1",42.8354285714,57.158,20.2865714286,10.3921428571
"HSCB",6.8140714286,3.3911428572,4.9957142857,4.4189142857
"SP140L",15.0545,24.6144285715,44.7394285714,12.1272571429
"MGC12916",2.1859285715,1.8364285714,0.1197142857,1.2296857143
"MIR2861",23.3002857143,16.9280714286,17.0085714286,23.1480857143
"TIMM23B",6.2962142857,7.1777857143,7.9127142857,6.3444857143
"PPP1R15B",26.0611428571,36.8977142858,32.7461428571,73.3311714286
"NF2",12.8037142857,8.44,8.1037142857,6.6823142857
