,"Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Vascular_Endothelial_Cells","Keratinocytes","Blood_CD34._cells","Platelets"
"MTMR8",26.3157864224,24.2849998022,24.1000279931,24.5377135511,23.9408932529,22.5670661161,22.4865199257,21.0971912782,22.7329725127,26.7938004742
"MTMR9",106.9732977278,83.4884154167,148.7423113644,124.9900760844,160.4185617789,101.0961995844,93.5714802467,106.5580157933,127.0892683089,129.14140152
"MTMR9L",26.8418388983,26.3893978562,24.5678027571,23.210444158,24.6877397827,23.5922190462,19.8333637853,22.9197526029,21.9783178798,32.4983505438
"MTNR1A",15.1348513442,16.2241629513,15.2941533056,15.2626414033,14.4802193982,14.934834152,15.7687018767,14.8311191487,14.1730292912,14.5429226658
"MTNR1B",21.4314874282,21.2741778822,20.6904833616,20.0914605507,20.9262657709,19.8041683189,19.8928071456,19.9868823914,20.4484213607,19.0745387676
"MTO1",41.8318397922,201.6330476578,147.5049322878,153.1586812233,363.2942787022,144.7737701933,132.5855958311,205.8699352178,243.3826702778,147.0856053911
"MTOR",43.7016250573,52.5235928162,44.5235860168,46.2391871067,49.6648291549,41.7285578422,48.4546679559,44.583890836,45.5899096209,49.1953077922
"MTPAP",75.8795317897,312.7399368322,240.5463743933,236.8778637244,335.1075771556,193.8438294244,216.1941886533,275.1436862178,520.4206659422,116.3642149333
"MTR",44.7261159092,253.2513616778,136.5022354056,196.1618924444,411.4328873822,256.6062957311,235.53006804,132.8655906044,383.3719284289,560.9927727622
"MTRF1",21.0131943833,54.8249878453,24.91068339,29.457017541,45.7656584471,29.4601853397,29.7820604778,34.2042017451,43.375911948,18.0716685229
