"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"NDNL2",64.224196,60.2176,57.350329,47.073321
"NDOR1",39.790864,36.820624,37.970244,41.139396
"NDP",13.155129,13.191424,12.453841,18.292729
"NDRG1",75.3424,69.189124,86.527204,92.563641
"NDRG2",28.955161,28.987456,31.899904,31.460881
"NDRG3",44.408896,51.768025,52.2729,44.662489
"NDRG4",29.073664,26.512201,26.040609,26.01
"NDST1",30.824704,27.573001,28.462225,40.551424
"NDST2",42.302016,43.138624,45.265984,51.868804
"NDST3",13.111641,13.155129,13.286025,13.593969
"NDST4",13.8384,14.523721,14.122564,14.311089
"NDUFA1",115.906756,121.2201,118.1569,113.976976
"NDUFA10",31.326409,31.5844,30.371121,30.162064
"NDUFA11",63.234304,68.095504,66.945124,68.757264
"NDUFA12",113.784889,121.6609,122.257249,112.848129
"NDUFA13",95.961616,93.586276,89.472681,95.082001
"NDUFA2",41.783296,43.877376,40.551424,42.302016
"NDUFA3",83.338641,92.717641,91.5849,87.7969
"NDUFA4",119.180889,119.727364,114.361636,115.025625
"NDUFA4L2",31.203396,25.674489,28.611801,30.272004
"NDUFA5",49.519369,51.926436,48.608784,41.3449
"NDUFA6",82.700836,93.741124,88.472836,84.916225
"NDUFA7",45.711121,46.049796,45.454564,45.010681
"NDUFA8",71.825625,74.149321,80.209936,74.545956
"NDUFA9",87.890625,86.397025,80.838081,78.960996
"NDUFAB1",94.789696,105.226564,101.062809,99.221521
"NDUFAF1",63.744256,56.8516,64.770304,58.967041
"NDUFAF2",57.9121,59.9076,62.457409,55.6516
"NDUFAF3",67.420521,67.190809,70.023424,70.123876
"NDUFAF4",50.779876,53.129521,56.265001,37.638225
"NDUFB1",63.218401,69.205761,68.161536,67.010596
"NDUFB10",76.720081,80.2816,79.014321,75.498721
"NDUFB11",90.079081,92.756161,91.738084,85.766121
"NDUFB2",69.5556,79.245604,70.963776,69.288976
"NDUFB3",94.575625,100.020001,101.062809,92.852496
"NDUFB4",63.313849,61.653904,62.536464,59.892121
"NDUFB5",94.945536,95.199049,103.4289,102.454884
"NDUFB6",46.321636,53.4361,49.970761,42.928704
"NDUFB7",36.578304,38.031889,32.398864,33.570436
"NDUFB8",80.209936,79.0321,82.119844,68.0625
"NDUFB9",106.812225,111.915241,112.105744,110.775625
"NDUFC1",54.789604,53.319204,55.875625,54.641664
"NDUFC2",68.376361,76.265289,69.689104,71.385601
"NDUFS1",34.621456,39.0625,35.153041,36.929929
"NDUFS2",84.529636,83.631025,86.452804,88.642225
"NDUFS3",78.464164,79.7449,75.707401,75.047569
"NDUFS4",46.607929,43.349056,42.237001,42.445225
"NDUFS6",109.390681,113.337316,113.4225,100.6009
"NDUFS7",43.56,44.182609,44.515584,46.635241
"NDUFS8",64.4809,72.046144,65.561409,60.762025
"NDUFV1",61.528336,58.706244,59.043856,56.927025
"NDUFV2",95.355225,88.717561,89.189136,90.554256
"NDUFV3",43.917129,41.229241,42.889401,51.6961
"NEAT1",84.015556,89.567296,93.586276,93.3156
