CD56NK	CD4MemoryT	CD19B	CD14
V528	0.16006	0.83994	0	0
V529	0.10232	0.00755	0.32072	0.56942
V530	0.06552	0.22918	0.7053	0
V531	0.06941	0.88618	0.04441	0
V532	0.27567	0.38796	0	0.33637
V533	0.40927	0.3846	0.12052	0.08561
V534	0.06795	0	0.81651	0.11554
V535	0.6995	0	0	0.3005
V536	0.2802	0	0.43729	0.28251
V537	0.70945	0.20763	0.08292	0
V538	0.64913	0	0.06724	0.28362
V539	0.38186	0.46608	0.13371	0.01836
V540	0.28204	0.7083	0.00966	0
V541	0.06179	0.63919	0.04281	0.25621
V542	0.31441	0.10949	0.29718	0.27892
V543	1	0	0	0
V544	0.17426	0.05191	0.23638	0.53745
V545	0.53978	0.1141	0.05282	0.2933
V546	0.10603	0.89397	0	0
V547	0.09	0.65604	0.25397	0
V548	0.22637	0.76155	0.01208	0
V549	0.41482	0	0.58518	0
V550	0.75239	0	0	0.24761
V551	0.26021	0.73979	0	0
V552	0.01235	0.67174	0	0.31592
V553	0.31528	0.1255	0.55922	0
V554	0.05069	0.04471	0.05876	0.84585
V555	0.17402	0.25529	0.38656	0.18413
V556	0.06736	0.03102	0.90162	0
V557	0.96618	0	0	0.03382
V558	0.14657	0.85343	0	0
V559	0.05706	0.822	0.12095	0
V560	0.79294	0.20706	0	0
V561	0.06685	0.0217	0.91145	0
V562	0.94926	0	0.04396	0.00678
V563	0.32183	0	0.67817	0
V564	0.13669	0.06691	0.7964	0
V565	0.21669	0.28914	0.40458	0.08959
V566	0.89992	0	0	0.10008
V567	0.33849	0.5053	0	0.15621
V568	0.32084	0	0.04044	0.63872
V569	0.84248	0	0	0.15752
V570	0.08276	0.31573	0.60151	0
V571	0.99589	0.00411	0	0
V572	0.56017	0	0.43983	0
V573	0.08481	0.1878	0.00919	0.71819
V574	0.09614	0.79448	0.10938	0
V575	0.01419	0.04956	0.21002	0.72623
V576	0.22086	0.77914	0	0
V577	0.05194	0	0.31412	0.63393
V578	0.14856	0.06491	0.73778	0.04875
V579	0.06469	0.90084	0.03447	0
V580	0.191	0	0.14466	0.66435
V581	0.06143	0.03252	0.01861	0.88744
V582	0.77528	0.0982	0	0.12652
V583	0.05639	0.02572	0.72168	0.19621
V584	0.64135	0.10903	0.24961	0
V585	0	0	0.60017	0.39983
V586	0.3452	0	0.6548	0
V587	0.35815	0	0.64185	0
V588	0.81846	0	0	0.18154
V589	0.1312	0.85539	0.01342	0
V590	0.10657	0.77007	0.12336	0
V591	0	0	0.30874	0.69126
V592	0.2428	0.00703	0.75017	0
V593	0.74578	0	0.14629	0.10792
V594	0.44032	0.27257	0.28711	0
V595	0	0	0.03666	0.96334
V596	0.08474	0.33804	0.27063	0.30659
V597	0.05251	0.63029	0.3172	0
V598	0.08743	0.11461	0.79796	0
V599	0.73733	0.26267	0	0
V600	0.48146	0.50606	0.0046	0.00789
V601	0.26506	0.31657	0.07709	0.34128
V602	0	0	0.01877	0.98123
V603	0.01142	0.48005	0	0.50853
V604	0.63466	0.06662	0.29872	0
V605	0.14245	0.37428	0.42185	0.06142
V606	0.90567	0.07991	0	0.01442
V607	0.83027	0	0.05767	0.11205
V608	0.33875	0.15846	0.41382	0.08898
V609	0.06311	0.28241	0.29639	0.35809
V610	0.94302	0	0.02194	0.03504
V611	0.39243	0	0.02129	0.58627
V612	0.10362	0.09349	0.8029	0
V613	0.09257	0.35277	0.55465	0
V614	0.9541	0	0	0.0459
V615	0.17526	0	0.0184	0.80634
V616	0.15974	0.79294	0.01161	0.03571
V617	0.58532	0.10587	0.30881	0
V618	0.86837	0	0	0.13163
V619	0.53183	0	0.3437	0.12448
V620	0.05507	0.67494	0.26999	0
V621	0.58659	0.12873	0.1733	0.11138
V622	0.45996	0.19773	0.34231	0
V623	0.01717	0.03264	0.23895	0.71124
V624	0.9266	0.0734	0	0
V625	0.37992	0.53699	0.06364	0.01945
V626	1	0	0	0
V627	0	0	0.11007	0.88993
V628	0	0.26487	0.02268	0.71245
V629	0.21828	0.33511	0.30225	0.14436
V630	0.09324	0.35456	0.5522	0
V631	0.02759	0.22254	0.15368	0.5962
V632	0.75458	0	0.09213	0.15329
V633	0.07262	0.03814	0.88924	0
V634	0.49665	0.22803	0.27532	0
V635	0.07873	0.86599	0	0.05528
V636	0.22084	0.10508	0.66883	0.00525
V637	0.45861	0.19458	0.07974	0.26707
V638	0.53595	0.26501	0.04591	0.15312
V639	0.3556	0.40752	0.23687	0
V640	0.11237	0.15447	0.73316	0
V641	1	0	0	0
V642	0.92498	0.07502	0	0
V643	0.05414	0.21425	0.53708	0.19452
V644	1	0	0	0
