CD56NK	CD4MemoryT	CD19B	CD14
V552	0.19148	0.57287	0.21004	0.02561
V553	0.25122	0.18134	0.56744	0
V554	0.13922	0	0.30049	0.56029
V555	0.2437	0.24209	0.5142	0
V556	0.03495	0.16654	0.79851	0
V557	1	0	0	0
V558	0.20603	0.62244	0.17153	0
V559	0.11712	0.62205	0.26083	0
V560	0.75841	0.218	0.02359	0
V561	0.03042	0.16408	0.80551	0
V562	0.87797	0	0.12203	0
V563	0.26546	0.06872	0.66581	0
V564	0.09606	0.17665	0.72729	0
V565	0.23786	0.2714	0.49074	0
V566	0.9295	0.00302	0.06748	0
V567	0.43105	0.39282	0.17613	0
V568	0.38233	0	0.19722	0.42045
V569	0.98485	0	0.01184	0.00331
V570	0.08494	0.32178	0.59328	0
V571	0.97349	0.02651	0	0
V572	0.47534	0.02123	0.50343	0
V573	0.21632	0.10218	0.25496	0.42655
V574	0.14729	0.59833	0.25438	0
V575	0.12049	0.01284	0.44323	0.42343
V576	0.2541	0.60794	0.13796	0
V577	0.13577	0	0.50866	0.35557
V578	0.13912	0.16508	0.6958	0
V579	0.1114	0.68953	0.19907	0
V580	0.26172	0	0.31399	0.42428
V581	0.13529	0	0.25241	0.6123
V582	0.79036	0.06054	0.1491	0
V583	0.09609	0.15088	0.75303	0
V584	0.54702	0.13128	0.3217	0
V585	0.09818	0.03165	0.72243	0.14774
V586	0.27932	0.07133	0.64935	0
V587	0.2962	0.06328	0.64052	0
V588	0.91318	0	0.08552	0.0013
V589	0.18408	0.63121	0.18471	0
V590	0.15628	0.58557	0.25814	0
V591	0.06239	0	0.5279	0.40971
V592	0.18478	0.11954	0.69568	0
V593	0.7412	0	0.2588	0
V594	0.38502	0.25481	0.36017	0
V595	0	0	0.26534	0.73466
V596	0.20938	0.29388	0.45891	0.03784
V597	0.09536	0.50622	0.39842	0
V598	0.06675	0.20142	0.73183	0
V599	0.67824	0.24304	0.07872	0
V600	0.45916	0.38336	0.15748	0
V601	0.37885	0.2611	0.2855	0.07455
V602	0	0	0.24408	0.75592
V603	0.17159	0.37956	0.24313	0.20572
V604	0.52816	0.11336	0.35848	0
V605	0.16586	0.33972	0.49442	0
V606	0.85778	0.08318	0.05904	0
