CD56NK	CD4MemoryT	CD19B	CD14
V339	0.12692	0.00131	0.86379	0.00797
V340	0.05131	0.1677	0.54164	0.23936
V341	0.01639	0.01208	0.05203	0.9195
V342	0.24036	0	0.60035	0.15929
V343	0.98172	0.00527	0.00586	0.00715
V344	0.70875	0.1126	0.17866	0
V345	0.00962	0.01287	0.97648	0.00102
V346	0.21969	0.06597	0.27497	0.43937
V347	0.03197	0	0.10871	0.85932
V348	0.05381	0.61494	0.14439	0.18685
V349	0.35898	0.1136	0.39666	0.13075
V350	0.02771	0.79594	0.17625	1e-04
V351	0.01284	0.00915	0.36681	0.6112
V352	0.04257	0.00446	0.85722	0.09575
V353	0.89141	0.00657	0.02933	0.07269
V354	0.04512	0.67218	0.23168	0.05102
V355	0.27216	0.03949	0.46118	0.22716
V356	0.02381	0.00431	0.08432	0.88756
V357	0.10704	0.26724	0.2818	0.34392
V358	0.52981	0.06254	0.04372	0.36393
V359	0.54737	0.02861	0.02769	0.39633
V360	0.57919	0.38723	0.01768	0.0159
V361	0.00011	0.42021	0.57237	0.00731
V362	0.00161	0.9768	0.01299	0.00861
V363	0.16362	0.07039	0.47023	0.29575
V364	0.15366	0.03007	0.69659	0.11968
V365	0.23402	0.00856	0.00917	0.74826
V366	0.07611	0.6451	0.07962	0.19917
V367	0.55834	0.09451	0.00258	0.34457
V368	0.08874	0.70774	0.08052	0.123
V369	0.01468	0.36696	0.61123	0.00713
V370	0.31196	0.22549	0.42432	0.03823
V371	0.19668	0.69333	0.0255	0.0845
V372	0.13939	0.0242	0.10632	0.73009
V373	0.07076	0.08637	0.47061	0.37226
V374	0.79295	0.00119	0.20586	0
V375	0.03036	0.01517	0.1257	0.82877
V376	0.02338	0.01134	0.08391	0.88136
V377	0.75812	0	0.009	0.23288
V378	0.00543	0.00929	0.37616	0.60912
V379	0.31638	0.14099	0.00754	0.53509
V380	0.12951	0.03791	0.18255	0.65003
V381	0.72272	0.00202	0.08607	0.18919
V382	0.08093	0.01259	0.89841	0.00807
V383	0.82252	0	0.04398	0.1335
V384	0.5468	0.04274	0.12706	0.2834
V385	0.86425	0.00275	0.07025	0.06274
V386	0.26905	0.00144	0.12986	0.59965
V387	0.60737	0.10071	0.19032	0.1016
V388	0.38645	0.27148	0.14839	0.19368
V389	0.43415	0.47474	0.00977	0.08134
V390	0.31274	0.2104	0.47069	0.00617
V391	0.39103	0.06305	0.01358	0.53234
V392	0.43005	0.16407	0.16507	0.24082
V393	0.28487	0.17204	0.35862	0.18448
V394	0.07909	0.16284	0.10288	0.6552
