B_cells	NK_cells	T_cells_CD4.	Monocytes
V314	0.03563	0.46488	0.17517	0.32433
V315	0.15145	0.58829	0.09192	0.16835
V316	0.32059	0.11807	0.4385	0.12284
V317	0.11956	0.64877	0.114	0.11767
V318	0.06986	0.538	0.05985	0.33229
V319	0.09496	0.07074	0.82326	0.01104
V320	0.10641	0.1391	0.67362	0.08087
V321	0.63107	0.30303	0.06591	0
V322	0.22584	0.31136	0.11297	0.34983
V323	0.11362	0	0.17086	0.71552
V324	0.64644	0.22067	0.13125	0.00164
V325	0.31686	0.56058	0.12256	0
V326	0	0.55071	0.1642	0.28509
V327	0.04393	0.14428	0.17432	0.63747
V328	0.08002	0.02915	0.76861	0.12222
V329	0.20822	0.09643	0.23451	0.46084
V330	0.39961	0	0.38705	0.21334
V331	0.38358	0.06511	0.08643	0.46487
V332	0.03246	0.03894	0.26671	0.66189
V333	0.42276	0.0545	0.44116	0.08159
V334	0.36838	0	0.40932	0.2223
V335	0.04826	0.31337	0.56025	0.07811
V336	0.20578	0.64715	0.07938	0.06769
V337	0.29267	0.35515	0.35218	0
V338	0.00396	0.88065	0.11321	0.00218
V339	0.15244	0	0.84756	0
V340	0.07785	0.21568	0.57222	0.13425
V341	0.07299	0.02634	0.1496	0.75107
V342	0.26244	0	0.64571	0.09185
V343	0.88744	0.01557	0.06788	0.02911
V344	0.64625	0.11647	0.23729	0
V345	0.06536	0.04639	0.88825	0
V346	0.25477	0.09778	0.34476	0.3027
V347	0.09372	0	0.20484	0.70143
V348	0.08114	0.60128	0.21868	0.0989
V349	0.34849	0.14727	0.43476	0.06948
V350	0.0552	0.69752	0.24728	0
V351	0.0495	0.02131	0.46778	0.46141
V352	0.08485	0.02266	0.84842	0.04407
V353	0.83158	0	0.09923	0.0692
V354	0.07687	0.62071	0.30156	0.00085
V355	0.28912	0.06049	0.50935	0.14104
V356	0.08569	0.00012	0.18532	0.72888
V357	0.13319	0.31169	0.34171	0.21341
V358	0.55634	0.07856	0.0936	0.2715
V359	0.58928	0.02573	0.0767	0.3083
V360	0.54476	0.37353	0.08172	0
V361	0.00054	0.40624	0.59322	0
V362	0	0.8724	0.1276	0
V363	0.19165	0.10703	0.51764	0.18368
V364	0.18075	0.06086	0.70041	0.05799
V365	0.31765	0	0.0489	0.63345
V366	0.10691	0.6286	0.15595	0.10853
V367	0.59069	0.11885	0.0264	0.26405
V368	0.12036	0.66276	0.16152	0.05535
V369	0.04554	0.35055	0.6039	0
V370	0.30174	0.24418	0.45407	0
V371	0.21548	0.65859	0.09223	0.0337
V372	0.20779	0.03265	0.18835	0.57121
V373	0.10566	0.13227	0.52441	0.23766
V374	0.73453	0	0.26547	0
V375	0.0864	0.02245	0.2229	0.66825
V376	0.08268	0.01617	0.18103	0.72011
V377	0.76867	0	0.05596	0.17537
V378	0.03372	0.02336	0.4805	0.46242
V379	0.37123	0.1839	0.03481	0.41006
V380	0.18763	0.05562	0.26793	0.48882
V381	0.71236	0	0.14555	0.14209
V382	0.11522	0.04019	0.84459	0
V383	0.79249	0	0.1043	0.10321
V384	0.55572	0.05107	0.18825	0.20495
V385	0.80182	0	0.14184	0.05634
V386	0.3317	0	0.20409	0.46422
V387	0.56413	0.1246	0.25018	0.06109
V388	0.38037	0.3019	0.20019	0.11753
V389	0.42857	0.471	0.06366	0.03677
V390	0.29204	0.22029	0.48767	0
V391	0.45256	0.08384	0.04412	0.41949
V392	0.42458	0.20029	0.21977	0.15535
V393	0.28763	0.20861	0.40092	0.10283
V394	0.12573	0.21987	0.17074	0.48365
V395	0.2373	0.36058	0.26262	0.1395
V396	0.05062	0.85223	0.0882	0.00895
V397	0.73563	0.06187	0.1698	0.0327
V398	0.45831	0.11663	0.14633	0.27873
V399	0.21325	0.50176	0.21977	0.06522
V400	0.00106	0.5683	0.13646	0.29417
V401	0.06081	0.1558	0.7428	0.0406
V402	0.77003	0.13404	0.09593	0
V403	0.07427	0.00843	0.16393	0.75338
V404	0.11568	0.18695	0.64273	0.05464
V405	0.25817	0.00278	0.23874	0.50031
V406	0.63453	0.22306	0.05827	0.08413
V407	0.00396	0.88065	0.11321	0.00218
V408	0.11104	0.23127	0.45595	0.20174
V409	0.00346	0.02751	0.14075	0.82829
V410	0.12706	0.76379	0.10915	0
V411	0.48324	0	0	0.51676
V412	0.1817	0.0664	0.54961	0.20229
V413	0.0785	0.45962	0.24752	0.21435
V414	0.05777	0.46602	0.39777	0.07843
V415	0.45305	0.00311	0.29588	0.24795
V416	0.04725	0.08347	0.86928	0
V417	0.38952	0.54223	0.06826	0
V418	0.11147	0.09465	0.21169	0.58219
V419	0.07848	0	0.13578	0.78574
V420	0	0.83699	0.10528	0.05773
V421	0.18125	0.03857	0.70489	0.07529
V422	0.11767	0.07755	0.02925	0.77553
V423	0.11669	0.02597	0.85073	0.0066
V424	0.00011	0.05674	0.68652	0.25663
V425	0.08007	0.22704	0.63011	0.06278
V426	0.12307	0.05242	0.78844	0.03607
V427	0.09023	0.37854	0.2578	0.27343
V428	0.12233	0.69769	0.13206	0.04792
V429	0.07161	0	0.14495	0.78344
V430	0.73128	0.14357	0.05896	0.06618
V431	0.20646	0.00895	0.51344	0.27115
V432	0.16048	0.08733	0.09971	0.65247
V433	0.09257	0.71245	0.0269	0.16808
V434	0.37208	0.05587	0.09848	0.47357
V435	0.51837	0	0.17096	0.31067
V436	0.40669	0	0.16834	0.42497
V437	0.27126	0.22354	0.02539	0.47981
V438	0.6101	0.13996	0.069	0.18094
V439	0.0877	0.11308	0.02965	0.76956
V440	0.51091	0.00688	0.07924	0.40297
V441	0.09433	0.12687	0.63612	0.14268
V442	0.33053	0.31894	0.18771	0.16282
V443	0.71759	0	0.14199	0.14042
V444	0.06536	0.04639	0.88825	0
V445	0.58744	0	0.40017	0.01239
V446	0.06901	0.74846	0.1424	0.04013
V447	0.6044	0.07281	0.24067	0.08212
V448	0.0458	0.05823	0.27215	0.62381
V449	0.5447	0.01918	0.35771	0.07841
V450	0.16665	0.74419	0.08916	0
V451	0.89447	0.04429	0.01631	0.04492
V452	0.09339	0	0.16058	0.74602
V453	0.76456	0.05128	0.13052	0.05363
V454	0.00634	0.83484	0.15881	0
V455	0.57773	0.01188	0.36514	0.04525
V456	0.33107	0.10787	0.43783	0.12323
V457	0.001	0.06288	0.09293	0.84319
V458	0.30431	0.221	0.02464	0.45005
