B_cells	NK_cells	T_cells_CD4.	Monocytes
V400	0.02645	0.60516	0.08202	0.28637
V401	0.06047	0.20716	0.68589	0.04648
V402	0.79133	0.1694	0.03927	0
V403	0.11334	0.05503	0.09171	0.73991
V404	0.11717	0.23927	0.58418	0.05938
V405	0.28018	0.05427	0.17519	0.49036
V406	0.64859	0.26009	0.01537	0.07595
V407	0.02567	0.9209	0.04591	0.00752
V408	0.12228	0.28208	0.39247	0.20316
V409	0.07272	0.06669	0.05982	0.80077
V410	0.1269	0.81427	0.05884	0
V411	0.50017	0.0059	0	0.49393
V412	0.19071	0.11706	0.48666	0.20557
V413	0.0913	0.50164	0.19578	0.21128
V414	0.06524	0.51869	0.33361	0.08246
V415	0.47211	0.05053	0.23375	0.24362
V416	0.03371	0.12982	0.83647	0
V417	0.39481	0.58657	0.01862	0
V418	0.13768	0.13831	0.14971	0.5743
V419	0.12079	0.00433	0.08869	0.78619
V420	0.01895	0.8706	0.04619	0.06427
V421	0.18346	0.08725	0.64914	0.08015
V422	0.14531	0.1086	0.00504	0.74106
V423	0.10708	0.07366	0.8121	0.00716
V424	0.01505	0.1044	0.61742	0.26313
V425	0.0831	0.27992	0.5685	0.06848
V426	0.11777	0.09928	0.74224	0.04071
V427	0.10495	0.42154	0.20396	0.26955
V428	0.12506	0.74145	0.08045	0.05304
V429	0.11595	0.01563	0.0885	0.77993
V430	0.75012	0.17812	0.01486	0.0569
V431	0.2186	0.0606	0.44758	0.27322
V432	0.18646	0.12468	0.05222	0.63663
V433	0.09763	0.73482	0.00508	0.16248
V434	0.3926	0.0992	0.04961	0.45859
V435	0.54563	0.01987	0.12475	0.30975
V436	0.43428	0.02249	0.12122	0.422
V437	0.28897	0.25268	0	0.45835
V438	0.62375	0.17691	0.02776	0.17157
V439	0.12034	0.14369	0.00348	0.7325
V440	0.53147	0.05122	0.02699	0.39033
V441	0.09688	0.17847	0.5753	0.14935
V442	0.34027	0.35974	0.14397	0.15602
V443	0.75736	0.00678	0.09515	0.1407
V444	0.04803	0.08858	0.8634	0
V445	0.61584	0.03968	0.33622	0.00827
V446	0.07288	0.79493	0.08585	0.04634
V447	0.62771	0.11413	0.18175	0.07642
V448	0.07904	0.10405	0.20232	0.61459
V449	0.56566	0.06429	0.29542	0.07463
V450	0.1666	0.79637	0.03702	0
V451	0.91097	0.05807	0	0.03096
V452	0.12917	0.03737	0.09545	0.73801
V453	0.7983	0.08561	0.07089	0.0452
V454	0.02575	0.88391	0.08787	0.00247
V455	0.60161	0.0553	0.30207	0.04101
V456	0.34399	0.15706	0.37544	0.1235
V457	0.06777	0.09305	0.03325	0.80593
V458	0.32064	0.25045	0	0.42891
V459	0.04839	0.76842	0.12192	0.06127
V460	0.92004	0.01347	0.04132	0.02517
V461	0.1652	0.07671	0.00991	0.74818
V462	0.3908	0.25777	0	0.35143
V463	0.27587	0.47763	0.17136	0.07514
V464	0.54675	0.11103	0	0.34221
V465	0.42351	0.43315	0.02981	0.11353
V466	0.60438	0.19876	0	0.19686
V467	0.33603	0.55782	0.09904	0.00712
V468	0.50758	0.40216	0.06154	0.02873
V469	0.05612	0.22221	0.29519	0.42649
V470	0.55199	0.147	0.18341	0.11761
V471	0.32935	0.13392	0.03088	0.50585
V472	0.36287	0.34126	0	0.29587
V473	0.12643	0.53885	0.33472	0
V474	0.20479	0	0.12879	0.66641
V475	0.22375	0.41977	0.08817	0.2683
V476	0.24653	0.03231	0.06908	0.65208
V477	0.60662	0.05685	0.2091	0.12743
V478	0.1753	0.59634	0.0088	0.21956
V479	0.03825	0.14379	0.75885	0.05911
V480	0.13587	0.34283	0.04903	0.47226
V481	0.16728	0.06945	0.76327	0
V482	0.68825	0.17707	0.11876	0.01593
V483	0.19961	0.14282	0.07823	0.57934
V484	0.10965	0.11318	0.03539	0.74178
V485	0.1594	0.71993	0.02786	0.0928
V486	0.30451	0.29189	0.13378	0.26983
V487	0.15797	0.07633	0.09679	0.66891
V488	0.00826	0.06037	0.85261	0.07876
V489	0.22708	0.14524	0.62768	0
V490	0.37006	0.33556	0.07265	0.22173
V491	0.4561	0.46356	0.04461	0.03573
V492	0.05826	0.78544	0.1563	0
V493	0.16869	0	0	0.83131
V494	0.21704	0.19932	0.49814	0.08551
V495	0.24459	0.59851	0.15689	0
V496	0.30376	0.67172	0.0047	0.01982
V497	0.04738	0.05503	0.88957	0.00802
V498	0.36925	0.1314	0.05035	0.449
V499	0.60229	0.26845	0.12926	0
V500	0.12916	0.17496	0.6846	0.01127
V501	0.06794	0.02357	0.0971	0.81139
V502	0.54769	0.29135	0.16095	0
V503	0.24816	0.13231	0.20432	0.41522
V504	0.26166	0.67424	0.02795	0.03615
V505	0.23289	0.25116	0.25528	0.26067
V506	0.11881	0.294	0.43961	0.14758
V507	0.61811	0.12144	0.12475	0.1357
V508	0.74506	0.17842	0.04512	0.0314
V509	0.25481	0.10458	0.49059	0.15002
V510	0.23582	0.50209	0.26209	0
V511	0.09455	0.44871	0.05351	0.40323
V512	0.30841	0.07245	0.08545	0.5337
V513	0.11036	0.62924	0.22891	0.03149
V514	0.09976	0.12062	0	0.77963
V515	0.76835	0.0753	0.04909	0.10726
V516	0.90367	0.09306	0	0.00327
V517	0.10295	0.06078	0.26019	0.57608
V518	0.93612	0.04932	0	0.01455
V519	0.06536	0.8373	0.02879	0.06855
V520	0.06285	0.03753	0.62046	0.27916
V521	0.56411	0.07195	0.35722	0.00673
V522	0.03067	0.18113	0.56454	0.22365
V523	0.37739	0.16016	0.25692	0.20554
V524	0.03753	0.74505	0.2143	0.00312
V525	0.31102	0.23758	0.02067	0.43072
V526	0.65489	0.09747	0.07615	0.17149
V527	0.24529	0.05654	0.39644	0.30173
V528	0.13806	0.82401	0.01487	0.02307
V529	0.12126	0.10049	0.22914	0.54911
V530	0.02875	0.25605	0.64578	0.06942
V531	0.04707	0.815	0.13793	0
V532	0.22352	0.35759	0.02423	0.39466
V533	0.30762	0.3718	0.14527	0.17531
V534	0.03778	0.06896	0.69126	0.202
V535	0.60494	0	0.00187	0.3932
V536	0.24022	0.00831	0.38738	0.36409
V537	0.57774	0.2651	0.15716	0
V538	0.4949	0.07211	0.08767	0.34533
V539	0.28957	0.44015	0.16867	0.10161
V540	0.22909	0.6668	0.09632	0.00779
V541	0.05489	0.53323	0.07768	0.3342
V542	0.23945	0.16706	0.25482	0.33868
V543	0.88372	0.00723	0.01069	0.09836
V544	0.16749	0.12668	0.17782	0.52801
V545	0.40558	0.16989	0.0691	0.35543
V546	0.08253	0.82206	0.09541	0
V547	0.06274	0.61966	0.3176	0
V548	0.17715	0.71685	0.106	0
V549	0.33275	0.07323	0.59402	0
V550	0.62733	0.02701	0	0.34566
V551	0.20867	0.70597	0.05881	0.02654
V552	0.03082	0.56185	0.01414	0.39319
V553	0.24138	0.19055	0.56807	0
V554	0.1434	0.12473	0.02753	0.70433
V555	0.12673	0.27075	0.33161	0.27091
V556	0.0091	0.09708	0.8636	0.03022
V557	0.82813	0.0362	0.0023	0.13337
V558	0.10435	0.75896	0.05151	0.08518
V559	0.0325	0.76062	0.20688	0
V560	0.69045	0.30955	0	0
V561	0.01469	0.09245	0.87803	0.01483
V562	0.78251	0.01025	0.12357	0.08367
V563	0.25627	0.04417	0.69955	0
V564	0.08559	0.13494	0.77947	0
V565	0.15507	0.30003	0.36937	0.17554
V566	0.71328	0.10603	0	0.18069
V567	0.25753	0.46469	0.02816	0.24961
V568	0.31803	0.01301	0.06356	0.6054
V569	0.70967	0.02511	0	0.26522
V570	0.051	0.33021	0.58484	0.03396
V571	0.81789	0.12975	0	0.05236
V572	0.45756	0.03768	0.43211	0.07265
V573	0.13747	0.20989	0	0.65264
V574	0.06701	0.74094	0.19205	0
V575	0.08416	0.124	0.13563	0.65621
V576	0.1822	0.75477	0.06303	0
V577	0.10473	0.0807	0.22079	0.59378
V578	0.08657	0.12295	0.65046	0.14002
V579	0.04359	0.82957	0.12542	0.00142
V580	0.22869	0.02241	0.12467	0.62423
V581	0.16063	0.11607	0	0.7233
V582	0.59834	0.16845	0.02636	0.20686
V583	0.03578	0.10089	0.58384	0.27948
V584	0.51738	0.1861	0.28881	0.00772
V585	0.05422	0.05214	0.45126	0.44237
V586	0.25825	0.05443	0.62378	0.06354
V587	0.28586	0.05794	0.65095	0.00526
V588	0.65764	0.0572	0.01584	0.26932
V589	0.09368	0.77519	0.09368	0.03745
V590	0.07329	0.71934	0.20738	0
V591	0.04926	0.07654	0.21798	0.65622
V592	0.16867	0.08536	0.74597	0
V593	0.60798	0	0.19273	0.19929
V594	0.3485	0.31376	0.32767	0.01007
V595	0.13146	0.06783	0.03948	0.76123
V596	0.07556	0.32368	0.23353	0.36723
V597	0.01466	0.58864	0.34754	0.04916
V598	0.04432	0.17452	0.78117	0
V599	0.62573	0.32412	0.04223	0.00792
V600	0.37599	0.47566	0.06179	0.08656
V601	0.21193	0.30776	0.08602	0.3943
V602	0.13731	0.07612	0.02086	0.76571
V603	0.05937	0.40695	0.01529	0.51839
V604	0.5154	0.15033	0.33385	0.00042
V605	0.09738	0.36488	0.39171	0.14603
V606	0.73029	0.16958	0.00244	0.09769
V607	0.66909	0.01815	0.11309	0.19966
V608	0.2471	0.20299	0.37381	0.1761
V609	0.06739	0.2829	0.24374	0.40596
V610	0.76933	0.02855	0.09549	0.10663
V611	0.3591	0.01154	0.06013	0.56924
V612	0.05029	0.15306	0.75427	0.04239
V613	0.06385	0.36656	0.56317	0.00641
V614	0.76087	0.076	0.04835	0.11478
V615	0.22114	0.0898	0	0.68906
V616	0.11537	0.6906	0.06596	0.12808
V617	0.46298	0.18287	0.35416	0
V618	0.7531	0.00098	0	0.24592
V619	0.41131	0.05723	0.31497	0.21649
V620	0.03044	0.635	0.33456	0
V621	0.44479	0.18326	0.17693	0.19502
V622	0.36508	0.25465	0.38027	0
V623	0.08325	0.11424	0.15505	0.64745
V624	0.79346	0.19677	0	0.00978
V625	0.2895	0.49597	0.11242	0.10211
V626	0.93088	0.03857	0	0.03055
V627	0.06284	0.06321	0.09995	0.774
