Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V152	0	0	0	0.02538	0.0137	0	0.00136	0.90082	0.00306	0.05568
V153	0.03038	0	0.00361	0	0.8535	0	0.00025	0.10906	0.0032	0
V154	0.02133	0.00947	0.64895	0.29505	0.00856	0.00301	0.01332	0	0.00032	0
V155	0.01783	0	0	0.00963	0	0.04654	0.00879	0.69217	0.22503	0
V156	0.08212	0.02154	0.19672	0.00138	0.00429	0.44596	0.05088	0.05364	0.14348	0
V157	0	0.26052	0.05014	0.03836	0.37783	0.2067	0.01644	0	0.05001	0
V158	0.29085	0.36739	0.03977	0	0.21621	0	0.01932	0.03941	0.02705	0
V159	0.01805	0.00872	0.28121	0.01294	0.45399	0.00536	0.01057	0.12662	0.00373	0.07881
V160	0.0184	0.58743	0.08176	0	0.23588	0	0.0115	0	0.06488	0.00016
V161	0	0.00593	0.07639	0.85833	0.02633	0	0.00433	0	0.02508	0.00361
V162	0	0.01304	0.11738	0	0.22054	0	0.01333	0	0.05586	0.57983
V163	0.05019	0.0049	0.90919	0	0.00253	0.00153	0.01598	0.01568	0	0
V164	0	0.00167	0.96472	0	0	0.00325	0.0259	0	0.00447	0
V165	0	0.00492	0.42122	0	0.15457	0	0.01217	0	0.03802	0.3691
V166	0.01578	0.05467	0.03898	0.68761	0.02302	0	0.01473	0.07822	0.06755	0.01945
V167	0.83854	0	0	0	0.03727	0	0.01995	0	0.10424	0
V168	0.02872	0.00561	0	0.00391	0	0.19406	0.02137	0.53821	0.20542	0.00269
V169	0	0.00091	0.06507	0.21521	0.12926	0.16611	0.01522	0.00012	0.02739	0.38072
V170	0.01543	0.01725	0.02294	0.0155	0.00081	0	0.0443	0	0.88377	0
V171	0	0.00397	0.25722	0.06347	0.02651	0.36471	0.05751	0.06668	0.15993	0
V172	0	0.05019	0.05269	0	0.04514	0.18948	0.53211	0.00539	0.12499	0
V173	0.00252	0.03091	0.05902	0	0.09436	0.0402	0.41662	0	0.12458	0.23178
V174	0	0.03569	0.25314	0.45487	0.18543	0.00753	0.00989	0	0.00477	0.04868
V175	0.8093	0	0.11764	0	0.03811	0	0.03226	0	0.00269	0
V176	0.16703	0.00903	0	0	0.0323	0.6638	0.04435	0	0.08306	0.00042
V177	0.68763	0	0	0.11604	0.06165	0	0.01323	0	0.01755	0.10389
