Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V138	0	0.03543	0.07966	0.03614	0.02369	0.03463	0.53376	0.02973	0.01576	0.2112
V139	0.5345	0.06452	0.0677	0.03012	0.0566	0.06892	0.0244	0.00397	0.14927	0
V140	0.04993	0.02197	0.3268	0.47974	0.03208	0.0458	0.01682	0.00361	0.0099	0.01335
V141	0.01896	0.00959	0.18547	0.68483	0.01563	0.02543	0.01032	0.00962	0.01302	0.02712
V142	0	0	0.11776	0.2245	0.03537	0.03792	0.54799	0.02893	0.00386	0.00367
V143	0	0.76624	0	0.0563	0	0	0.06626	0	0.1112	0
V144	0	0.01049	0.05935	0.04971	0.02701	0.31227	0.50106	0.0401	0	0
V145	0.02804	0.09715	0.14373	0.47688	0.00572	0.03136	0.03938	0.1419	0.03583	0
V146	0.04319	0.01588	0.39784	0.09612	0	0.02436	0.08031	0.09906	0	0.24323
V147	0	0.09921	0.05972	0.02434	0.12966	0.00163	0.06093	0.03513	0.43088	0.15849
V148	0	0.10984	0.07628	0.02179	0.04187	0.0402	0.1	0.01701	0.59301	0
V149	0	0.03207	0.1584	0.53119	0.01573	0.00627	0.03179	0.08791	0.13664	0
V150	0.08376	0.04997	0.03583	0.01005	0.02198	0.01188	0.05886	0.02334	0	0.70434
V151	0.01478	0	0.03625	0.01642	0	0.07768	0.05751	0.01788	0	0.77948
V152	0	0.02304	0.0268	0.02035	0.01198	0.05112	0.12492	0.59064	0.05432	0.09685
V153	0	0.19205	0.00995	0.01278	0.61167	0.00432	0.01605	0.08054	0.07263	0
V154	0.10497	0.03021	0.4802	0.3504	0.00585	0.01416	0.00276	0	0.00823	0.00323
V155	0.02217	0.04354	0.05043	0.02249	0.0163	0.11801	0.10491	0.39535	0.22678	0
V156	0.09201	0.06363	0.17023	0.07255	0.00577	0.39516	0.09385	0.03862	0.06817	0
