Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V177	0.80578	0	0	0.08531	0	0	0	0	0	0.10891
V178	0.21085	0	0.01665	0	0	0.71979	0.016	0	0	0.03671
V179	0.19619	0	0.03206	0	0.77175	0	0	0	0	0
V180	0.4762	0.08652	0.03272	0.40284	0	0.00172	0	0	0	0
V181	0	0.14664	0.81925	0	0	0.00694	0.02716	0	0	0
V182	0.01747	0	0.03938	0.01209	0.33659	0	0	0.59447	0	0
V183	0	0.13208	0.03658	0.69315	0	0.04218	0.09601	0	0	0
V184	0.19419	0	0	0	0	0.67772	0.00476	8e-05	0	0.12325
V185	0.66005	0	0.01409	0.22022	0	0	0	0.10347	0.00217	0
V186	0.92407	0	0	0.07593	0	0	0	0	0	0
V187	0.84569	0	0.10709	0	0	0	0	0	0.0409	0.00632
V188	0.10187	0.08489	0.07962	0.04209	0.69154	0	0	0	0	0
V189	0.9676	0	0	0.0324	0	0	0	0	0	0
V190	0.03697	0.02975	0	0	0.01807	0.08631	0.0097	0	0.81921	0
V191	0.0109	0.00734	0.13272	0.42888	0.37397	0.01429	0.0319	0	0	0
V192	0.0044	0	0.04832	0	0.37553	0	0	0	0	0.57175
V193	0.06991	0.04033	0.26084	0.35387	0.06459	0.03822	0.10182	0.07042	0	0
V194	0	0	0	0	0	0.86808	0.13192	0	0	0
V195	0.02691	0.10079	0.03711	0	0.04329	0.31734	0.41499	0.03987	0.01969	0
V196	0.81672	0	0	0.18328	0	0	0	0	0	0
V197	0.01072	0	0.02615	0.2504	0	0	0.00128	0.5674	0.14405	0
V198	0.02251	0	0.05266	0	0.62727	0.28658	0.01098	0	0	0
V199	0.02075	0.02066	0.12862	0	0.38844	0.03721	0.09143	0	0	0.31289
V200	0.01046	0.01241	0.04189	0	0.47219	0.20141	0.17123	0.09041	0	0
V201	0.23932	0.05303	0	0	0	0.01381	0.07849	0	0.61534	0
V202	0.00622	0.29027	0.65021	0	0	0.00795	0.04535	0	0	0
V203	0	0.08518	0.48872	0.13439	0	0.03131	0.0761	0	0.18431	0
V204	0	0.16581	0.35925	0.32622	0	0.0928	0	0.05592	0	0
V205	0.04746	0.117	0.02562	0	0	0.18529	0.44135	0.06746	0.11582	0
V206	0.29295	0	0.70705	0	0	0	0	0	0	0
V207	0.01315	0.1347	0.08192	0.0622	0.14793	0	0	0	0.18504	0.37505
V208	0.00434	0	0.02575	0.02791	0	0.90591	0.03548	0	0.00061	0
V209	0.06539	0	0.12991	0	0.8047	0	0	0	0	0
V210	0.08135	0	0.11358	0	0.68216	0	0	0.1229	0	0
V211	0	0.0668	0.84673	0	0	0.00941	0.02992	0.03326	0.01388	0
V212	0.11232	0.05162	0	0	0	0	0	0.48648	0.34958	0
V213	0.13355	0	0.01045	0	0.10847	0.7261	0.02122	0	0	0.00021
V214	0	0.06524	0.03326	0	0.29703	0.18976	0.37491	0	0	0.03981
V215	0	0.08205	0	0	0	0.24907	0.64089	0	0.02799	0
V216	0.03207	0.58307	0.0671	0	0.31776	0	0	0	0	0
V217	0.02697	0.15649	0.11013	0.08219	0.22573	0.29891	0.00159	0.03007	0	0.06792
V218	0.02594	0	0	0	0	0.78191	0.17345	0	0	0.0187
V219	0	0	0	0.0235	0	0	0	0.9765	0	0
V220	0.00229	0.01399	0.02036	0.45575	0	0	0.01789	0.05587	0.43385	0
