CD56NK	CD4MemoryT	CD19B	CD14
V463	0.2808	0.42689	0.14367	0.14864
V464	0.49118	0.05854	0.00108	0.4492
V465	0.4311	0.36397	0.01847	0.18646
V466	0.59127	0.13281	0.00128	0.27464
V467	0.35413	0.53151	0.06697	0.0474
V468	0.5455	0.34757	0.03922	0.06771
V469	0.01705	0.11796	0.24852	0.61648
V470	0.58188	0.07742	0.15795	0.18276
V471	0.25145	0.06015	0.02299	0.66541
V472	0.32265	0.26014	0	0.41721
V473	0.11184	0.53006	0.33171	0.02639
V474	0.10445	0	0.07636	0.81918
V475	0.18847	0.32855	0.06341	0.41958
V476	0.14815	0.00073	0.03918	0.81194
V477	0.61916	0.01556	0.17794	0.18734
V478	0.13756	0.5207	0.00072	0.34102
V479	0.01533	0.05275	0.81591	0.11601
V480	0.07622	0.23542	0.03034	0.65802
V481	0.16402	0.00404	0.81467	0.01727
V482	0.74683	0.11428	0.09543	0.04345
V483	0.11605	0.06286	0.05313	0.76796
V484	0.02118	0.03554	0.0155	0.92778
V485	0.12996	0.69413	0.00667	0.16924
V486	0.27725	0.20147	0.10688	0.41439
V487	0.06433	0.01791	0.06226	0.8555
V488	0.00068	0.00149	0.85845	0.13938
V489	0.24364	0.06677	0.6737	0.01589
V490	0.35453	0.24865	0.05383	0.34299
V491	0.48437	0.41056	0.02583	0.07924
V492	0.03125	0.84029	0.12277	0.00569
V493	0.01884	0.00037	0.00252	0.97827
V494	0.21414	0.11042	0.50996	0.16549
V495	0.25619	0.59215	0.12633	0.02532
V496	0.30362	0.63877	0	0.05761
V497	0.00861	0.00737	0.97485	0.00916
V498	0.29974	0.06011	0.03608	0.60406
V499	0.67012	0.21711	0.10787	0.0049
V500	0.10941	0.08526	0.75271	0.05262
V501	0.0094	0	0.02652	0.96407
V502	0.60506	0.22438	0.13596	0.0346
V503	0.19072	0.05457	0.16533	0.58938
V504	0.25759	0.65329	0.00716	0.08196
V505	0.20329	0.15553	0.22806	0.41312
V506	0.09432	0.20329	0.43778	0.26461
V507	0.63836	0.06044	0.10053	0.20067
V508	0.7961	0.12025	0.03113	0.05252
V509	0.242	0.03209	0.47619	0.24972
V510	0.25794	0.4894	0.24762	0.00504
V511	0.04506	0.34353	0.03091	0.58049
V512	0.22637	0.02063	0.05848	0.69452
V513	0.08551	0.62502	0.20158	0.08788
