Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V245	0.10384	0.07941	0.17201	0.01206	0.07548	0.41958	0.06767	0.05824	0.00693	0.00478
V246	0	0.20931	0.02255	0	0.08114	0.05868	0.42996	0.1271	0.07126	0
V247	0	0	0.93456	0	0.02672	0	0	0	0.02558	0.01315
V248	0.39815	0.05396	0	0.03616	0.0706	0.04096	0.09229	0.30554	0	0.00233
V249	0	0	0.77073	0	0.1223	0	0	0	0.0336	0.07337
V250	0	0.02203	0	0.34586	0.05713	0.23366	0.03478	0.30017	0	0.00637
V251	0.52255	0.13106	0.00027	0.01948	0.16676	0.00432	0	0.10654	0.0464	0.00262
V252	0.04571	0.36357	0.00406	0.08753	0.15947	0.21616	0.04125	0.08224	0	0
V253	0	0	0.32681	0	0.07434	0.02133	0.01056	0	0.56696	0
V254	0	0.07069	0.07485	0.02779	0.7938	0.02858	0	0	0	0.00428
V255	0	0.07019	0.03522	0	0.87372	0.02087	0	0	0	0
V256	0	0.01983	0.1743	0.72689	0.02991	0.03579	0.01328	0	0	0
V257	0.32158	0	0.45872	0	0.02601	0.13179	0.02771	0.01511	0	0.01909
V258	0	0.07023	0.0548	0	0.79279	0.02689	0.00214	0	0	0.05315
V259	0	0	0	0.22792	0.13057	0.00039	0	0.64112	0	0
V260	0	0.0844	0	0.16247	0.05721	0	0	0.69592	0	0
V261	0.14409	0.03321	0.01295	0.00767	0.05381	0.29007	0.27102	0.08432	0.0959	0.00696
V262	0	0.30912	0.1046	0.02667	0.16053	0.3058	0.05279	0.02612	0.0061	0.00828
V263	0.41393	0.34181	0	0	0.18451	0.00434	0.04001	0	0	0.0154
V264	0	0.03152	0.13972	0.50904	0.27325	0.02412	0.02237	0	0	0
V265	0	0.24798	0.09892	0.26811	0.12695	0.03663	0.11962	0.0289	0.01974	0.05317
V266	0.00804	0.53282	0.14165	0	0.22567	0	0.00687	0	0.08494	0
V267	0	0.22269	0.09978	0.00257	0.19732	0.00468	0	0	0.02279	0.45017
V268	0	0.25067	0.07313	0.1221	0.49291	0.00765	0.01089	4e-04	0.04226	0
V269	0	0.00427	0.40949	0.51767	0.03672	0	0.00144	0.01058	0.01983	0
V270	0.00397	0.0695	0.04405	0	0.86395	0.01853	0	0	0	0
V271	0	0.00281	0.18132	0	0.12656	0	0.01426	0	0.67504	0
V272	0	0.1096	0.0396	0.08603	0.11561	0.12708	0.02848	0.22521	0.25002	0.01838
