Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V376	0.04872	0.05321	0	0.05834	0.09059	0.74914
V377	0.11032	0	0.46447	0	0.42521	0
V378	0.14798	0.05829	0.16561	0	0	0.62812
V379	0.61078	0.02095	0.04788	0	0	0.32039
V380	0.01012	0.01618	0.01876	0.04311	0.91183	0
V381	0.42572	0.06326	0.28335	0.22767	0	0
V382	0	0.01864	0	0.29278	0.68858	0
V383	0.26624	0.05712	0.39687	0.27977	0	0
V384	0.09488	0	0.90512	0	0	0
V385	0.04686	0	0	0	0	0.95314
V386	0.74235	0.04557	0.21208	0	0	0
V387	0.20239	0.09364	0	0.70397	0	0
V388	0.88235	0.06912	0.04854	0	0	0
V389	0.31769	0.10897	0	0	0	0.57334
V390	0.01973	0.1324	0	0.84787	0	0
V391	0.00924	0.05904	0	0.77142	0.16029	0
V392	0.14049	0.02873	0.52271	0.04102	0	0.26704
V393	0.1898	0.17361	0.46164	0.02046	0.10511	0.04938
V394	0	0.01934	0	0.98066	0	0
V395	0.04238	0	0.95762	0	0	0
V396	0.55178	0.13974	0	0.30848	0	0
V397	0.07009	0.21012	0.00057	0	0	0.71922
V398	0	0.86691	0	0	0.13309	0
V399	0.06298	0	0.93702	0	0	0
V400	0.00556	0.08017	0	0.41282	0	0.50146
V401	0.26613	0	0.73387	0	0	0
V402	0	0.08231	0	0.91769	0	0
V403	0.06847	0	0	0	0.38694	0.54458
V404	0.02164	0	0.97836	0	0	0
V405	0.42096	0.44008	0.07842	0	0.06054	0
V406	0.23051	0.0734	0.19897	0.05389	0.16001	0.28322
V407	0.23175	0	0.76825	0	0	0
V408	0	0.20857	0	0.79143	0	0
V409	0.90917	0.09083	0	0	0	0
V410	0.93119	0.06881	0	0	0	0
V411	0.01641	0.0247	0	0.22459	0	0.73429
V412	0.68323	0.232	0.06042	0	0.02434	0
V413	0	0.15563	0	0.84437	0	0
V414	0.05677	0.13817	0	0.74706	0.05801	0
V415	0.10531	0.01927	0.36733	0.48612	0.02196	0
V416	0.06094	0.20788	0	0.3371	0.39408	0
V417	0.19114	0	0.05939	0.03779	0	0.71168
V418	0.0606	0.06568	0.47519	0.14071	0.25783	0
V419	0	0.00672	0	0	0	0.99328
V420	0	0	0	0	0	1
V421	0.07052	0.0401	0.04717	0.1051	0.73711	0
V422	0.23182	0.36402	0	0	0.40415	0
V423	0	0.24162	0	0.75838	0	0
V424	0.8475	0.1525	0	0	0	0
V425	0.00029	0.10105	0	0.01014	0.88852	0
V426	0.05842	0.01379	0.13955	0	0	0.78825
V427	0.6394	0.17462	0.1376	0.04838	0	0
V428	0.22604	0.10798	0	0.66599	0	0
V429	0	0.03621	0.04302	0.78069	0.14008	0
V430	0.11408	0.07732	0.62834	0.18026	0	0
V431	0.01831	0	0.98169	0	0	0
V432	0	0.55816	0	0.44184	0	0
V433	0	0.01843	0	0.98157	0	0
V434	0	0.37203	0.0719	0.55607	0	0
V435	0.16484	0	0	0.00208	0.80314	0.02994
V436	0.83994	0.16006	0	0	0	0
V437	0.31777	0.32501	0.32717	0	0.03004	0
V438	0	0.50206	0	0.05132	0.44663	0
V439	0.01378	0	0.10484	0.00768	0.8737	0
V440	0.29522	0.04045	0.49019	0.01065	0.16349	0
V441	0.16598	0.07471	0.53114	0.11431	0	0.11387
V442	0.6423	0.16705	0.19065	0	0	0
V443	0	0.03628	0	0.96372	0	0
V444	0.90781	0.06786	0.02433	0	0	0
V445	0.9324	0.0676	0	0	0	0
V446	0	0.72133	0.27867	0	0	0
V447	0.1476	0.32181	0	0.18756	0.00715	0.33588
V448	0.06059	0	0.93941	0	0	0
V449	0.69354	0.10652	0	0.19994	0	0
V450	0.15461	0	0.77923	0	0.06617	0
V451	0.14364	0.0382	0.14951	0.18386	0.48479	0
