CD56NK	CD4MemoryT	CD19B	CD14
V342	0.32355	0	0.42248	0.25398
V343	0.97775	0.00619	0.0047	0.01135
V344	0.78744	0.09806	0.1145	0
V345	0.01833	0.01236	0.96932	0
V346	0.24074	0.05231	0.15669	0.55026
V347	0.03373	0.00053	0.05446	0.91129
V348	0.08254	0.52306	0.10377	0.29063
V349	0.43799	0.10325	0.26065	0.19811
V350	0.05056	0.79964	0.1498	0
V351	0.01706	0.00788	0.20892	0.76614
V352	0.07869	0.00395	0.73095	0.18641
V353	0.87437	0.00776	0.02056	0.09731
V354	0.07914	0.6405	0.18351	0.09685
V355	0.33402	0.03714	0.30041	0.32843
V356	0.02533	0.00367	0.04178	0.92921
V357	0.13666	0.21138	0.17771	0.47425
V358	0.50528	0.04749	0.02686	0.42037
V359	0.50779	0.02232	0.01676	0.45313
V360	0.65046	0.30836	0.01408	0.0271
V361	0.00173	0.46916	0.51028	0.01883
V362	0.00505	0.96405	0.01292	0.01798
V363	0.20849	0.06309	0.30458	0.42384
V364	0.23127	0.03251	0.52759	0.20863
V365	0.20664	0.0067	0.00472	0.78194
V366	0.10919	0.53435	0.05905	0.29741
V367	0.52685	0.07019	0.00211	0.40085
V368	0.1309	0.60889	0.06264	0.19757
V369	0.03284	0.40902	0.53968	0.01846
V370	0.41684	0.20799	0.30561	0.06956
V371	0.25852	0.58401	0.0207	0.13677
V372	0.13354	0.01837	0.05419	0.79389
V373	0.09619	0.07923	0.30235	0.52223
V374	0.86763	0.00269	0.12969	0
V375	0.03338	0.01113	0.06383	0.89165
V376	0.02516	0.00842	0.0416	0.92482
V377	0.71277	0	0.00623	0.281
V378	0.00784	0.00825	0.2149	0.76902
V379	0.29709	0.09687	0.00515	0.60089
V380	0.13245	0.02805	0.09494	0.74455
V381	0.70907	0.00298	0.05213	0.23583
V382	0.14628	0.01151	0.82335	0.01886
V383	0.80255	0.00011	0.02861	0.16873
V384	0.5466	0.03418	0.07311	0.34612
V385	0.86471	0.00388	0.04509	0.08633
V386	0.25433	0.00246	0.06748	0.67573
V387	0.65395	0.08535	0.1182	0.14251
V388	0.43088	0.21241	0.09371	0.263
