cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V482	0.75329	0.1245	0.1077	0.01452
V483	0.31617	0.15825	0.1443	0.38128
V484	0.08341	0.13788	0.07596	0.70274
V485	0.22046	0.69784	0.0206	0.0611
V486	0.43007	0.2627	0.16782	0.13941
V487	0.22002	0.07556	0.18785	0.51657
V488	5e-04	0.00245	0.94937	0.04769
V489	0.27534	0.0776	0.64048	0.00659
V490	0.48889	0.30346	0.09448	0.11317
V491	0.52626	0.39988	0.04517	0.02869
V492	0.05714	0.77621	0.16263	0.00402
V493	0.05323	0.01513	0.01706	0.91458
V494	0.27586	0.13333	0.53837	0.05244
V495	0.32236	0.51456	0.1525	0.01058
V496	0.38331	0.5938	0.00105	0.02184
V497	0.01743	0.00361	0.97531	0.00365
V498	0.54853	0.12385	0.08383	0.24379
V499	0.68258	0.19777	0.11685	0.0028
V500	0.15929	0.09733	0.72566	0.01772
V501	0.00726	0.01228	0.11335	0.86711
V502	0.64332	0.20367	0.14119	0.01181
V503	0.37894	0.11168	0.28523	0.22415
V504	0.34293	0.60862	0.01849	0.02995
V505	0.34399	0.20908	0.31262	0.13431
V506	0.16307	0.23434	0.51923	0.08336
V507	0.71146	0.09293	0.13305	0.06257
V508	0.80083	0.1359	0.04549	0.01778
V509	0.33513	0.0553	0.53279	0.07678
V510	0.31581	0.41531	0.26552	0.00337
V511	0.12738	0.52835	0.08551	0.25876
V512	0.47523	0.06787	0.14055	0.31635
V513	0.14393	0.57739	0.24688	0.0318
V514	0.0473	0.13161	0.01452	0.80658
V515	0.82961	0.06219	0.05818	0.05001
V516	0.92373	0.0736	0	0.00267
V517	0.11854	0.0376	0.45366	0.3902
V518	0.97181	0.02603	0	0.00216
V519	0.06269	0.87343	0.01199	0.05189
V520	0.06235	0.00151	0.77779	0.15835
V521	0.62851	0.03485	0.32495	0.01169
V522	0.02156	0.12663	0.72047	0.13134
V523	0.4753	0.12174	0.30023	0.10274
V524	0.02113	0.72797	0.23453	0.01638
V525	0.45979	0.24659	0.04933	0.24429
V526	0.75333	0.08005	0.08998	0.07665
V527	0.35041	0.02381	0.47474	0.15104
V528	0.1816	0.79323	0.00183	0.02334
V529	0.16458	0.08675	0.38943	0.35924
V530	0.0193	0.18418	0.74721	0.04931
V531	0.03997	0.81764	0.14216	0.00023
V532	0.35287	0.37255	0.04926	0.22532
V533	0.40798	0.32917	0.17046	0.09239
V534	0.02078	0.00868	0.85462	0.11592
V535	0.77889	0.00523	0.0194	0.19648
V536	0.3529	0.00159	0.46623	0.17928
V537	0.66151	0.19111	0.14163	0.00575
V538	0.65256	0.06322	0.11965	0.16457
V539	0.37504	0.38006	0.18342	0.06148
V540	0.30402	0.5905	0.08702	0.01846
V541	0.05195	0.62213	0.11316	0.21277
V542	0.36185	0.13519	0.32857	0.17439
V543	0.93192	0.01338	0.01435	0.04035
V544	0.25349	0.12088	0.29154	0.33409
V545	0.55907	0.15916	0.10311	0.17866
V546	0.09371	0.81669	0.08559	0.004
V547	0.07455	0.56682	0.35097	0.00765
V548	0.24918	0.64984	0.09734	0.00363
V549	0.40795	0.02211	0.56392	0.00602
V550	0.78945	0.03732	0.0014	0.17183
V551	0.27442	0.64924	0.04938	0.02696
V552	0.00359	0.70921	0.01677	0.27043
V553	0.29594	0.11613	0.57807	0.00986
V554	0.17778	0.15629	0.06643	0.5995
V555	0.18373	0.23662	0.42891	0.15074
V556	0.00039	0.01889	0.96592	0.0148
V557	0.89576	0.03277	0.0146	0.05687
V558	0.13695	0.76025	0.0438	0.05901
V559	0.02094	0.75034	0.22851	0.00021
V560	0.75257	0.24454	3e-05	0.00287
V561	0.00042	0.01248	0.98341	0.00369
V562	0.83137	0.01039	0.12062	0.03762
V563	0.32356	0.003	0.67041	0.00303
V564	0.09745	0.05778	0.83779	0.00698
V565	0.23132	0.24373	0.43091	0.09404
V566	0.81128	0.10025	0.00742	0.08105
V567	0.3799	0.44635	0.04252	0.13123
V568	0.50559	0.0147	0.10251	0.3772
V569	0.837	0.03704	0.00087	0.1251
V570	0.05442	0.25255	0.66163	0.03141
V571	0.85524	0.11907	0	0.02569
V572	0.51217	0.00865	0.43766	0.04152
V573	0.19167	0.28316	0.02308	0.50208
V574	0.07594	0.71244	0.2038	0.00782
V575	0.06989	0.14192	0.27286	0.51533
V576	0.24513	0.69839	0.04914	0.00735
V577	0.12234	0.06616	0.39873	0.41277
V578	0.10985	0.05939	0.75196	0.0788
V579	0.02153	0.84327	0.12284	0.01236
V580	0.37577	0.01476	0.20834	0.40112
V581	0.2166	0.1412	0.0106	0.6316
V582	0.69742	0.15432	0.0481	0.10016
V583	0.02243	0.04629	0.76776	0.16352
V584	0.56571	0.13028	0.2875	0.01651
V585	0.02663	0.01098	0.68951	0.27288
V586	0.31502	0.00807	0.6387	0.03822
V587	0.33232	0.0092	0.6454	0.01309
V588	0.78451	0.05234	0.03726	0.12589
V589	0.11836	0.76168	0.08696	0.033
V590	0.09219	0.68223	0.22169	0.00389
V591	0.00408	0.06194	0.42833	0.50565
V592	0.22027	0.02487	0.75482	4e-05
V593	0.70027	0.00393	0.20768	0.08812
V594	0.40242	0.23922	0.33688	0.02148
V595	0.08686	0.0503	0.0595	0.80334
V596	0.09784	0.33466	0.33823	0.22926
V597	0.00159	0.54952	0.40612	0.04278
V598	0.03469	0.09435	0.8637	0.00725
V599	0.69777	0.25115	0.03885	0.01224
