Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V220	0.02064	0.01607	0.04324	0.38624	0.00472	0	0.00902	0.07147	0.4486	0
V221	0.17851	0.06489	0.35282	0	0.05385	0	0.0156	0.11284	0.16697	0.05452
V222	0.07503	0	0.74555	0	0	0.16627	0.01316	0	0	0
V223	0.07066	0	0.78787	0	0	0.08436	0.05711	0	0	0
V224	0.0631	0	0.6987	0	0	0	0	0.09716	0.14104	0
V225	0.03049	0	0.34488	0.31311	0	0.00555	0	0.30597	0	0
V226	0.01805	0.51804	0.02429	0	0.23871	0	0	0.20091	0	0
V227	0.06374	0	0.69604	0	0.24022	0	0	0	0	0
V228	0.0347	0.44071	0.09686	0	0.20501	0	0	0.20603	0.01669	0
V229	0.65386	0	0	0	0	0.28308	0.03442	0.02864	0	0
V230	0	0.02191	0.07636	0.40528	0.06146	0.03219	0.10552	0.00145	0	0.29585
V231	0.04309	0.17167	0.03643	0.01868	0.09329	0.09313	0.01416	0	0.52955	0
V232	0.05338	0.26374	0.45889	0	0.12122	0	0	0.10277	0	0
V233	0.01018	8e-05	0.05169	0.01799	0.69167	0.00441	0.00129	0	0.22269	0
V234	0.02093	0.014	0.02511	0	0.21438	0.02874	0.1395	0.55535	0	0.002
V235	0.056	0	0.38703	0	0	0	0	0.55697	0	0
V236	0.01416	0.00534	0.25456	0.24871	0	0.40515	0.05181	0	0.02027	0
V237	0.05523	0.00351	0.46633	0.09461	0.31107	0.02748	0.0038	0.03796	0	0
V238	0.04166	0.01684	0.31346	0	0.01846	0	0	0.60959	0	0
V239	0.0222	0.12671	0.06489	0.54325	0.09891	0.03146	0.04315	0	0	0.06943
V240	0.05986	0.03013	0.02196	0	0	0.39534	0.42935	0.02041	0.01771	0.02524
V241	0.1878	0.01655	0.05051	0.66044	0	0.03531	0.01674	0.03265	0	0
V242	0.04229	0.00134	0.03906	0.05633	0.01956	0.0067	0.00794	0	0.82678	0
V243	0.03065	0.00419	0.04582	0.14007	0.02989	0.07933	0.05016	0	0.56459	0.05529
V244	0.05337	0.01661	0.38776	0	0	0.09112	0.35417	0.07538	0.02159	0
V245	0.16133	0.08671	0.17329	0	0.02983	0.47466	0.04764	0.02653	0	0
V246	0.00119	0.21801	0.01952	0	0.05665	0.12752	0.4988	0.02709	0.04855	0.00267
V247	0.08702	0	0.90366	0	0	0	0	0	0.00932	0
V248	0.52292	0.04988	0	0	0.01794	0.04042	0.10764	0.26121	0	0
V249	0.07583	0	0.73849	0	0.10611	0	0	0	0.00673	0.07284
V250	0.01487	0.0332	0.03094	0.30574	0.01815	0.2635	0.03166	0.29557	0	0.00637
V251	0.61538	0.12448	0.00298	0	0.14303	0	0	0.09082	0.02331	0
V252	0.05881	0.37987	0.03653	0.0302	0.15964	0.23541	0.0244	0.07514	0	0
V253	0.04644	0	0.34123	0	0.0024	0.07562	0.01591	0	0.5184	0
V254	0.00187	0.00494	0.06653	0.02313	0.86982	0.002	0	0	0	0.03171
V255	0.00342	0	0.03279	0	0.96379	0	0	0	0	0
V256	0.0033	0.02765	0.0624	0.82916	0	0.04949	0.02512	0	0.00287	0
V257	0.42001	0	0.41398	0	0	0.14533	0.02068	0	0	0
V258	0.00111	0	0.04642	0	0.86536	0	0.00444	0	0	0.08267
V259	0.06865	0	0.01677	0.09683	0.13378	0	0	0.68397	0	0
V260	0.0206	0.12145	0.01426	0.01285	0.03867	0	0	0.79217	0	0
V261	0.20419	0.03041	0.00179	0	0	0.37601	0.29603	0.01355	0.06352	0.0145
V262	0.00605	0.3201	0.11986	0	0.15412	0.3346	0.03002	0.01646	0	0.01878
V263	0.44452	0.32136	0	0	0.17064	0.00825	0.03285	0.00119	0	0.02118
V264	0.01297	0.01642	0.05983	0.57357	0.28499	0.02166	0.03055	0	0	0
V265	0.02045	0.24408	0.06227	0.30031	0.10923	0.05253	0.12262	0.00613	0	0.08237
V266	0.02811	0.52577	0.13706	0	0.23461	0	0.00224	0.03049	0.04172	0
V267	0	0.16697	0.0841	0.0053	0.21273	0.003	0	0	0	0.52791
V268	0.00514	0.21094	0.06776	0.11364	0.56569	0	0.01156	0.01765	0.00549	0.00212
V269	0.04442	0.01253	0.29127	0.60962	0	0.00155	0.01483	0.00904	0.01673	0
V270	0.02288	0	0.03221	0	0.94491	0	0	0	0	0
V271	0.05995	0.00472	0.18756	0	0.05613	0.00928	0.02699	0	0.65538	0
V272	0.02653	0.11963	0.09763	0	0.08078	0.15137	0.0251	0.24572	0.20134	0.05189
V273	0	0	0.03804	0.20664	0.06307	0.62717	0.06507	0	0	0
V274	0.07612	0.00778	0.1338	0	0.11992	0.16695	0.01434	0.06141	0	0.41967
V275	0.00117	0.06962	0.04884	0	0.70203	0.04852	0.00054	0	0	0.12928
V276	0.01549	0.09653	0.06018	0.41872	0.09045	0.02587	0.11311	0.02554	0.10329	0.05081
V277	0.04902	0.16645	0.4947	0.21247	0.0661	0	0.00387	0.00739	0	0
V278	0.12234	0.02227	0.10257	0	0.15993	0	0	0	0	0.59289
V279	0.0109	0.12974	0.05294	0.27618	0.28011	0.05502	0.18599	0.00912	0	0
V280	0.08528	0.01892	0.04367	0.04661	0.14066	0.3045	0.23221	0.12348	0	0.00468
V281	0	0.01555	0.04405	0.00033	0.04676	0.71996	0.08143	0.00629	0	0.08564
V282	0.00571	0.02787	0.05931	0.82405	0	0.00334	0.01938	0.03391	0.02643	0
V283	0.07473	0	0.06899	0.04989	0.52747	0.03719	0.00422	0.02282	0.21467	0
V284	0.01619	0.00066	0.2858	0	0.14155	0	0	0	0	0.55581
V285	0.01726	0.10136	0.04897	0	0.10704	0	0.027	0.40779	0	0.29058
V286	0.01539	0	0.10696	0.02845	0.07193	0.45479	0.04703	0	0	0.27546
V287	0.01653	0.04063	0.03937	0	0.07296	0.11514	0.37221	0.01624	0	0.32692
V288	0.02449	0.00488	0.0288	0.0109	0	0.22317	0	0.70776	0	0
V289	0.06119	0.12045	0.67661	0	0.12819	0	0	0	0	0.01356
V290	0.00748	0.03972	0.16877	0	0	0.3264	0.40985	0.03052	0.00967	0.00758
V291	0.82133	0	0.0595	0.03405	0.00126	0.06964	0.01154	0.00267	0	0
V292	0.05243	0	0.53473	0	0	0.37863	0.03421	0	0	0
V293	0.10147	0	0.84683	0	0	0	0	0.04511	0	0.0066
V294	0.06289	0.17348	0.1999	0.00309	0.08725	0.00657	0.05501	0.00444	0.40737	0
V295	0.07508	0.03341	0.72595	0	0.02253	0.01322	0.00272	0.08327	0	0.04382
V296	0.01939	0.01512	0.112	0.13992	0.2881	0.00539	0.01647	0.12592	0.27769	0
V297	0.21687	0.04665	0.04595	0	0.19457	0.00272	0.04431	0.00398	0	0.44496
V298	0.00616	0.02679	0.09005	0.80092	0	0.0155	0.03178	0.01091	0.01788	0
V299	0.31063	0	0	0	0.11635	0.51529	0.0445	0	0	0.01323
V300	0.01368	0.00091	0.03718	0.2276	0.1748	0	0	0.54583	0	0
V301	0.02236	0	0.00054	0.03368	0	0	0	0.94343	0	0
V302	0.21958	0	0.08095	0	0	0	0	0.69948	0	0
V303	0.01053	0.39395	0.14045	0	0.17291	0.25836	0.0238	0	0	0
V304	0.11931	0	0	0.01038	0	0	0	0.87031	0	0
V305	0.05185	0	0.40949	0	0.42579	0.05836	0.00397	0	0	0.05053
V306	0.00038	0.00679	0.0333	0.34551	0	0.45503	0.0615	0.06507	0.03241	0
V307	0.00417	0.09371	0.04108	0	0.86104	0	0	0	0	0
V308	0.0072	0.60289	0.06207	0.00403	0.26624	0.01408	0.01055	0.03293	0	0
V309	0.00538	0.12882	0.04305	0	0.81683	0	0	0	0.00593	0
V310	0.22993	0.02618	0.03045	0	0.56656	0.02077	0	0.09337	0	0.03275
V311	0.92408	0	0	0	0	0	0	0.07592	0	0
V312	0.02127	0.00929	0.16493	0	0.11086	0.00425	0.00029	0.22483	0	0.46427
V313	0.00497	0	0.01155	0.0061	0	0.47329	0.03298	0.4355	0	0.0356
V314	0.11999	0.24455	0.2271	0.00251	0.38589	0.0152	0.00475	0	0	0
