Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V408	0	0.10587	0	0.89053	0	0.00361
V409	0.97619	0.02381	0	0	0	0
V410	0.99237	0.00763	0	0	0	0
V411	0	0	0	0.27047	0	0.72953
V412	0.69858	0.19259	0.00928	0.02816	0.07138	0
V413	0	0.08963	0	0.91037	0	0
V414	0.0327	0.08197	0	0.73795	0.14738	0
V415	0	0.00755	0.42753	0.4695	0.06796	0.02746
V416	0	0.15057	0	0.32064	0.49387	0.03492
V417	0	0.00592	0.04809	0.10741	0	0.83858
V418	0	0.07054	0.51564	0.11387	0.29996	0
V419	0	0	0	0	0	1
V420	0	0	0	0	0	1
V421	0	0.0541	0.01901	0.05861	0.86828	0
V422	0.18703	0.31504	0	0	0.49793	0
V423	0	0.14395	0	0.85605	0	0
V424	0.88958	0.08442	0	0.026	0	0
V425	0	0.07537	0	0	0.92463	0
V426	0	0.00277	0.1775	0	0	0.81973
V427	0.615	0.13757	0.12112	0.12632	0	0
V428	0.25595	0.01225	0	0.73179	0	0
V429	0	0	0.09138	0.6902	0.21842	0
V430	0	0.08359	0.7298	0.18662	0	0
V431	0	0	1	0	0	0
V432	0	0.45065	0	0.54935	0	0
V433	0	0	0.00986	0.99014	0	0
V434	0	0.2742	0.15914	0.56667	0	0
V435	0	0	0	0	0.85544	0.14456
V436	0.91296	0.08704	0	0	0	0
V437	0.24566	0.32577	0.37104	0	0.05753	0
V438	0	0.428	0	0.04521	0.52679	0
V439	0	0	0.06919	0	0.93081	0
V440	0.13392	0.06207	0.539	0.00657	0.20538	0.05306
V441	0	0.06167	0.6181	0.11982	0	0.20041
V442	0.56419	0.1463	0.17835	0.04223	0	0.06892
V443	0	0	0.04198	0.95802	0	0
V444	0.9039	0.03978	0	0.00274	0.05357	0
V445	0.9936	0.0064	0	0	0	0
V446	0	0.63859	0.36141	0	0	0
V447	0	0.27736	0	0.24516	0	0.47748
V448	0	0.02101	0.9722	0	0.00679	0
V449	0.67207	0.03094	0	0.29699	0	0
V450	0.06762	0.00889	0.79557	0	0.12792	0
V451	0.08303	0.04282	0.14598	0.14996	0.57822	0
V452	0	0.00703	0	0.59803	0	0.39494
V453	0.38084	0.00133	0.55872	0.05911	0	0
V454	0.16677	0.06788	0.08842	0.67692	0	0
V455	0	0.97704	0.01006	0.0129	0	0
V456	0.99164	0.00836	0	0	0	0
V457	0	0	0	0	0.19947	0.80053
V458	0.01578	0	0.50931	0	0.42633	0.04858
V459	0	0.00426	0.68701	0.30874	0	0
V460	0.46335	0.07624	0.27376	0.12181	0	0.06484
V461	0.31147	0.04867	0	0.54125	0.09861	0
V462	0	0	1	0	0	0
V463	0	0.01238	0	0.01953	0.96809	0
V464	0	0.97124	0	0.02876	0	0
V465	0.44067	0.09187	0.46746	0	0	0
V466	0.00601	0.03218	0	0.91749	0.04432	0
V467	1	0	0	0	0	0
V468	0.41999	0.11477	0.05285	0.29048	0.12191	0
V469	0	0.12511	0.84429	0.0306	0	0
V470	0.73965	0.01546	0	0.05248	0.19242	0
V471	0	0.24065	0.73333	0.01394	0	0.01208
V472	0	0.62233	0	0.01615	0.36152	0
V473	0	1	0	0	0	0
V474	0	0.0028	0.4455	0.5517	0	0
V475	0	0.17397	0.33996	0.20098	0.28509	0
V476	0.53573	0.0286	0	0.22477	0	0.2109
V477	0	0.75896	0.02945	0.10593	0	0.10567
V478	0	0.00028	0.99972	0	0	0
V479	0	0.12723	0.87277	0	0	0
V480	0	0.22652	0	0.3814	0.39208	0
V481	0.51899	0.10437	0.0755	0.05377	0.24738	0
V482	0.52343	0.00077	0	0	0	0.47581
V483	0	0.96158	0.03842	0	0	0
V484	0.97639	0.00701	0.01333	0	0.00327	0
V485	0.28625	0.13073	0.57142	0.0116	0	0
V486	0.22358	0	0.77642	0	0	0
V487	0	0.34405	0	0	0.65595	0
V488	0.2516	0.72651	0	0.02189	0	0
V489	0.94381	0.02671	0.02636	0	0.00312	0
V490	0	0.03577	0	0.0169	0	0.94733
V491	0.01178	0.31205	0.44572	0	0.23044	0
V492	0	0.03066	0.26781	0.06636	0.01259	0.62258
V493	0.88466	0.11534	0	0	0	0
V494	0	0	0.38952	0	0	0.61048
V495	0.20447	0.58537	0.21016	0	0	0
V496	0.19833	0.14124	0.34321	0	0.1899	0.12731
V497	0	0.19567	0.15592	0	0.64841	0
V498	0.02399	0.12226	0.44547	0.40644	0.00185	0
V499	0	0.77063	0.18405	0.04532	0	0
V500	0.61622	0.20331	0.01319	0.03907	0.1282	0
V501	0	0.98981	0	0.01019	0	0
V502	0	0	0	0.27547	0.72453	0
V503	0.01115	0.37163	0	0.61721	0	0
V504	0	0.97228	0.02772	0	0	0
V505	0	0	0.5855	0.4145	0	0
V506	0.31013	0.02083	0	0.1774	0	0.49163
V507	0	0	0	0	0	1
V508	0	0.68522	0.01604	0.10679	0.19195	0
V509	0	0.00128	0	0.9103	0.08842	0
V510	0.99931	0.00069	0	0	0	0
V511	0	0	0	0.26477	0	0.73523
V512	0	0.23476	0.76524	0	0	0
V513	0	0.01295	0.23761	0.02244	0.72699	0
V514	0	0.94494	0.04283	0	0	0.01223
V515	0	0.42146	0	0.57854	0	0
V516	0	0.03347	0.91258	0	0.05396	0
V517	0	0	0.44721	0.22445	0.32834	0
V518	0.41853	0.45098	0	0.13049	0	0
V519	0	0.67897	0	0.07329	0	0.24774
V520	0.8136	0.09601	0	0.0904	0	0
V521	0.07148	0	0	0	0.92852	0
V522	0.44917	0.2109	0	0	0.20597	0.13395
V523	0.4439	0.20239	0.01296	0.15485	0	0.1859
V524	0	0	0.03573	0.1911	0.67139	0.10178
V525	0.37569	0.00382	0	0	0	0.62049
V526	0	0.86365	0.10394	0	0.03241	0
V527	0.39476	0.00835	0.59689	0	0	0
V528	0.95032	0.002	0.04767	0	0	0
V529	0	0.09356	0	0.90644	0	0
V530	0	0.27503	0.46663	0.12563	0	0.1327
V531	0.99273	0.00727	0	0	0	0
V532	0.07517	0.00784	0.05314	0.75768	0.10617	0
V533	0	0	0.33645	0	0.33038	0.33317
V534	0	0	0	0.77104	0.04175	0.18721
V535	0.64888	0.04515	0.19148	0.11449	0	0
V536	0	0	0.86032	0.13968	0	0
V537	0	0.6777	0	0.3223	0	0
V538	0	0	0	0.44045	0	0.55955
V539	0	0	0	0.86697	0.13303	0
V540	0.40899	0.01122	0.3729	0	0.20689	0
V541	0	0.23693	0	0.76307	0	0
V542	0	0.63192	0	0.36808	0	0
V543	0	0	0.73165	0	0.26835	0
V544	0	0.00207	0	0	0	0.99793
V545	0	0.73576	0.05165	0.00243	0.21015	0
V546	0.66643	0.06021	0	0.27337	0	0
V547	0	0.09495	0	0.53292	0.34952	0.02261
V548	0	0	0	0	0	1
V549	0.09808	0.00316	0.78904	0.04677	0	0.06294
V550	0	0	0.38445	0	0.61555	0
V551	0	0.06235	0.01467	0.14079	0.02711	0.75508
V552	0	0.04117	0.16619	0.36325	0.42938	0
V553	0.98112	0.00731	0	0.01156	0	0
V554	0	1	0	0	0	0
V555	0.35504	0.00204	0	0.30121	0	0.34172
V556	0.00848	0.0145	0.5633	0.41372	0	0
V557	0	0.9032	0.0968	0	0	0
V558	0.41825	0.21479	0	0.11311	0	0.25385
V559	0	0	0	0.14249	0.85751	0
V560	0.91283	0.03842	0	0	0.04876	0
V561	0	0.0014	0.9986	0	0	0
V562	0.67355	0.25746	0.00078	0.06822	0	0
V563	0	0	0	0.02261	0	0.97739
V564	0	0.06015	0	0	0.25823	0.68162
V565	0	0	0	0	0	1
V566	0	0.09979	0	0.01236	0	0.88785
V567	0.39629	0.31786	0	0.28585	0	0
V568	0.03031	0	0	0.0118	0.9579	0
V569	0.92965	0.04443	0	0.00151	0	0.02441
V570	0.82982	0.13816	0	0.03202	0	0
V571	0	0.19479	0.80521	0	0	0
V572	0	0.00918	0.94203	0	0.04879	0
V573	0.07821	0.92179	0	0	0	0
V574	0	0	0.4844	0	0	0.5156
V575	0	0.79008	0.05516	0.15476	0	0
V576	0.38811	0.1069	0	0	0.50499	0
