B_cells	NK_cells	T_cells_CD4.	Monocytes
V423	0.12934	0.03867	0.82692	0.00508
V424	0.02489	0.07375	0.6597	0.24165
V425	0.09558	0.23865	0.60568	0.06009
V426	0.13608	0.06502	0.76355	0.03536
V427	0.10477	0.39264	0.24326	0.25934
V428	0.13066	0.70602	0.11432	0.049
V429	0.1068	0	0.1458	0.74741
V430	0.72993	0.15713	0.05301	0.05993
V431	0.22161	0.02982	0.49383	0.25474
V432	0.18147	0.11088	0.09495	0.61269
V433	0.10089	0.72104	0.01788	0.16018
V434	0.38406	0.07964	0.09366	0.44264
V435	0.53123	0	0.1728	0.29597
V436	0.42396	0	0.17133	0.40471
V437	0.28403	0.24355	0.02268	0.44975
V438	0.611	0.15668	0.06438	0.16793
V439	0.10681	0.13834	0.03252	0.72233
V440	0.51835	0.03042	0.07472	0.37651
V441	0.11011	0.14202	0.61292	0.13495
V442	0.33841	0.33189	0.17701	0.15269
V443	0.72626	0	0.13992	0.13381
V444	0.07831	0.0556	0.86609	0
V445	0.59202	0.01416	0.38343	0.0104
V446	0.07889	0.75641	0.12217	0.04253
V447	0.60807	0.08836	0.22853	0.07505
V448	0.07303	0.08215	0.25817	0.58665
V449	0.55003	0.03599	0.34306	0.07093
V450	0.17388	0.75508	0.07104	0
V451	0.88863	0.05877	0.01404	0.03856
V452	0.12389	0.0112	0.15742	0.70749
V453	0.76654	0.06496	0.12034	0.04816
V454	0.02409	0.84241	0.1335	0
V455	0.58224	0.02792	0.34982	0.04002
V456	0.34117	0.12359	0.42014	0.1151
V457	0.03524	0.08523	0.08594	0.79358
V458	0.31562	0.24067	0.02222	0.42149
V459	0.05166	0.7309	0.16116	0.05628
V460	0.87133	0	0.09897	0.0297
V461	0.16436	0.06529	0.03956	0.73079
V462	0.39136	0.25921	0	0.34943
V463	0.27677	0.4434	0.20834	0.07149
V464	0.54046	0.1006	0.0229	0.33604
V465	0.41978	0.40633	0.06252	0.11137
V466	0.59473	0.18497	0.02725	0.19305
V467	0.33599	0.52266	0.13593	0.00542
V468	0.5013	0.37238	0.09921	0.02711
V469	0.05722	0.19456	0.34138	0.40685
V470	0.53795	0.12061	0.22778	0.11366
V471	0.3239	0.11855	0.06623	0.49132
V472	0.36524	0.34077	0	0.29398
V473	0.1343	0.49048	0.37522	0
V474	0.19868	0	0.17008	0.63124
V475	0.22064	0.3962	0.12022	0.26294
V476	0.24272	0.00987	0.12008	0.62732
V477	0.5885	0.03001	0.25754	0.12395
V478	0.17149	0.57322	0.0391	0.2162
V479	0.05864	0.10827	0.78334	0.04975
V480	0.12827	0.32502	0.08566	0.46105
V481	0.18283	0.03566	0.78151	0
V482	0.66537	0.15099	0.16579	0.01786
V483	0.19429	0.12553	0.12327	0.55691
V484	0.09536	0.10559	0.07796	0.72108
V485	0.16236	0.69233	0.05566	0.08965
V486	0.30127	0.26687	0.17133	0.26054
V487	0.15421	0.05713	0.15044	0.63822
V488	0.03676	0.02664	0.87183	0.06477
V489	0.23479	0.10895	0.65627	0
V490	0.36639	0.31305	0.10364	0.21692
V491	0.45315	0.43442	0.07838	0.03406
V492	0.06911	0.73459	0.19631	0
V493	0.17343	0	0.00668	0.81989
V494	0.22266	0.16207	0.53685	0.07842
V495	0.24761	0.55765	0.19474	0
V496	0.3071	0.64838	0.02589	0.01863
V497	0.0823	0.01396	0.89648	0.00727
V498	0.36186	0.1125	0.09047	0.43517
V499	0.58957	0.23867	0.17176	0
V500	0.14477	0.1363	0.71111	0.00782
V501	0.0492	0	0.166	0.78481
V502	0.53562	0.25973	0.20465	0
V503	0.24388	0.1077	0.25234	0.39608
V504	0.26336	0.64473	0.0578	0.0341
V505	0.23221	0.22081	0.29877	0.24821
V506	0.12554	0.25538	0.48182	0.13727
V507	0.60036	0.09755	0.16977	0.13232
V508	0.72271	0.15599	0.08719	0.03411
V509	0.25794	0.07141	0.53156	0.13909
V510	0.24121	0.45788	0.30091	0
V511	0.09007	0.42558	0.09119	0.39316
V512	0.30162	0.05303	0.13297	0.51238
V513	0.1168	0.58736	0.26856	0.02727
V514	0.08761	0.12593	0	0.78646
V515	0.74223	0.05566	0.09552	0.10659
V516	0.88944	0.0907	0.01381	0.00605
V517	0.10287	0.0365	0.3142	0.54643
V518	0.91715	0.05459	0.0087	0.01956
V519	0.07075	0.80963	0.05437	0.06525
V520	0.08097	7e-04	0.66075	0.25758
V521	0.54542	0.04398	0.40342	0.00718
V522	0.04438	0.1452	0.60573	0.2047
V523	0.37125	0.13089	0.30228	0.19558
V524	0.04523	0.69928	0.25549	0
V525	0.30453	0.22076	0.05368	0.42102
V526	0.63557	0.07501	0.12247	0.16695
V527	0.24617	0.02711	0.44358	0.28314
V528	0.14662	0.80107	0.02846	0.02385
V529	0.11957	0.07665	0.28159	0.52218
V530	0.04616	0.21403	0.67943	0.06038
V531	0.06001	0.76221	0.17779	0
V532	0.21768	0.3404	0.05546	0.38646
V533	0.30702	0.34492	0.1778	0.17026
V534	0.059	0.04015	0.72033	0.18053
V535	0.57844	0	0.04981	0.37175
V536	0.2387	0	0.42345	0.33785
V537	0.56524	0.23438	0.20038	0
V538	0.48301	0.04879	0.13564	0.33257
V539	0.28972	0.40695	0.20499	0.09834
V540	0.23142	0.63138	0.13101	0.00619
V541	0.051	0.50639	0.1166	0.32601
V542	0.23769	0.13984	0.29988	0.32259
V543	0.84329	0	0.06174	0.09496
V544	0.16363	0.10364	0.22838	0.50435
V545	0.39804	0.15018	0.10817	0.34361
V546	0.09286	0.77099	0.13615	0
V547	0.07515	0.56929	0.35556	0
V548	0.18298	0.6736	0.14343	0
V549	0.33247	0.04213	0.6254	0
V550	0.62634	0.02953	0	0.34413
V551	0.21159	0.6744	0.08894	0.02506
V552	0.01653	0.53944	0.05802	0.38602
V553	0.24717	0.15161	0.60122	0
V554	0.13606	0.11624	0.06395	0.68376
V555	0.12921	0.23825	0.37666	0.25588
V556	0.02972	0.06693	0.88033	0.02302
V557	0.80052	0.02105	0.04714	0.13129
V558	0.10905	0.72937	0.08144	0.08014
V559	0.04676	0.70922	0.24402	0
V560	0.68452	0.2921	0.02338	0
V561	0.03565	0.06376	0.89015	0.01043
V562	0.74707	0	0.17101	0.08192
V563	0.26417	0.00973	0.72611	0
V564	0.1069	0.0986	0.7945	0
V565	0.15886	0.26313	0.41344	0.16457
V566	0.7003	0.09411	0.02728	0.17831
V567	0.25373	0.44185	0.05955	0.24487
V568	0.30984	0	0.11106	0.5791
V569	0.70737	0.02777	0	0.26486
V570	0.06694	0.28563	0.62174	0.02569
V571	0.80307	0.12157	0.01537	0.06
V572	0.44813	0.00943	0.47571	0.06672
V573	0.12833	0.20229	0.02749	0.64188
V574	0.07631	0.69218	0.23151	0
V575	0.07458	0.10615	0.19027	0.629
V576	0.18761	0.71617	0.09622	0
V577	0.10301	0.05691	0.27529	0.56479
V578	0.10251	0.08892	0.68355	0.12502
V579	0.04895	0.78283	0.16823	0
V580	0.22565	0	0.17936	0.595
V581	0.15982	0.12104	0	0.71914
V582	0.586	0.14876	0.06333	0.2019
V583	0.04858	0.0705	0.62432	0.25659
V584	0.50451	0.15431	0.33518	0.006
V585	0.06468	0.02718	0.4963	0.41184
V586	0.26327	0.02322	0.65724	0.05627
V587	0.28921	0.02605	0.68188	0.00286
V588	0.63929	0.0373	0.06234	0.26107
V589	0.10018	0.73512	0.13086	0.03384
V590	0.08349	0.67126	0.24525	0
V591	0.03659	0.05405	0.27921	0.63016
V592	0.18483	0.05051	0.76466	0
V593	0.58381	0	0.22938	0.1868
V594	0.34668	0.27521	0.3727	0.00541
V595	0.12494	0.05289	0.08942	0.73275
V596	0.0743	0.29623	0.2769	0.35257
V597	0.01545	0.54836	0.39432	0.04187
V598	0.06648	0.13519	0.79833	0
V599	0.61228	0.29586	0.08309	0.00877
V600	0.37491	0.44758	0.09324	0.08427
V601	0.20732	0.28749	0.12218	0.38301
V602	0.13263	0.06551	0.05554	0.74633
V603	0.05188	0.38583	0.0569	0.5054
