Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V249	0.27057	0.14114	0.47155	0.0728	0	0.04394
V250	0	0.03517	0.04923	0.91559	0	0
V251	0	0.55973	0.21536	0.22491	0	0
V252	0	0.0202	0.10318	0.87662	0	0
V253	0.03539	0.03542	0.00725	0.53198	0.09935	0.29061
V254	0.03328	0.24654	0.09257	0.246	0.38161	0
V255	0.45498	0.2748	0.08388	0.10402	0.04558	0.03674
V256	0	0.84205	0.01998	0.09541	0.01553	0.02702
V257	0.0273	0.40586	0.02198	0.06715	0.4471	0.03061
V258	0	0.22974	0.20835	0.56191	0	0
V259	0	0.52127	0.44509	0.03364	0	0
V260	0.16257	0	0	0.04643	0.76394	0.02706
V261	0.63913	0	0.0107	0.06445	0.24031	0.0454
V262	0.04988	0.04449	0.85302	0.00054	0.05207	0
V263	0	0.07027	0.74548	0.18425	0	0
V264	0.73223	0	0.11029	0.06102	0.0484	0.04805
V265	0.02429	0	0	0.05761	0.9181	0
V266	0.18009	0	0.0172	0.05458	0	0.74813
V267	0.16859	0.67808	0.01297	0.14036	0	0
V268	0.97125	0	0	0.02875	0	0
V269	0	0.06693	0.19672	0.73635	0	0
V270	0.31198	0.4715	0.02329	0.05484	0.13839	0
V271	0.02003	0.09022	0.3489	0.03111	0	0.50974
V272	0.03202	0	0	0.11938	0.8486	0
V273	0.06102	0	0.03247	0.11405	0.79247	0
V274	0.01427	0	0.22555	0.07942	0	0.68076
V275	0.80289	0.15012	0	0.04699	0	0
V276	0.09863	0.24693	0.11493	0.14233	0	0.39718
V277	0.5607	0	0	0.04695	0.12351	0.26884
V278	0.13241	0.11861	0.11196	0.27216	0.36487	0
V279	0.16719	0	0.27483	0.07768	0	0.48031
V280	0.08474	0.04588	0.04075	0.82863	0	0
V281	0	0.81171	0.07285	0.10546	0	0.00998
V282	0.00234	0.03071	0	0.09328	0.87367	0
V283	0	0.39517	0	0.04539	0.55944	0
V284	0.01866	0.10121	0.43547	0.37979	0	0.06487
V285	0	0.03693	0.03243	0.93063	0	0
V286	0.69452	0.04032	0.08485	0.18031	0	0
V287	0.02466	0	0.00977	0.12044	0.84513	0
V288	0.08206	0.26022	0.0096	0.07311	0.10363	0.47137
V289	0	0.07865	0.82568	0.09402	0.00165	0
V290	0	0.00738	0.31539	0.67723	0	0
V291	0	0.06055	0.03246	0.907	0	0
V292	0.12137	0.12208	0.03459	0.6185	0.10347	0
V293	0	0.02824	0.00558	0.04	0.92619	0
V294	0.64203	0	0	0.0401	0.31786	0
V295	0.16834	0	0.02109	0.04052	0	0.77005
V296	0	0.39022	0.13647	0.37088	0.0203	0.08214
V297	0.07252	0	0	0.07083	0	0.85666
V298	0	0.71821	0.22345	0.05834	0	0
V299	0.12294	0.09318	0.78388	0	0	0
V300	0.87926	0.06372	0.02182	0.0352	0	0
V301	0.52117	0.37142	0.05991	0.0475	0	0
V302	0	0.27696	0.11618	0.59499	0.01187	0
V303	0	0.67901	0.09962	0.07588	0.14549	0
V304	0.02261	0	0	0.02879	0.94861	0
V305	0.02446	0	0.26419	0.51067	0.0499	0.15079
V306	0.49078	0.02831	0	0.03782	0	0.44309
V307	0.21052	0	0	0.03706	0.75242	0
V308	0	0.02309	0.03348	0.94343	0	0
V309	0	0.5277	0.02453	0.44777	0	0
V310	0.01817	0.37764	0.36045	0.01823	0	0.22552
V311	0.56439	0	0	0.02751	0	0.4081
V312	0.13363	0.015	0	0.38911	0.46226	0
V313	0.28808	0	0	0.07655	0	0.63538
