Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-HPCA	T Cells	J	0.83823	1.0	0.16177	0.0261695329
Cibersort-HPCA	B Cells	K	0.00503	0.0	0.00503	2.53009e-05
Cibersort-HPCA	Monocytes	K	0.01019	0.0	0.01019	0.0001038361
Cibersort-HPCA	NK	K	0.15653	0.0	0.15653	0.0245016409
Cibersort-HPCA	Neutrophils	K	0.0	0.0	0.0	0.0
Cibersort-HPCA	T Cells	K	0.77751	1.0	0.22249	0.0495018001
Cibersort-HPCA	B Cells	L	0.00024	0.0	0.00024	5.76e-08
Cibersort-HPCA	Monocytes	L	0.11728	0.0	0.11728	0.0137545984
Cibersort-HPCA	NK	L	0.08341	0.0	0.08341	0.0069572281
Cibersort-HPCA	Neutrophils	L	0.0	0.0	0.0	0.0
Cibersort-HPCA	T Cells	L	0.74976	1.0	0.25024	0.0626200576
Cibersort-ImmunoStates	B Cells	A	0.08648	0.194	0.10752	0.0115605504
Cibersort-ImmunoStates	Monocytes	A	0.30051	0.194	0.10651	0.0113443801
Cibersort-ImmunoStates	NK	A	0.19596	0.194	0.00196	3.8416e-06
Cibersort-ImmunoStates	Neutrophils	A	0.0	0.03	0.03	0.0009
Cibersort-ImmunoStates	T Cells	A	0.28957	0.388	0.09843	0.0096884649
Cibersort-ImmunoStates	B Cells	B	0.07728	0.194	0.11672	0.0136235584
Cibersort-ImmunoStates	Monocytes	B	0.27858	0.194	0.08458	0.0071537764
Cibersort-ImmunoStates	NK	B	0.21666	0.194	0.02266	0.0005134756
Cibersort-ImmunoStates	Neutrophils	B	0.00309	0.03	0.02691	0.0007241481
Cibersort-ImmunoStates	T Cells	B	0.30796	0.388	0.08004	0.0064064016
Cibersort-ImmunoStates	B Cells	C	0.00515	0.005	0.00015	2.25e-08
Cibersort-ImmunoStates	Monocytes	C	0.03691	0.01	0.02691	0.0007241481
Cibersort-ImmunoStates	NK	C	0.20041	0.051	0.14941	0.0223233481
Cibersort-ImmunoStates	Neutrophils	C	0.00046	0.004	0.00354	1.25316e-05
Cibersort-ImmunoStates	T Cells	C	0.69801	0.93	0.23199	0.0538193601
Cibersort-ImmunoStates	B Cells	D	0.00806	0.005	0.00306	9.3636e-06
Cibersort-ImmunoStates	Monocytes	D	0.03717	0.01	0.02717	0.0007382089
Cibersort-ImmunoStates	NK	D	0.21234	0.051	0.16134	0.0260305956
Cibersort-ImmunoStates	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-ImmunoStates	T Cells	D	0.67186	0.93	0.25814	0.0666362596
Cibersort-ImmunoStates	B Cells	E	0.01674	0.01	0.00674	4.54276e-05
Cibersort-ImmunoStates	Monocytes	E	0.096	0.026	0.07	0.0049
Cibersort-ImmunoStates	NK	E	0.27761	0.104	0.17361	0.0301404321
Cibersort-ImmunoStates	Neutrophils	E	0.0	0.008	0.008	6.4e-05
Cibersort-ImmunoStates	T Cells	E	0.49123	0.851	0.35977	0.1294344529
Cibersort-ImmunoStates	B Cells	F	0.01373	0.027	0.01327	0.0001760929
Cibersort-ImmunoStates	Monocytes	F	0.12371	0.055	0.06871	0.0047210641
Cibersort-ImmunoStates	NK	F	0.59287	0.885	0.29213	0.0853399369
Cibersort-ImmunoStates	Neutrophils	F	0.00709	0.017	0.00991	9.82081e-05
Cibersort-ImmunoStates	T Cells	F	0.12145	0.016	0.10545	0.0111197025
Cibersort-ImmunoStates	B Cells	G	0.09132	0.159	0.06768	0.0045805824
Cibersort-ImmunoStates	Monocytes	G	0.4284	0.319	0.1094	0.01196836
Cibersort-ImmunoStates	NK	G	0.0	0.016	0.016	0.000256
Cibersort-ImmunoStates	Neutrophils	G	0.12097	0.395	0.27403	0.0750924409
Cibersort-ImmunoStates	T Cells	G	0.11406	0.112	0.00206	4.2436e-06
Cibersort-ImmunoStates	B Cells	H	0.05994	0.1	0.04006	0.0016048036
Cibersort-ImmunoStates	Monocytes	H	0.64497	0.813	0.16803	0.0282340809
Cibersort-ImmunoStates	NK	H	0.0	0.01	0.01	0.0001
Cibersort-ImmunoStates	Neutrophils	H	0.0	0.001	0.001	1e-06
Cibersort-ImmunoStates	T Cells	H	0.13132	0.075	0.05632	0.0031719424
Cibersort-ImmunoStates	B Cells	I	0.07056	0.1	0.02944	0.0008667136
Cibersort-ImmunoStates	Monocytes	I	0.63963	0.813	0.17337	0.0300571569
Cibersort-ImmunoStates	NK	I	0.0	0.01	0.01	0.0001
Cibersort-ImmunoStates	Neutrophils	I	0.0	0.001	0.001	1e-06
Cibersort-ImmunoStates	T Cells	I	0.12871	0.075	0.05371	0.0028847641
Cibersort-ImmunoStates	B Cells	J	0.01577	0.0	0.01577	0.0002486929
Cibersort-ImmunoStates	Monocytes	J	0.01058	0.0	0.01058	0.0001119364
Cibersort-ImmunoStates	NK	J	0.11386	0.0	0.11386	0.0129640996
Cibersort-ImmunoStates	Neutrophils	J	0.0	0.0	0.0	0.0
Cibersort-ImmunoStates	T Cells	J	0.75942	1.0	0.24058	0.0578787364
Cibersort-ImmunoStates	B Cells	K	0.00635	0.0	0.00635	4.03225e-05
Cibersort-ImmunoStates	Monocytes	K	0.02887	0.0	0.02887	0.0008334769
Cibersort-ImmunoStates	NK	K	0.17553	0.0	0.17553	0.0308107809
Cibersort-ImmunoStates	Neutrophils	K	0.00746	0.0	0.00746	5.56516e-05
Cibersort-ImmunoStates	T Cells	K	0.7134	1.0	0.2866	0.08213956
Cibersort-ImmunoStates	B Cells	L	0.02172	0.0	0.02172	0.0004717584
Cibersort-ImmunoStates	Monocytes	L	0.02575	0.0	0.02575	0.0006630625
Cibersort-ImmunoStates	NK	L	0.1095	0.0	0.1095	0.01199025
Cibersort-ImmunoStates	Neutrophils	L	0.01158	0.0	0.01158	0.0001340964
Cibersort-ImmunoStates	T Cells	L	0.74467	1.0	0.25533	0.0651934089
Cibersort-LM22	B Cells	A	0.06822	0.194	0.12578	0.0158206084
Cibersort-LM22	Monocytes	A	0.3198	0.194	0.1258	0.01582564
Cibersort-LM22	NK	A	0.18513	0.194	0.00887	7.86769e-05
Cibersort-LM22	Neutrophils	A	0.02013	0.03	0.00987	9.74169e-05
Cibersort-LM22	T Cells	A	0.37645	0.388	0.01155	0.0001334025
Cibersort-LM22	B Cells	B	0.08556	0.194	0.10844	0.0117592336
Cibersort-LM22	Monocytes	B	0.30777	0.194	0.11377	0.0129436129
Cibersort-LM22	NK	B	0.2134	0.194	0.0194	0.00037636
Cibersort-LM22	Neutrophils	B	0.0	0.03	0.03	0.0009
Cibersort-LM22	T Cells	B	0.34914	0.388	0.03886	0.0015100996
Cibersort-LM22	B Cells	C	0.01754	0.005	0.01254	0.0001572516
Cibersort-LM22	Monocytes	C	0.05272	0.01	0.04272	0.0018249984
Cibersort-LM22	NK	C	0.08517	0.051	0.03417	0.0011675889
Cibersort-LM22	Neutrophils	C	0.00031	0.004	0.00369	1.36161e-05
Cibersort-LM22	T Cells	C	0.82299	0.93	0.10701	0.0114511401
Cibersort-LM22	B Cells	D	0.02095	0.005	0.01595	0.0002544025
Cibersort-LM22	Monocytes	D	0.0587	0.01	0.0487	0.00237169
Cibersort-LM22	NK	D	0.08059	0.051	0.02959	0.0008755681
Cibersort-LM22	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-LM22	T Cells	D	0.82813	0.93	0.10187	0.0103774969
Cibersort-LM22	B Cells	E	0.0105	0.01	0.0005	2.5e-07
Cibersort-LM22	Monocytes	E	0.09357	0.026	0.06757	0.0045657049
Cibersort-LM22	NK	E	0.17036	0.104	0.06636	0.0044036496
Cibersort-LM22	Neutrophils	E	0.0102	0.008	0.0022	4.84e-06
Cibersort-LM22	T Cells	E	0.71121	0.851	0.13979	0.0195412441
Cibersort-LM22	B Cells	F	0.02331	0.027	0.00369	1.36161e-05
Cibersort-LM22	Monocytes	F	0.12892	0.055	0.07392	0.0054641664
Cibersort-LM22	NK	F	0.57884	0.885	0.30616	0.0937339456
Cibersort-LM22	Neutrophils	F	0.0	0.017	0.017	0.000289
Cibersort-LM22	T Cells	F	0.20146	0.016	0.18546	0.0343954116
Cibersort-LM22	B Cells	G	0.08292	0.159	0.07608	0.0057881664
Cibersort-LM22	Monocytes	G	0.42238	0.319	0.10338	0.0106874244
Cibersort-LM22	NK	G	0.12301	0.016	0.10701	0.0114511401
Cibersort-LM22	Neutrophils	G	0.15881	0.395	0.23619	0.0557857161
Cibersort-LM22	T Cells	G	0.15921	0.112	0.04721	0.0022287841
Cibersort-LM22	B Cells	H	0.05441	0.1	0.04559	0.0020784481
Cibersort-LM22	Monocytes	H	0.74896	0.813	0.06404	0.0041011216
Cibersort-LM22	NK	H	0.03184	0.01	0.02184	0.0004769856
Cibersort-LM22	Neutrophils	H	0.0	0.001	0.001	1e-06
Cibersort-LM22	T Cells	H	0.12641	0.075	0.05141	0.0026429881
Cibersort-LM22	B Cells	I	0.04879	0.1	0.05121	0.0026224641
Cibersort-LM22	Monocytes	I	0.73932	0.813	0.07368	0.0054287424
Cibersort-LM22	NK	I	0.03781	0.01	0.02781	0.0007733961
Cibersort-LM22	Neutrophils	I	0.0	0.001	0.001	1e-06
Cibersort-LM22	T Cells	I	0.11739	0.075	0.04239	0.0017969121
Cibersort-LM22	B Cells	J	0.02344	0.0	0.02344	0.0005494336
Cibersort-LM22	Monocytes	J	0.0	0.0	0.0	0.0
Cibersort-LM22	NK	J	0.06967	0.0	0.06967	0.0048539089
Cibersort-LM22	Neutrophils	J	0.0	0.0	0.0	0.0
