Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V202	0.04825	0.2454	0.52592	0	0.08434	0.00733	0.05262	0.0059	0.03012	0.00011
V203	0.02964	0.05539	0.42476	0.12592	0.04085	0.02038	0.07444	0	0.21634	0.01228
V204	0.01079	0.15175	0.29344	0.27694	0.068	0.07826	0.01466	0.09293	0.01324	0
V205	0.06834	0.09516	0.03119	0.00136	0.00688	0.11407	0.43728	0.10505	0.13212	0.00857
V206	0.32035	0	0.62322	0	0.02884	0	0	0	0	0.0276
V207	0.02649	0.11525	0.06245	0.07334	0.19254	0	0.0061	0	0.20235	0.32148
V208	0.00422	0	0.0177	0.05685	0.01284	0.73348	0.06103	4e-04	0.10408	0.0094
V209	0.03853	0	0.11098	0	0.8433	0.00511	0	0	0	0.00208
V210	0.05592	0	0.07853	0	0.67303	0.00387	0.00301	0.17634	0	0.0093
V211	0.05016	0.04423	0.71258	0	0.02646	0.01464	0.03973	0.05297	0.05479	0.00443
V212	0.10077	0.04014	0.00856	0.01576	0.02987	0	0.0047	0.47245	0.32776	0
V213	0.11343	0	0.0031	0.00944	0.17113	0.62139	0.05132	0.00957	0.00609	0.01453
V214	0.00022	0.04168	0.02799	0	0.35794	0.12052	0.36666	0.00157	0.01221	0.07121
V215	0	0.06948	0.02843	0.00288	0	0.15841	0.6614	0.00818	0.05982	0.0114
V216	0.01424	0.51616	0.01554	0	0.43616	0	0	0.01435	0	0.00356
V217	0.02451	0.14526	0.0548	0.08042	0.2849	0.25093	0.01821	0.06768	0.00355	0.06976
V218	0.03088	0.00985	0.00864	0	0.01046	0.67491	0.18908	0.00251	0.0323	0.04137
V219	0.00372	0	0.00036	0.08018	0.00424	0.00063	0.03358	0.87713	0	0.00016
V220	0.02158	0.00286	0.04383	0.36656	0.02891	0	0.01888	0.0758	0.44158	0
V221	0.17488	0.06556	0.34399	0	0.05602	0	0.01522	0.12005	0.16495	0.05934
V222	0.05818	0	0.76487	0	0	0.16889	0.00806	0	0	0
V223	0.05186	0	0.81607	0	0.00016	0.08622	0.0457	0	0	0
V224	0.045	0	0.69535	0	0.00455	0.0061	0.0013	0.10489	0.14281	0
V225	0.00932	0	0.339	0.30732	0.00343	0.00954	0.00961	0.31798	0	0.00379
V226	0.0227	0.55293	0.00163	0	0.21449	0	0	0.20825	0	0
V227	0.04579	0	0.70475	0	0.24946	0	0	0	0	0
V228	0.03892	0.47194	0.07174	0	0.17966	0	0.00059	0.21367	0.01561	0.00788
V229	0.68013	0	0	0	0	0.26638	0.02386	0.02963	0	0
V230	0	0.0124	0.06958	0.41136	0.07853	0.02085	0.09399	0	0.01997	0.29333
V231	0.05828	0.17183	0.02327	0.02527	0.08867	0.08865	0.01474	0.00547	0.51942	0.00439
V232	0.04445	0.28398	0.45019	0	0.11028	0	0	0.10835	0	0.00275
V233	0.01626	0	0.03238	0.03254	0.68034	0.00612	0.00559	0	0.22375	0.00302
V234	0.01091	0.01042	0.01729	0.00726	0.2214	0.02333	0.13176	0.57072	0	0.00691
V235	0.03309	0	0.3788	0	0.00228	0	0.00119	0.57671	0	0.00793
V236	0.00676	0.00331	0.24818	0.24923	0.01549	0.39321	0.04302	0	0.04039	4e-04
V237	0.03995	0	0.45249	0.10561	0.32578	0.02954	0.00542	0.04121	0	0
V238	0.01974	0.01707	0.30144	0	0.03156	0	0	0.62764	0	0.00256
V239	0.01401	0.12287	0.05937	0.54056	0.11394	0.02309	0.0435	0	0.00636	0.07631
V240	0.07169	0.03496	0.02666	0	0	0.38851	0.39716	0.0043	0.0448	0.03193
V241	0.17289	0.00284	0.05307	0.64885	0.03196	0.02696	0.02335	0.02918	0.00686	0.00404
V242	0.05484	0	0.03835	0.05946	0.0352	0.00684	0.0147	0	0.79061	0
V243	0.04218	0	0.0394	0.14125	0.04115	0.07102	0.04683	0	0.55779	0.06038
V244	0.04775	0.02194	0.42956	0	0	0.07099	0.3247	0.06749	0.03487	0.0027
V245	0.16801	0.09994	0.16438	0	0.03264	0.47033	0.03337	0.03028	0	0.00106
V246	0.00646	0.25009	0.02412	0	0.0588	0.10303	0.4778	0.00386	0.06486	0.011
V247	0.0624	0.00239	0.91874	0	0.0086	0	0	0	0.00375	0.00413
V248	0.52882	0.04817	0.00502	0	0.02957	0.03237	0.09316	0.2629	0	0
V249	0.05813	0	0.74632	0	0.11424	0	0	0	0.00329	0.07802
V250	0.00595	0.03012	0.02361	0.29695	0.03544	0.25052	0.03549	0.3067	0.0029	0.01233
V251	0.60873	0.12169	0	0.01909	0.13984	0	0	0.08871	0.01899	0.00294
V252	0.06706	0.41601	0.00794	0.03417	0.14221	0.23169	0.01802	0.07603	0	0.00689
V253	0.04857	0	0.33286	0	0.01645	0.07439	0.0169	0	0.51082	0
V254	0.00176	0	0.04295	0.03896	0.86909	0.00478	0.00059	0	0	0.04188
V255	0.00323	0	0.02412	0	0.96367	0	0.00336	0.00561	0	0
V256	0	0.01659	0.06338	0.80378	0.02223	0.03766	0.03143	0	0.01991	0.00501
V257	0.4196	0	0.42327	0	0	0.14271	0.01442	0	0	0
V258	0.00168	0	0.03446	2e-05	0.86637	0	0.00737	0	0	0.0901
V259	0.05073	0	0.00886	0.09816	0.1418	0	0.01192	0.68582	0	0.00272
V260	0.00787	0.12189	0.00449	0.01827	0.04617	0	0	0.80132	0	0
V261	0.22967	0.0335	0.00225	0	0.00493	0.3617	0.25672	0.00245	0.08927	0.01951
V262	0.01301	0.35557	0.09583	0	0.13891	0.33328	0.02047	0.01661	0	0.02632
V263	0.45522	0.33774	0	0	0.15085	0.00461	0.02368	0	0	0.0279
V264	0.00106	0.00277	0.05902	0.57031	0.30923	0.01504	0.03585	0	0.00194	0.00478
V265	0.02142	0.2622	0.04674	0.31386	0.11289	0.04081	0.11021	0	0	0.09189
V266	0.03738	0.57089	0.11676	0	0.21078	0	0.00177	0.02708	0.0333	0.00204
V267	0.00328	0.18394	0.06549	0.01507	0.2078	0.0061	0	0	0	0.51832
V268	0.0081	0.2177	0.04201	0.12366	0.56236	0	0.01265	0.01597	0.00523	0.0123
