Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V234	0.55854	0	0.20637	0	0.23509	0
V235	0.21073	0	0.11577	0.63227	0.04123	0
V236	0.27147	0	0.38227	0	0.34626	0
V237	0.04903	0	0.95097	0	0	0
V238	0.89133	0	0.10082	0	0	0.00784
V239	0.71229	0	0.28771	0	0	0
V240	0.10942	0.13052	0.17933	0	0.58072	0
V241	0.77338	0.10239	0.12423	0	0	0
V242	0.51205	0	0.14598	0	0.05331	0.28866
V243	0.06346	0.36143	0.57511	0	0	0
V244	0.36305	0	0.19278	0	0.37213	0.07204
V245	0.98706	0	0	0	0	0.01294
V246	0.13838	0	0.39584	0.17631	0.28947	0
V247	0.49527	0	0.06927	0	0	0.43546
V248	0.42551	0	0.17711	0.04543	0.35195	0
V249	0.50449	0.06141	0.43411	0	0	0
V250	0.11663	0	0.07484	0.76721	0.04132	0
V251	0.03481	0.72454	0.23453	0	0.00612	0
V252	0.11687	0	0.12689	0.67494	0.0813	0
V253	0.24756	0	0.08315	0.23631	0.12561	0.30736
V254	0.21588	0.19834	0.21192	0.01912	0.35473	0
V255	0.59405	0.27685	0.12911	0	0	0
V256	0	1	0	0	0	0
V257	0.14584	0.41735	0.15955	0	0.27726	0
V258	0.1524	0.21765	0.22584	0.36053	0.04358	0
V259	0	0.66369	0.33631	0	0	0
V260	0.28354	0	0.23337	0	0.4831	0
V261	0.75472	0	0.21093	0	0.03435	0
V262	0.09631	0	0.90369	0	0	0
V263	0.16086	0	0.81889	0	0.02025	0
V264	0.84156	0	0.15844	0	0	0
V265	0.0336	0	0.25039	0	0.71601	0
V266	0.16862	0	0	0	0	0.83138
V267	0.06739	0.93261	0	0	0	0
V268	1	0	0	0	0	0
V269	0.16365	0	0.2374	0.54446	0.05449	0
V270	0.34793	0.56614	0.08593	0	0	0
V271	0.2273	0	0.22021	0	0	0.55249
V272	0.11869	0	0.22465	0	0.65667	0
V273	0.13832	0	0.27643	0	0.58525	0
V274	0.13387	0	0.1528	0	0	0.71333
V275	0.87209	0.12791	0	0	0	0
V276	0.2827	0.21016	0.11367	0	0	0.39347
V277	0.6552	0	0.10232	0	0	0.24248
