Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V140	0.00633	0.01216	0.3395	0.5444	0.03207	0.05024	0.00683	0	0	0.00847
V141	0	0.02577	0.08188	0.83297	0.00716	0.02626	0.00069	0	0.00069	0.02458
V142	0	0.08854	0.06299	0.31549	0	0.07821	0.39473	0.00421	0.03864	0.01719
V143	0.0191	0.65033	0.07407	0.05221	0.18699	0	0	0	0.01579	0.0015
V144	0.0033	0.06662	0.01786	0.02359	0	0.44166	0.36707	0.03876	0.03882	0.00231
V145	0.01758	0.06648	0.04619	0.58049	0.00785	0.01949	0	0.26099	0	0.00094
V146	0	0	0.5524	0	0.04105	0.01609	0.02167	0.21426	0	0.15452
V147	0.02635	0.00408	0.02349	0.02327	0.18588	0	0.00265	0.03159	0.58172	0.12097
V148	0.03705	0.02919	0.00864	0.01879	0	0.04341	0.02795	0	0.83497	0
V149	0	0.02242	0.04501	0.65297	0	0.00088	0	0.13914	0.13423	0.00535
V150	0.08203	0	0.05772	0	0.30211	0.00096	0.00172	0.00867	0.04878	0.49801
V151	0.01139	0	0.10461	0	0.1795	0.07707	0.00355	0	0.01576	0.60812
V152	0.00336	0	0	0.02346	0.00825	0	0	0.90475	0	0.06018
V153	0.02744	0	0.01565	0.00307	0.81346	0	0	0.14038	0	0
V154	0.03996	0.00843	0.62881	0.2991	0	0.0191	0.00293	0.00167	0	0
V155	0.03828	0	0	0.01278	0	0.06384	0	0.70744	0.17595	0.0017
V156	0.10445	0.01232	0.1858	0.0071	0	0.48289	0.03833	0.06973	0.09752	0.00186
V157	0.01508	0.31833	0.04952	0.04803	0.33532	0.21318	0.0104	0	0.00579	0.00435
V158	0.29624	0.43883	0.03767	0	0.17236	0	0.00341	0.05149	0	0
V159	0.02971	0.00277	0.27054	0.02718	0.42558	0.01694	6e-05	0.14898	0	0.07826
