Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V479	0.01141	0.15074	0.83786	0	0	0
V480	0	0.23255	0	0.39986	0.3676	0
V481	0.48254	0.12825	0.07393	0.08168	0.2336	0
V482	0.50864	0.00149	0	0	0	0.48987
V483	0	0.95329	0.04671	0	0	0
V484	0.92041	0.0489	0.02134	0	0.00934	0
V485	0.28469	0.14608	0.53089	0.03835	0	0
V486	0.24035	0.02385	0.73423	0	0	0.00157
V487	0	0.36218	0	0.00384	0.63398	0
V488	0.27731	0.7117	0	0.01099	0	0
V489	0.88817	0.0668	0.03355	0	0.01148	0
V490	0	0.00539	0	0.01878	0	0.97583
V491	0.0452	0.31158	0.41746	0	0.22576	0
V492	0	0.01805	0.2445	0.09522	0.01331	0.62893
V493	0.84783	0.15217	0	0	0	0
V494	0	0	0.3593	0	0	0.6407
V495	0.22439	0.57604	0.19957	0	0	0
V496	0.2006	0.14917	0.31955	0	0.185	0.14568
V497	0	0.21072	0.14473	0.04547	0.59908	0
V498	0.04602	0.12704	0.40825	0.41152	0.00718	0
V499	0	0.75793	0.18648	0.0556	0	0
V500	0.58048	0.21885	0.01795	0.05639	0.12633	0
V501	0	0.98444	0	7e-05	0	0.01549
V502	0	0.01968	0	0.31775	0.66258	0
V503	0.04657	0.35687	0	0.59656	0	0
V504	0	0.96424	0.03576	0	0	0
V505	0	0.0106	0.55356	0.43584	0	0
V506	0.29879	0.017	0	0.18973	0.00166	0.49281
V507	0	0	0	0	0	1
V508	0	0.66462	0.02236	0.12159	0.19142	0
V509	0	0.0228	0	0.88985	0.08735	0
V510	0.95529	0.04471	0	0	0	0
V511	0	0	0	0.25081	0	0.74919
V512	0.0246	0.23656	0.71246	0	0	0.02639
V513	0	0.04133	0.21894	0.07842	0.6613	0
V514	0	0.89717	0.03981	0	0	0.06302
V515	0	0.42583	0	0.57417	0	0
V516	0	0.0618	0.88439	0	0.05382	0
V517	0	0.00892	0.42228	0.26789	0.30092	0
V518	0.41803	0.43548	0	0.13226	0	0.01424
V519	0	0.63613	0	0.06378	0	0.30008
V520	0.78562	0.12229	0	0.09209	0	0
V521	0.0782	0.02961	0	0.03664	0.85555	0
V522	0.43577	0.21467	0	0.01444	0.19561	0.13951
V523	0.42922	0.19865	0.01738	0.15652	0	0.19822
V524	0	0.01839	0.03077	0.23143	0.60279	0.11662
V525	0.36404	0	0	0	0	0.63596
V526	0	0.84322	0.10741	0	0.04937	0
V527	0.38221	0.04343	0.57436	0	0	0
V528	0.90061	0.04552	0.05387	0	0	0
V529	0.02628	0.10103	0.00127	0.87142	0	0
V530	0	0.25839	0.424	0.15016	0.00453	0.16292
V531	0.94957	0.05043	0	0	0	0
V532	0.08301	0.0279	0.05377	0.7348	0.10053	0
V533	0.00837	0.00825	0.30885	0.02166	0.3052	0.34767
V534	0	0	0	0.74611	0.04579	0.20809
V535	0.60901	0.07603	0.18607	0.12889	0	0
V536	0	0.01327	0.8174	0.16933	0	0
V537	0	0.67399	0	0.32601	0	0
V538	0	0	0	0.42589	0	0.57411
V539	0	0.01003	0	0.85897	0.131	0
V540	0.39644	0.04236	0.35416	0.00377	0.20327	0
V541	0	0.24564	0	0.75436	0	0
V542	0	0.61626	0	0.37508	0.00866	0
V543	0	0.01758	0.70456	0.02691	0.25095	0
V544	0	0	0	0	0	1
V545	0	0.71389	0.05448	0.0233	0.20832	0
V546	0.6282	0.09257	0	0.27923	0	0
