Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V192	0	0	0.08087	0	0.41671	0	0	0.01684	0	0.48558
V193	0.08264	0.01623	0.24657	0.29126	0.12745	0.02468	0.10279	0.1004	0.00798	0
V194	0	0	0.01686	0.00642	0	0.76372	0.18068	0.006	0.02632	0
V195	0.03103	0.05693	0.02677	0	0.0806	0.27351	0.43718	0.07417	0.01394	0.00587
V196	0.78755	0.00164	0.02686	0.17823	0	0.00147	0.00095	0.00329	0	0
V197	0.02657	0.00723	0.04989	0.17707	0.01073	0	0.00319	0.51986	0.20547	0
V198	0.00107	0	0.06685	0	0.6293	0.2344	0.03414	0	0.03424	0
V199	0.01563	0.00701	0.12613	0	0.4222	0.03416	0.10316	8e-04	0	0.29092
V200	0.00191	0	0.04038	0	0.48876	0.15659	0.17493	0.13743	0	0
V201	0.21744	0.02992	0.02757	0	0.01737	0.02106	0.07497	0.00825	0.58444	0.01899
V202	0.04517	0.22901	0.5371	0	0.06989	0.01132	0.05627	0.0092	0.04204	0
V203	0.02769	0.0562	0.45293	0.10711	0.01892	0.02797	0.0786	0	0.2282	0.00239
V204	0.01318	0.1511	0.33036	0.26262	0.04681	0.078	0.01407	0.09162	0.01223	0
V205	0.06033	0.07734	0.02296	0	0	0.1569	0.46426	0.10499	0.11322	0
V206	0.31273	0	0.64841	0	0.01733	0	0	0	0	0.02153
V207	0.01131	0.10933	0.09084	0.06043	0.19388	0	0.00611	0	0.20134	0.32675
V208	0	0	0.03655	0.05441	0	0.74231	0.06607	0	0.09743	0.00323
V209	0.03494	0	0.13737	0	0.82492	0.00277	0	0	0	0
V210	0.05505	0	0.10559	0	0.66671	0	0	0.17098	0	0.00168
V211	0.05103	0.04038	0.70876	0	0.01537	0.01516	0.04319	0.05156	0.07453	0
V212	0.09941	0.04338	0.02734	0	0.01709	0	0	0.45927	0.35351	0
V213	0.10092	0	0.03282	0	0.16367	0.63168	0.06025	0.00187	0	0.0088
V214	0	0.02576	0.02714	0	0.33281	0.15589	0.39039	0.01005	0	0.05796
V215	0	0.04104	0.00631	0	0	0.2165	0.68879	0.01631	0.03106	0
V216	0.00666	0.49472	0.04163	0	0.4361	0	0	0.02089	0	0
V217	0.01725	0.13778	0.09549	0.06936	0.28211	0.24983	0.02074	0.06464	0	0.06281
V218	0.02089	0.00134	0.02142	0	0.00166	0.68958	0.20995	0	0.02048	0.03469
V219	0.02104	0	0.03058	0.0474	0	0	0.02341	0.87757	0	0
V220	0.01321	0.01321	0.05821	0.36442	0	0	0.01592	0.07637	0.45866	0
V221	0.16264	0.06363	0.36573	0	0.0463	0	0.0132	0.11419	0.18151	0.0528
V222	0.05849	0	0.76294	0	0	0.16411	0.00842	0	0.00605	0
V223	0.05337	0	0.80123	0	0	0.08655	0.04964	0	0.00922	0
V224	0.04868	0	0.6994	0	0	0.00087	0	0.09772	0.15332	0
V225	0.02101	0	0.37708	0.28859	0	0.00361	0.00465	0.30507	0	0
V226	0.01943	0.53603	0.02291	0	0.21344	0	0	0.20819	0	0
V227	0.04766	0	0.7125	0	0.233	0	0	0	0.00684	0
V228	0.03443	0.4523	0.09907	0	0.18092	0	0	0.20941	0.02258	0.00129
V229	0.65958	0	0	0	0	0.28561	0.02765	0.02717	0	0
V230	0	0.01375	0.08689	0.40321	0.06578	0.03315	0.10365	0.0024	0	0.29118
V231	0.03929	0.16951	0.03971	0.01938	0.07075	0.09183	0.01355	0.00546	0.55051	0
V232	0.04379	0.27082	0.47507	0	0.10456	0	0	0.10576	0	0
V233	0.0085	0	0.06965	0.01242	0.66935	0.00582	0.00462	0	0.22963	0
V234	0.02215	0.00531	0.03225	0	0.21877	0.0272	0.14283	0.5515	0	0
V235	0.04845	0	0.40168	0	0	0	0	0.54984	0	2e-05
V236	0.00552	0.00412	0.27796	0.23951	0	0.39302	0.04622	0	0.03365	0
V237	0.04435	0.00029	0.49582	0.07948	0.30665	0.02724	0.00451	0.04165	0	0
V238	0.03554	0.01674	0.32564	0	0.0236	0	0	0.59848	0	0
V239	0.0124	0.12582	0.08382	0.53727	0.09248	0.03113	0.0463	0.00182	0	0.06895
V240	0.06072	0.01825	0.02216	0	0	0.42047	0.42671	0.00668	0.02426	0.02077
V241	0.16927	0.01551	0.0788	0.64461	0.00066	0.03341	0.02309	0.03464	0	0
V242	0.03688	0.00103	0.04453	0.05559	0.00662	0.01094	0.01226	0	0.83216	0
V243	0.02488	0.0023	0.05342	0.13486	0.01905	0.07871	0.04872	0	0.58365	0.0544
V244	0.04778	0.00689	0.4104	0	0	0.10179	0.34262	0.06772	0.02281	0
V245	0.15453	0.09338	0.18999	0	0.02416	0.47465	0.0395	0.0238	0	0
V246	0.00258	0.22113	0.01576	0	0.04162	0.15027	0.50697	0.01331	0.04813	0.00023
V247	0.06665	0	0.91251	0	0	0	0	0	0.02084	0
V248	0.51773	0.04679	0.00418	0	0.02084	0.0411	0.10507	0.26429	0	0
V249	0.05676	0	0.75381	0	0.10316	0	0	0	0.01688	0.06939
V250	0.00964	0.03311	0.05435	0.29302	0.01899	0.25353	0.03639	0.29642	0	0.00454
V251	0.60364	0.12659	0.00913	0	0.14175	0	0	0.09254	0.02635	0
V252	0.05781	0.40065	0.03851	0.02922	0.1398	0.2371	0.02132	0.0756	0	0
V253	0.0373	0	0.34394	0	0	0.07487	0.01455	0	0.52933	0
V254	0	0	0.08828	0.0156	0.8581	0.0041	0.00011	0	0	0.03381
V255	0.0014	0	0.05063	0	0.93748	0	0.00142	0.00907	0	0
V256	0	0.02401	0.08046	0.80648	0	0.04714	0.03367	0.00153	0.00672	0
V257	0.39897	0	0.44103	0	0	0.14492	0.01508	0	0	0
V258	0	0	0.05996	0	0.85069	0	0.00676	0	0	0.08259
V259	0.06511	0	0.04424	0.0729	0.13901	0	0	0.67874	0	0
