Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V224	0	0.02155	0.43054	0.01097	0.53694	0
V225	0	0	0	0	0	1
V226	0.3006	0.08496	0.20346	0.34388	0.0671	0
V227	0.7402	0.03747	0	0.22233	0	0
V228	0.12002	0.27499	0.56784	0.03715	0	0
V229	0.16837	0.04005	0.40194	0.30288	0.08676	0
V230	0	0.17501	0.82499	0	0	0
V231	0	0.03828	0	0.96172	0	0
V232	0.37089	0.02727	0	0.30204	0	0.2998
V233	0.89669	0.06147	0	0.04183	0	0
V234	0.5012	0.04392	0	0.01582	0.43907	0
V235	0.0258	0.02975	0	0.94445	0	0
V236	0	0.0156	0.18173	0.02892	0.57866	0.1951
V237	0	0.01542	0.89188	0.0927	0	0
V238	0.733	0.03357	0	0.08072	0	0.15271
V239	0.61789	0.07445	0.07022	0.15465	0.08279	0
V240	0	0.23342	0	0.155	0.61159	0
V241	0.60896	0.19601	0	0.19503	0	0
V242	0.24228	0.07141	0	0.22681	0.02273	0.43677
V243	0	0.41882	0.56162	0.01956	0	0
V244	0.06773	0.03722	0	0	0.62313	0.27192
V245	0.82145	0.03194	0	0	0	0.1466
V246	0	0.05314	0.22839	0.45741	0.26106	0
V247	0.17295	0.09335	0	0.18654	0	0.54717
V248	0.25856	0.06027	0	0.275	0.40617	0
V249	0.24606	0.19519	0.43307	0.04927	0	0.07641
V250	0	0.013	0	0.987	0	0
V251	0	0.64909	0.14322	0.20769	0	0
V252	0	0.00978	0.0179	0.96891	0.00341	0
V253	0	0.0477	0	0.52258	0.07242	0.35729
V254	0	0.30701	0.04588	0.2744	0.36147	0.01125
V255	0.438	0.36812	0.03905	0.07657	0.00269	0.07557
V256	0	1	0	0	0	0
V257	0	0.50049	0	0.03844	0.42907	0.032
V258	0	0.23693	0.12117	0.6419	0	0
V259	0	0.61452	0.38548	0	0	0
V260	0.0872	0.0655	0	0.03198	0.73376	0.08156
V261	0.60197	0.056	0	0.03403	0.20216	0.10584
V262	0.06263	0.04317	0.89054	0.00171	0.00196	0
V263	0	0.0687	0.71668	0.21461	0	0
V264	0.72058	0.06124	0.06594	0.02977	0.01129	0.11118
V265	0	0.03018	0	0.06036	0.90946	0
V266	0	0.02035	0	0	0	0.97965
V267	0.12161	0.81449	0	0.06391	0	0
V268	0.95364	0.04636	0	0	0	0
V269	0	0.05336	0.10938	0.83726	0	0
V270	0.31003	0.58789	0	0.01204	0.09004	0
V271	0	0.10386	0.25609	0	0	0.64005
V272	0	0.01991	0	0.12564	0.83143	0.02302
V273	0.04199	0.02958	0.0023	0.13371	0.79242	0
V274	0	0	0.14146	0.00037	0	0.85817
V275	0.78068	0.21932	0	0	0	0
V276	0	0.30882	0.04819	0.08257	0	0.56042
V277	0.48002	0.04198	0	0	0.08488	0.39312
V278	0.1131	0.15536	0.06571	0.32348	0.34236	0
V279	0.02066	0.05808	0.20838	0.01569	0	0.69719
V280	0.05707	0.02811	0	0.91483	0	0
V281	0	0.99446	5e-04	0.00504	0	0
V282	0	0.05362	0	0.09981	0.84656	0
V283	0	0.47367	0	0.00542	0.52092	0
V284	0	0.11523	0.36557	0.42503	0	0.09417
V285	0	0.01341	0	0.98659	0	0
V286	0.71724	0.07653	0.02236	0.18388	0	0
V287	0	0.03526	0	0.133	0.83174	0
V288	0	0.31797	0	0	0.05683	0.6252
V289	0	0.09025	0.81925	0.0905	0	0
V290	0	0	0.22363	0.77637	0	0
V291	0	0.03083	0	0.96917	0	0
V292	0.09578	0.11921	0	0.70179	0.08322	0
V293	0	0.0594	0	0.03354	0.90706	0
V294	0.61629	0.06795	0	0.00779	0.28338	0.02459
V295	0	0	0	0	0	1
V296	0	0.43772	0.06686	0.39775	0	0.09766
V297	0	0.0023	0	0	0	0.9977
V298	0	0.85257	0.14743	0	0	0
V299	0.12475	0.10294	0.77231	0	0	0
V300	0.8519	0.1418	0	0	0	0.0063
V301	0.54053	0.45947	0	0	0	0
V302	0	0.29522	0.0357	0.66908	0	0
V303	0	0.84188	0.04625	0.01512	0.09675	0
V304	0	0.03116	0	0.02635	0.9425	0
V305	0	0.00791	0.18406	0.55987	0.03722	0.21095
V306	0.29645	0.10132	0	0	0	0.60223
V307	0.18705	0.03893	0	0.03291	0.73124	0.00988
V308	0	0.00162	0	0.99838	0	0
V309	0	0.55966	0	0.44034	0	0
V310	0	0.43026	0.29659	0	0	0.27315
V311	0.44998	0.0017	0	0	0	0.54832
V312	0.09688	0.03896	0	0.43774	0.42642	0
V313	0.13526	0.00483	0	0	0	0.85991
V314	0.21705	0.0409	0	0.74205	0	0
V315	0.11827	0.86215	0	0	0	0.01958
V316	0.06297	0.00429	0	0.04332	0	0.88942
V317	0	0.0112	0	0.84652	0	0.14228
V318	0	0.00677	0.00087	0.99236	0	0
V319	0.39924	0.21869	0.24458	0.13749	0	0
V320	0.26218	0.22955	0.36975	0.09838	0	0.04015
V321	0	0.68486	0	0.31514	0	0
V322	0	0.0198	0.04899	0.04008	0.77374	0.1174
V323	0	0.29761	0	0.48763	0.21476	0
V324	0	0.06061	0	0.29686	0.42975	0.21277
V325	0.01998	0.98002	0	0	0	0
V326	0.13067	0.86933	0	0	0	0
V327	0.06799	0.02441	0.9076	0	0	0
V328	0.15927	0.24308	0.18017	0.18764	0.22985	0
V329	0	0.02293	0.63138	0.00076	0.34493	0
V330	0	0.02115	0.97885	0	0	0
V331	0.81939	0.11266	0	0.06795	0	0
V332	0	0.07737	0.13575	0.00089	0.41495	0.37104
V333	0	0.03303	0.52306	0.41969	0.02421	0
V334	0	0.42963	0.47587	0.0945	0	0
V335	0.1094	0.03695	0.80991	0	0	0.04373
V336	0.34285	0.65715	0	0	0	0
V337	0.02167	0.22604	0.00945	0.02653	0.71631	0
V338	0.82184	0.05318	0	0	0.12499	0
V339	0.05014	0.11687	0.45172	0.30069	0	0.08058
V340	0.68627	0.29552	0	0.01822	0	0
V341	0.2467	0.07354	0.00386	0.67589	0	0
V342	0	0.01676	0	0.81986	0	0.16338
V343	0	0.17237	0.09087	0	0	0.73676
V344	0	0.75637	0	0.02121	0.13371	0.08871
V345	0	0.02169	0	0.04111	0.93721	0
V346	0.13068	0.03992	0	0.51765	0.31175	0
V347	0.52297	0.17019	0	0.09397	0.21286	0
V348	0.09236	0.16396	0.74368	0	0	0
V349	0.79416	0.11706	0	0.08878	0	0
V350	0.47518	0.07109	0.09555	0.25238	0	0.1058
V351	0.06628	0.07314	0	0	0	0.86057
V352	0	0.3613	0	0	0.28779	0.35091
V353	0	0.16617	0.83383	0	0	0
V354	0.08332	0.07192	0.24567	0	0.3064	0.29268
V355	0	0.03937	0.96063	0	0	0
V356	0.58265	0.15869	0	0.25867	0	0
V357	0.34033	0.04685	0.42276	0.01247	0.17758	0
V358	0	0	0.00572	0	0	0.99428
V359	0.10134	0.11838	0	0.75534	0.02494	0
V360	0.5404	0.04084	0	0.23353	0.18524	0
V361	0	1	0	0	0	0
V362	0	0.58449	0	0.41551	0	0
V363	0.84605	0.10783	0	0	0.04612	0
V364	0	0.19457	0	0.02441	0.03396	0.74706
V365	0.42159	0.44187	0	0.13654	0	0
V366	0.05333	0.29763	0.5716	0.0755	0.00194	0
V367	0	0.01419	0	0.71271	0.2731	0
V368	0	0.135	0.04526	0.02963	0.08611	0.70399
V369	0	0.05054	0	0.09996	0.82389	0.0256
V370	0	0.10135	0.74974	0.14177	0	0.00714
V371	0	0.26895	0	0.60933	0	0.12172
V372	0	0.82939	0	0.02473	0.11441	0.03147
V373	0.90331	0.04331	0	0	0	0.05338
V374	0.16334	0.04075	0.24021	0.55571	0	0
V375	0.46929	0.05095	0.17226	0.06329	0.2442	0
V376	0	0.01252	0	0.14473	0	0.84274
V377	0.034	0.04046	0.448	0.00361	0.47392	0
V378	0	0.05637	0.18045	0	0	0.76318
V379	0.43281	0.01685	0.08207	0	0	0.46826
V380	0	0.05012	0	0.04647	0.90341	0
V381	0.35096	0.0642	0.29673	0.28811	0	0
V382	0	0.03446	0	0.2613	0.70424	0
V383	0.18539	0.06886	0.42132	0.32443	0	0
V384	0.02151	0.04986	0.92377	0.00487	0	0
V385	0	0	0	0	0	1
V386	0.68627	0.07607	0.23766	0	0	0
V387	0.20861	0.04177	0.01303	0.73659	0	0
V388	0.82867	0.08306	0.08828	0	0	0
V389	0.18647	0.07562	0	0	0	0.73791
V390	0	0.04971	0	0.88371	0	0.06658
V391	0	0.03091	0	0.72162	0.24747	0
V392	0	0.02428	0.54602	0.08164	0	0.34806
V393	0	0.1768	0.47383	0.07489	0.07363	0.20086
V394	0	0.00587	0.00941	0.96593	0.01879	0
V395	0	0.0566	0.9434	0	0	0
V396	0.51333	0.09984	0	0.38683	0	0
V397	0	0.16036	0	0	0	0.83964
V398	0	0.81008	0	0.02981	0.16011	0
V399	0	0.02178	0.9503	0.02792	0	0
V400	0	0	0	0.46305	0	0.53695
V401	0.16246	0.05084	0.7449	0	0.0418	0
V402	0.00032	0.03539	0	0.96429	0	0
V403	0	0	0	0.03236	0.35957	0.60807
V404	0	0.02605	0.97395	0	0	0
V405	0.40242	0.40861	0.05829	0.06164	0.06904	0
V406	0.02792	0.08232	0.18917	0.12109	0.13837	0.44112
V407	0	0.02632	0.81609	0	0	0.15759
V408	0	0.11501	0	0.84704	0	0.03795
V409	0.93027	0.06973	0	0	0	0
V410	0.94289	0.05711	0	0	0	0
V411	0	0	0	0.25937	0	0.74063
V412	0.64522	0.22584	0.01076	0.0465	0.07168	0
V413	0	0.1069	0	0.8931	0	0
V414	0.04407	0.098	0	0.72666	0.13128	0
V415	0	0.0258	0.38205	0.48967	0.05206	0.05042
V416	0	0.16171	0	0.35061	0.43076	0.05692
V417	0.00532	0	0.03055	0.10581	0	0.85832
V418	0	0.09192	0.47138	0.17171	0.26499	0
V419	0	0	0	0	0	1
V420	0	0	0	0	0	1
V421	0.00491	0.08017	0.0126	0.11902	0.78331	0
V422	0.18733	0.33877	0	0.0068	0.46709	0
V423	0	0.16292	0	0.83708	0	0
V424	0.84115	0.13039	0	0.02845	0	0
V425	0	0.11049	0	0.01503	0.87448	0
V426	0	0	0.15141	0	0	0.84859
V427	0.58606	0.16169	0.11188	0.14036	0	0
V428	0.24373	0.04102	0	0.71524	0	0
V429	0	0.0204	0.08348	0.70279	0.19334	0
V430	0	0.10356	0.66585	0.22019	0	0.0104
V431	0	0.0219	0.9781	0	0	0
V432	0	0.45073	0	0.54927	0	0
V433	0	0.00196	0.01364	0.9844	0	0
V434	0	0.28178	0.14787	0.57035	0	0
V435	0	0.00373	0	0.00841	0.81299	0.17487
V436	0.86638	0.13362	0	0	0	0
V437	0.25118	0.3312	0.33755	0.00813	0.05927	0.01266
V438	0	0.43472	0	0.08665	0.47863	0
V439	0	0.03207	0.06642	0.02292	0.87859	0
V440	0.1313	0.07886	0.48141	0.06544	0.17132	0.07166
V441	0	0.07044	0.55096	0.15098	0	0.22763
V442	0.53499	0.1631	0.16115	0.06481	0	0.07595
V443	0	0.00756	0.04326	0.94918	0	0
V444	0.85391	0.07885	0	0.01833	0.04891	0
V445	0.94414	0.05586	0	0	0	0
V446	0	0.65425	0.34575	0	0	0
V447	0	0.25869	0	0.24691	0	0.49439
V448	0.00036	0.05036	0.94927	0	0	0
V449	0.63715	0.06684	0	0.296	0	0
V450	0.07414	0.04179	0.76282	0	0.12125	0
V451	0.07717	0.07132	0.131	0.20294	0.51758	0
V452	0	0.01209	0	0.58742	0	0.40048
V453	0.35706	0.03564	0.51538	0.09191	0	0
V454	0.1671	0.08826	0.07994	0.66471	0	0
V455	0.02606	0.9666	0.00734	0	0	0
V456	0.94736	0.05264	0	0	0	0
V457	0	0	0	0	0.1783	0.8217
V458	0.02659	0.02322	0.47456	0.01072	0.39522	0.06968
V459	0	0.02615	0.63344	0.34041	0	0
V460	0.43897	0.09624	0.24494	0.14303	0	0.07681
V461	0.29742	0.07218	0	0.53973	0.09067	0
V462	0	0.01586	0.98414	0	0	0
V463	0	0.03648	0	0.07844	0.88508	0
V464	0	0.97582	0	0.02418	0	0
V465	0.43527	0.12518	0.43954	0	0	0
V466	0.02494	0.04865	0	0.88915	0.03726	0
V467	0.95249	0.04751	0	0	0	0
V468	0.38352	0.14116	0.04874	0.30935	0.11722	0
V469	0	0.14401	0.77856	0.06894	0	0.00849
V470	0.68321	0.05807	0	0.0793	0.17942	0
V471	0	0.24305	0.6562	0.05298	0	0.04778
V472	0	0.619	0	0.04493	0.32717	0.0089
V473	0	1	0	0	0	0
V474	0.00573	0.02731	0.40327	0.56369	0	0
V475	0.00982	0.18681	0.30507	0.2455	0.2528	0
V476	0.51188	0.04843	0	0.22862	0	0.21107
V477	0	0.72229	0.02478	0.10596	0	0.14697
V478	0	0.0258	0.95182	0	0	0.02238
V479	0.0062	0.15755	0.83624	0	0	0
V480	0	0.23668	0	0.40994	0.35338	0
V481	0.48146	0.13406	0.06916	0.08823	0.2271	0
V482	0.50928	0.00807	0	0	0	0.48265
V483	0	0.96397	0.03603	0	0	0
V484	0.92056	0.0545	0.01697	0	0.00797	0
V485	0.28308	0.15238	0.52048	0.04405	0	0
V486	0.23791	0.02589	0.72798	0	0	0.00822
V487	0	0.36922	0	0.01051	0.62027	0
V488	0.26562	0.72529	0	0.00909	0	0
V489	0.88783	0.07274	0.02904	0	0.01038	0
V490	0	0.01625	0	0.01176	0	0.97199
V491	0.04101	0.32376	0.41248	0	0.22275	0
V492	0	0.02489	0.23816	0.10232	0.00595	0.62868
V493	0.84055	0.15945	0	0	0	0
V494	0	0	0.35369	0	0	0.64631
V495	0.21667	0.59162	0.19172	0	0	0
V496	0.19937	0.15638	0.31369	0	0.18069	0.14987
V497	0	0.21482	0.14104	0.05505	0.58909	0
V498	0.04281	0.13186	0.39742	0.42751	4e-04	0
V499	0	0.76853	0.17423	0.05725	0	0
V500	0.57751	0.22726	0.01337	0.06154	0.12032	0
V501	0	0.99185	0	0	0	0.00815
V502	0	0.0187	0	0.3282	0.65311	0
V503	0.03689	0.36516	0	0.59795	0	0
V504	0	0.97421	0.02579	0	0	0
V505	0	0.01006	0.54112	0.44882	0	0
V506	0.29973	0.02322	0	0.19083	0	0.48621
V507	0	0	0	0	0	1
V508	0	0.67427	0.01658	0.12887	0.18029	0
V509	0	0.02396	0	0.89853	0.07751	0
V510	0.94967	0.05033	0	0	0	0
V511	0	0	0	0.25178	0	0.74822
V512	0.0168	0.24622	0.70428	0	0	0.0327
V513	0	0.03956	0.21728	0.0867	0.65646	0
V514	0	0.91168	0.03084	0	0	0.05748
V515	0	0.42946	0	0.57054	0	0
V516	0	0.0626	0.88583	0.00055	0.05102	0
V517	0	0.00704	0.41691	0.28169	0.29436	0
V518	0.40846	0.44425	0	0.13328	0	0.014
V519	0	0.64698	0	0.06216	0	0.29086
V520	0.78048	0.1294	0	0.09012	0	0
V521	0.07291	0.03138	0	0.04263	0.85309	0
V522	0.4324	0.22301	0	0.01855	0.18679	0.13925
V523	0.42745	0.20777	0.01066	0.15793	0	0.19619
V524	0	0.0188	0.02859	0.24176	0.59358	0.11727
V525	0.36918	0.00134	0	0	0	0.62948
