Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V154	0.06705	0.02451	0.52158	0.26675	0.05291	0.01922	0.03046	0	0.01733	0.00021
V155	0.04975	0.00609	0.04043	0.01126	0.06298	0.11686	0.04979	0.43798	0.21429	0.01057
V156	0.10098	0.0303	0.1825	0.03662	0.05641	0.41766	0.04928	0.03042	0.0853	0.01051
V157	0	0.42018	0.05479	0.04909	0.18238	0.21107	0.02486	0	0.0407	0.01694
V158	0.27494	0.51122	0.03999	0.01267	0.07193	0.00451	0.03591	0.02317	0.01826	0.00738
V159	0.02775	0.06761	0.23793	0.05847	0.25595	0.02892	0.04221	0.07088	0.02665	0.18364
V160	0.02298	0.80074	0.03978	0.00723	0.04287	0.00631	0.01829	0	0.0326	0.0292
V161	0	0.02091	0.20007	0.63049	0.0587	0.02067	0.03551	0.00186	0.02896	0.00283
V162	0.0059	0	0.03198	0.00626	0.00157	0.00362	0.03385	0	0.02704	0.88979
V163	0.10515	0.02123	0.65912	0.06487	0.05136	0.01512	0.02855	0.01087	0.01652	0.0272
V164	0.02763	0.01696	0.72417	0.07847	0.05528	0.01511	0.04109	0	0.02388	0.01741
V165	0.01081	0	0.24541	0.02561	0.02282	0.00254	0.02929	0.00626	0.02581	0.63146
V166	0.0389	0.09697	0.14824	0.45865	0.04567	0.01899	0.04647	0.05176	0.05147	0.04288
V167	0.78843	0.00105	0.05494	0.01457	0.04381	0.00125	0.03663	0	0.05932	0
V168	0.05681	0.02249	0.03893	0.01129	0.05947	0.27276	0.04864	0.29923	0.16715	0.02323
V169	0	0	0.05573	0.1236	0.01303	0.14655	0.02893	0.00949	0.01824	0.60442
V170	0.01642	0.02366	0.08243	0.01417	0.08506	0.00849	0.03775	0	0.7247	0.00732
V171	0.00292	0.01151	0.24299	0.08273	0.07712	0.36317	0.06651	0.03877	0.10307	0.0112
V172	0.00409	0.026	0.06571	0.02329	0.07409	0.13699	0.61573	0.00467	0.04942	0
V173	0.01247	0	0.0387	0.01466	0.03595	0.01793	0.46941	0	0.0455	0.36538
V174	0.00275	0.083	0.26235	0.32529	0.11953	0.02936	0.03795	0.01054	0.02099	0.10824
V175	0.73529	0.00175	0.13902	0.01721	0.04417	0.00083	0.05304	3e-04	0.00839	0
V176	0.17648	0.00368	0.04081	0.01385	0.06088	0.62208	0.02833	0.00074	0.04591	0.00724
V177	0.60939	0	0.05627	0.08197	0.02862	0.00219	0.03328	0.00611	0.01579	0.16636
V178	0.18705	0.00693	0.04173	0.03564	0.08409	0.52995	0.03458	0.00046	0.01456	0.06502
V179	0.17726	0.0977	0.06155	0.02288	0.55219	0.00646	0.04237	0	0.03357	0.00602
V180	0.42178	0.10572	0.10334	0.25814	0.04367	0.01196	0.03737	0	0.01804	0
V181	0.01943	0.15602	0.55772	0.05539	0.06665	0.00864	0.0986	0	0.01981	0.01775
V182	0.00238	0.04821	0.04535	0.04072	0.30319	0.04665	0.0508	0.37858	0.07764	0.00648
V183	0.00725	0.15139	0.15159	0.45925	0.04993	0.01797	0.14355	0.00017	0.01891	0
V184	0.17057	0.00415	0.0315	0.02114	0.0374	0.48214	0.02732	0.02247	0.01383	0.18947
V185	0.5587	0.002	0.07958	0.15303	0.04346	0.00583	0.03605	0.06058	0.05739	0.00338
V186	0.73241	0.00762	0.06904	0.08687	0.04159	0.00208	0.04696	0.00121	0.01223	0
V187	0.66892	0	0.13018	0.02086	0.03615	0.00085	0.03951	0.00023	0.05699	0.04631
V188	0.0818	0.18769	0.06246	0.07507	0.46372	0.00717	0.05288	0.01032	0.03781	0.02107
V189	0.75325	0	0.06332	0.06425	0.03533	0.01307	0.0358	0.00104	0.01205	0.02188
V190	0.00138	0.03867	0.07271	0.01319	0.13001	0.09798	0.03584	0	0.60535	0.00487
V191	0.01077	0.05766	0.16258	0.31973	0.30668	0.0099	0.08248	0.01917	0.02641	0.00462
V192	0.00348	0.01429	0.03536	0.00686	0.1288	0.00957	0.0326	0.00792	0.0254	0.73572
V193	0.0813	0.03255	0.2271	0.26643	0.13231	0.00922	0.15944	0.05155	0.03354	0.00655
V194	0	0.00683	0.05271	0.02599	0.06769	0.64155	0.17967	0.00822	0.01734	0
V195	0.03461	0.04876	0.05852	0.02001	0.11479	0.12029	0.53195	0.03072	0.03107	0.00928
V196	0.66558	0.00912	0.0841	0.15244	0.03776	0.00325	0.03542	0	0.00937	0.00296
V197	0.01359	0.02159	0.08492	0.17938	0.07316	0.02124	0.06191	0.33594	0.20828	0
V198	0	0.08636	0.06789	0.0237	0.44614	0.23988	0.06037	0	0.07566	0
V199	0.021	0.039	0.07317	0.02375	0.17551	0.01046	0.15537	0	0.03087	0.47086
V200	2e-05	0.05773	0.05541	0.01739	0.35673	0.11363	0.28035	0.08063	0.0313	0.0068
V201	0.21868	0.04625	0.05782	0.01123	0.06	0.00541	0.13212	0.00154	0.41148	0.05547
V202	0.02396	0.27409	0.41875	0.06711	0.05111	0.00346	0.09949	0	0.05403	0.008
V203	0.00998	0.07597	0.36032	0.15857	0.06333	0.01304	0.12445	0	0.16655	0.0278
V204	0.00404	0.19053	0.29091	0.2583	0.0556	0.08517	0.02874	0.04993	0.03606	0.00072
V205	0.05904	0.05963	0.06082	0.01976	0.07048	0.02305	0.57265	0.0436	0.09097	0
V206	0.27339	0.01157	0.49639	0.05014	0.05965	0.00082	0.03629	0	0.01585	0.05591
V207	0.01068	0.11981	0.04834	0.05609	0.0431	0.00441	0.03475	0	0.15896	0.52387
V208	0	0.00837	0.06689	0.06251	0.07035	0.68209	0.03025	0.00204	0.06852	0.00899
V209	0.0401	0.11521	0.13838	0.02318	0.58319	0.01496	0.04107	0	0.03611	0.00781
V210	0.06225	0.0908	0.10434	0.0182	0.47315	0.0181	0.05047	0.1103	0.05209	0.0203
V211	0.02032	0.07172	0.58575	0.05746	0.0598	0.00989	0.0893	0.02457	0.06435	0.01684
V212	0.09985	0.08513	0.04652	0.01	0.0627	0.01729	0.05105	0.29993	0.32647	0.00106
V213	0.11428	0.02011	0.04314	0.02596	0.15476	0.55615	0.04329	0.00668	0.01757	0.01806
V214	0.00211	0.04322	0.04898	0.01864	0.22536	0.03699	0.49498	0	0.02951	0.10023
V215	0.00814	0.01017	0.06405	0.02637	0.07161	0.01736	0.77144	0	0.03087	0
V216	0.002	0.6591	0.04831	0.00917	0.18429	0.00665	0.03004	0.00744	0.029	0.024
V217	0.01761	0.20099	0.0744	0.08243	0.15423	0.23248	0.02949	0.03773	0.03957	0.13107
V218	0.02756	0.00482	0.04605	0.01703	0.06525	0.54385	0.21914	0.00103	0.01742	0.05785
V219	0.0072	0.00578	0.04963	0.07064	0.06957	0.03307	0.13031	0.60527	0.02852	0
V220	0	0.02783	0.1326	0.31504	0.06599	0.01213	0.03687	0.04765	0.36189	0
V221	0.14436	0.09227	0.29064	0.03601	0.05035	0.00519	0.05714	0.05994	0.14754	0.11656
V222	0.03116	0.0135	0.63906	0.06439	0.05481	0.14888	0.02673	0	0.01701	0.00446
V223	0.02284	0.01484	0.65911	0.06605	0.06055	0.06622	0.08739	0	0.01825	0.00475
V224	0.02005	0.02357	0.57275	0.1015	0.05784	0.01238	0.03062	0.05232	0.12502	0.00396
V225	0.00889	0.01216	0.35296	0.30247	0.0528	0.02865	0.03772	0.17579	0.02042	0.00813
V226	0.01204	0.69552	0.03278	0.00629	0.05396	0.01049	0.03047	0.11989	0.02547	0.01308
V227	0.02318	0.04173	0.60209	0.0691	0.19621	0.00265	0.03139	0	0.03015	0.00351
V228	0.02333	0.57337	0.08697	0.01695	0.0495	0.00935	0.03152	0.11743	0.06894	0.02263
V229	0.62897	0.00203	0.03587	0.00925	0.03651	0.21914	0.04794	0.01264	0.00764	0
V230	0	9e-05	0.0931	0.26877	0.02174	0.0134	0.13053	0	0.03053	0.44183
V231	0.02349	0.24256	0.06082	0.02352	0.06523	0.10074	0.02924	0.00209	0.43089	0.02143
V232	0.02361	0.35263	0.39931	0.03912	0.05101	0.01193	0.02409	0.05679	0.02071	0.02079
V233	0.00133	0.09085	0.06887	0.04481	0.48937	0.01666	0.041	0	0.2366	0.0105
V234	0.01482	0.03884	0.04728	0.01597	0.20742	0.01959	0.28073	0.33635	0.03211	0.0069
V235	0.02681	0.02343	0.38651	0.04065	0.05347	0.0168	0.05573	0.3483	0.02368	0.02463
V236	0.00143	0.02008	0.26179	0.23515	0.0619	0.34944	0.03634	2e-04	0.03369	0
V237	0.03277	0.05274	0.3982	0.16241	0.23213	0.03669	0.03343	0.02207	0.02955	0
V238	0.01423	0.05219	0.32367	0.03597	0.07097	0.01911	0.05113	0.39555	0.02524	0.01193
V239	0.01626	0.13978	0.13186	0.40345	0.06017	0.03011	0.06275	0	0.02444	0.13117
V240	0.06516	0.00554	0.05789	0.02021	0.06727	0.23086	0.49231	0	0.02765	0.03309
V241	0.17647	0.01389	0.15917	0.48524	0.05683	0.03856	0.03449	0.0182	0.01512	0.00203
V242	0.01566	0.02261	0.09602	0.05172	0.08124	0.01718	0.03661	0	0.67296	0.006
V243	0.01137	0.01365	0.08448	0.11752	0.06091	0.07334	0.07948	0	0.43066	0.12857
V244	0.0348	0.00925	0.33656	0.04887	0.06155	0.0059	0.44043	0.02711	0.03499	0.00055
V245	0.1529	0.12993	0.17474	0.02298	0.05043	0.40658	0.03214	0.01574	0.01456	1e-05
V246	0.00478	0.19457	0.05404	0.02016	0.06873	0.00719	0.59676	0	0.05127	0.00252
V247	0.02931	0.03378	0.7337	0.07442	0.05563	0.00129	0.02833	0	0.02501	0.01853
V248	0.48617	0.05396	0.0543	0.01161	0.05516	0.01978	0.17355	0.12543	0.02004	0
V249	0.0319	0.02056	0.58807	0.0586	0.09458	0.00167	0.0289	0	0.03182	0.14389
V250	0.00683	0.05201	0.09495	0.25739	0.06362	0.26015	0.05062	0.17627	0.01975	0.01842
V251	0.5605	0.14929	0.04294	0.02922	0.08501	0.00368	0.03187	0.04111	0.04891	0.00747
V252	0.05934	0.48738	0.03947	0.04368	0.04291	0.22133	0.0281	0.04136	0.01828	0.01816
V253	0.01093	0.01777	0.3291	0.04265	0.06964	0.07979	0.03926	0	0.40529	0.00557
V254	0.00099	0.11302	0.06783	0.05759	0.57656	0.01558	0.04136	0	0.03661	0.09046
V255	0.00275	0.12602	0.0584	0.01775	0.68819	0.00865	0.05274	0.0048	0.04069	0
V256	0	0.02692	0.19511	0.62028	0.05202	0.05018	0.03438	0.00188	0.01662	0.0026
V257	0.37124	0.00454	0.34936	0.059	0.04555	0.11734	0.04119	0	0.01178	0
V258	0.00129	0.09698	0.0475	0.02072	0.54835	0.00668	0.05605	0	0.03662	0.18581
V259	0.07125	0.02226	0.05439	0.10026	0.16004	0.02367	0.08055	0.45439	0.02839	0.0048
V260	0.00648	0.20865	0.03918	0.01171	0.05739	0.02915	0.05204	0.56031	0.0351	0
V261	0.20127	0.01988	0.04594	0.01572	0.06214	0.23846	0.33279	0	0.06341	0.02038
V262	0	0.415	0.1082	0.02073	0.04988	0.3038	0.02073	0.00896	0.01856	0.05413
V263	0.41605	0.36053	0.02898	0.00625	0.04446	0.00812	0.06516	0	0.01432	0.05613
V264	0.008	0.04473	0.15525	0.46278	0.21814	0.02644	0.05779	0.00067	0.02298	0.00322
V265	0.01748	0.26286	0.0881	0.23097	0.03824	0.02798	0.15742	0	0.02593	0.15102
V266	0.01503	0.65398	0.12919	0.0149	0.04634	0.00571	0.02657	0.0124	0.08139	0.01449
V267	0.00222	0.15019	0.02518	0.01741	0	0.01358	0.0256	0	0.02105	0.74477
V268	0	0.32945	0.07943	0.12291	0.31702	0.0079	0.04679	0.00994	0.06016	0.02641
V269	0.02615	0.01957	0.33229	0.48494	0.05838	0.01018	0.03377	0.00571	0.02901	0
