B_cells	NK_cells	T_cells_CD4.	Monocytes
V300	0	0.00438	0.32491	0.67071
V301	0.09499	0.1472	0.75781	0
V302	0.68155	0.31845	0	0
V303	0	0.56225	0.43775	0
V304	0.03175	0.06189	0.89409	0.01227
V305	0.09873	0.19256	0.5938	0.11491
V306	0.82995	0.10875	0.0613	0
V307	0.02084	0.92814	0.05103	0
V308	0.24137	0.26661	0.38583	0.1062
V309	0.40219	0.3625	0	0.23531
V310	0.06705	0.37227	0.18502	0.37566
V311	0.54346	0.45654	0	0
V312	0.08538	0.71981	0.1948	0
V313	0	0.15195	0.00396	0.84409
V314	0	0.54395	0.14389	0.31216
V315	0.14902	0.7021	0.0489	0.09997
V316	0.32093	0.16039	0.5024	0.01628
V317	0.1131	0.76963	0.08309	0.03418
V318	0.05305	0.61944	0.00455	0.32296
V319	0.01204	0.09071	0.89726	0
V320	0.0428	0.18429	0.77291	0
V321	0.65664	0.33137	0.01199	0
V322	0.22937	0.3728	0.06603	0.33179
V323	0.05911	0	0.1591	0.7818
V324	0.67503	0.24869	0.07628	0
V325	0.31205	0.62752	0.06043	0
V326	0	0.61877	0.13431	0.24692
V327	0	0.1671	0.14467	0.68823
V328	0.02292	0.06535	0.88705	0.02468
V329	0.1921	0.11215	0.22875	0.46699
V330	0.41198	0.00171	0.45188	0.13443
V331	0.40537	0.07916	0.04841	0.46705
V332	0	0.03038	0.26702	0.7026
V333	0.43347	0.07725	0.48928	0
V334	0.37572	0.00356	0.47083	0.14989
V335	0	0.3699	0.6301	0
V336	0.21352	0.76021	0.02627	0
V337	0.25527	0.38861	0.35611	0
V338	0	0.93693	0.06307	0
V339	0.07011	0	0.92989	0
V340	0.01177	0.27531	0.67013	0.04279
V341	0.00732	0.02287	0.12225	0.84756
V342	0.22958	0	0.77042	0
V343	0.95761	0.04239	0	0
V344	0.65295	0.12921	0.21784	0
V345	0	0.04823	0.95177	0
V346	0.24162	0.1223	0.37711	0.25898
V347	0.0262	0	0.20972	0.76409
V348	0.05242	0.71275	0.22928	0.00554
V349	0.33842	0.18165	0.47994	0
V350	0	0.78346	0.21654	0
V351	0	0.03487	0.50139	0.46374
V352	0.00875	0.03291	0.95834	0
V353	0.90277	0.0221	0.07513	0
V354	0.01448	0.69209	0.29343	0
V355	0.28111	0.0958	0.57943	0.04366
V356	0.02062	0	0.17483	0.80455
V357	0.09491	0.38095	0.37444	0.14971
V358	0.6115	0.11252	0.0713	0.20468
V359	0.64948	0.06034	0.03797	0.2522
V360	0.57351	0.41545	0.01104	0
V361	0	0.40842	0.59158	0
V362	0	0.92464	0.07536	0
V363	0.15374	0.14417	0.59877	0.10332
V364	0.12533	0.08175	0.79293	0
V365	0.32427	0	0	0.67573
V366	0.09543	0.75065	0.13223	0.02169
V367	0.65122	0.15773	0	0.19106
V368	0.09895	0.76515	0.1359	0
V369	0	0.37078	0.62922	0
V370	0.26221	0.26762	0.47017	0
V371	0.2159	0.76253	0.02157	0
V372	0.19197	0.02645	0.17456	0.60702
V373	0.05058	0.17629	0.59143	0.18169
V374	0.73936	0	0.26064	0
V375	0.02548	0.01467	0.22894	0.73091
V376	0.01988	0.00416	0.17819	0.79778
V377	0.86298	0	0.05593	0.08109
