Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V225	0	0	0.32476	0.33988	0.0014	0.01463	0.00507	0.31425	0	0
V226	0.02385	0.55038	0.02942	0	0.18023	0	0	0.21612	0	0
V227	0.01476	0	0.72934	0	0.25064	0.00402	8e-05	0.00116	0	0
V228	0.03711	0.46297	0.09995	0	0.14792	0	0	0.22146	0.02597	0.00463
V229	0.67591	0	0	0	0	0.27662	0.01851	0.02896	0	0
V230	0	0.01834	0.05947	0.45313	0.07171	0.02326	0.08151	0	0.02065	0.27193
V231	0.05911	0.1886	0.0223	0.02825	0.06137	0.09389	0.01317	0.009	0.52417	0.00013
V232	0.02446	0.27781	0.48567	0	0.0953	0.00041	0	0.11636	0	0
V233	0.02962	0	0.02347	0.04025	0.66954	0.00545	0.00238	0	0.22929	0
V234	0.01539	0.01258	0.012	0.00792	0.21773	0.01643	0.11585	0.60063	0	0.00147
V235	0.01475	0	0.38706	0	0.00055	0	0	0.5962	0	0.00143
V236	0	0.00394	0.24423	0.28667	0.01363	0.3963	0.03243	0	0.02281	0
V237	0.02829	0	0.44969	0.12664	0.3126	0.0339	0.00316	0.04572	0	0
V238	0.00594	0.00968	0.30823	0	0.02928	0	0	0.64686	0	0
V239	0.01214	0.11579	0.05701	0.58346	0.09659	0.02854	0.03468	0	0.00387	0.06792
V240	0.07789	0.06426	0.02048	0	0	0.39958	0.37668	0.00732	0.03252	0.02127
V241	0.15184	0.00467	0.04652	0.69167	0.02324	0.03555	0.01794	0.02705	0	0.00152
V242	0.05615	0.01474	0.02061	0.06826	0.00938	0.0121	0.01589	0	0.80287	0
V243	0.04251	0.01422	0.02693	0.16306	0.02315	0.07707	0.04472	0	0.5526	0.05573
V244	0.03243	0.04625	0.44402	0	0	0.06638	0.30206	0.07794	0.03091	0
V245	0.15852	0.09716	0.1811	0	0.02277	0.48505	0.02292	0.03248	0	0
V246	0.01218	0.29823	0.0272	0	0.0387	0.09258	0.45429	0.00722	0.0684	0.00119
V247	0.01009	0.00378	0.94846	0	0.01485	0.00714	0.003	0.00466	0.00802	0
V248	0.5235	0.05519	0.01449	0	0.01276	0.03257	0.08554	0.27595	0	0
