Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V360	0.54882	0.11692	0	0.22533	0.10894	0
V361	0	1	0	0	0	0
V362	0	0.61539	0	0.38461	0	0
V363	0.83313	0.16687	0	0	0	0
V364	0	0.2381	0	0.02598	0.02781	0.70812
V365	0.43601	0.48317	0	0.08082	0	0
V366	0.05649	0.35279	0.56026	0.03046	0	0
V367	0	0.05905	0	0.80246	0.13848	0
V368	0	0.17982	0.02771	0.03425	0.08041	0.67781
V369	0	0.09967	0	0.12011	0.74835	0.03188
V370	0	0.15572	0.73833	0.08168	0	0.02426
V371	0	0.32396	0	0.55662	0	0.11942
V372	0.05251	0.81857	0	0.04027	0.08707	0.00159
V373	0.82684	0.10658	0	0	0	0.06659
V374	0.12292	0.12089	0.19767	0.55853	0	0
V375	0.48316	0.11997	0.16885	0.0446	0.18342	0
V376	0	0.07101	0	0.12633	0	0.80266
V377	0.00179	0.10535	0.46381	0.01213	0.40865	0.00827
V378	0	0.10865	0.14368	0	0	0.74767
V379	0.39394	0.07725	0.03584	0	0	0.49297
V380	0	0.09004	0	0.06016	0.8498	0
V381	0.33556	0.14096	0.27999	0.24349	0	0
V382	0	0.07501	0	0.30193	0.62306	0
V383	0.16037	0.14538	0.40605	0.2882	0	0
V384	0	0.09239	0.90761	0	0	0
V385	0	0.02528	0	0	0	0.97472
V386	0.66321	0.13412	0.20267	0	0	0
V387	0.14644	0.12776	0	0.7258	0	0
V388	0.81052	0.14669	0.04279	0	0	0
V389	0.15203	0.13475	0	0	0	0.71322
V390	0	0.10588	0	0.84855	0	0.04556
V391	0	0.08042	0	0.80396	0.11562	0
V392	0	0.08452	0.51497	0.03579	0	0.36472
V393	0	0.22753	0.47077	0.07844	0.00194	0.22132
V394	0	0.0385	0	0.9615	0	0
V395	0	0.09021	0.90979	0	0	0
V396	0.48895	0.17864	0	0.33241	0	0
V397	0	0.20793	0	0	0	0.79207
V398	0.02655	0.80281	0	0.04167	0.12897	0
V399	0	0.06051	0.93949	0	0	0
V400	0	0.05885	0	0.41618	0	0.52497
V401	0.09867	0.11424	0.74525	0	0	0.04184
V402	0	0.07964	0	0.92036	0	0
V403	0	0.02431	0	0.04001	0.30505	0.63062
V404	0	0.05308	0.94692	0	0	0
