Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V230	0.01805	0.17354	0.80841	0	0	0
V231	0	0.05235	0	0.94765	0	0
V232	0.37169	0.04318	0	0.29003	0	0.2951
V233	0.86779	0.09386	0	0.03835	0	0
V234	0.49682	0.05941	0	0.00316	0.44061	0
V235	0.02365	0.04564	0	0.93071	0	0
V236	0.02028	0.01347	0.18153	0.0248	0.56358	0.19633
V237	0	0.02758	0.88355	0.08888	0	0
V238	0.72059	0.0506	0.0052	0.07739	0	0.14622
V239	0.59293	0.09144	0.07843	0.14045	0.09674	0
V240	0	0.24186	0	0.15755	0.6006	0
V241	0.5991	0.21033	0	0.19057	0	0
V242	0.25481	0.0792	0.00151	0.21752	0.03001	0.41695
V243	0	0.40765	0.56185	0.0305	0	0
V244	0.10285	0.03361	0	0	0.59923	0.2643
V245	0.80984	0.05179	0	0	0	0.13837
V246	0	0.06308	0.22323	0.45478	0.25891	0
V247	0.20267	0.10078	0	0.17955	0	0.517
V248	0.26966	0.06802	0	0.26835	0.39397	0
V249	0.2563	0.19102	0.43216	0.0474	0	0.07311
V250	0	0.02467	0	0.97533	0	0
V251	0	0.63095	0.15518	0.21387	0	0
V252	0	0.0241	0	0.97524	0.00067	0
V253	0	0.05902	0	0.51454	0.06813	0.35831
V254	0.0231	0.29807	0.04162	0.27081	0.34345	0.02295
V255	0.45509	0.35016	0.04876	0.06853	0.01678	0.06067
V256	0.00562	0.99155	0	0.00282	0	0
V257	0.04342	0.47641	0	0.04253	0.40725	0.03039
V258	0	0.2491	0.11725	0.63366	0	0
V259	0	0.59763	0.40237	0	0	0
V260	0.11846	0.05993	0	0.02599	0.71459	0.08104
V261	0.59694	0.06536	0	0.02428	0.20798	0.10544
V262	0.05568	0.05163	0.87063	0	0.02205	0
V263	0	0.08093	0.7094	0.20967	0	0
V264	0.69677	0.07408	0.07971	0.01618	0.02913	0.10413
V265	0.00742	0.03001	0	0.05243	0.91014	0
V266	0.03254	0.03764	0	0	0	0.92982
V267	0.16591	0.76503	0	0.06906	0	0
V268	0.92323	0.07677	0	0	0	0
V269	0	0.06939	0.09293	0.83768	0	0
V270	0.33085	0.5596	0	0.01057	0.09899	0
V271	0	0.11478	0.27409	0	0	0.61113
V272	0.00249	0.01849	0	0.12185	0.8196	0.03756
V273	0.0637	0.02321	0	0.12889	0.78188	0.00232
V274	0	0	0.16503	0.00923	0	0.82574
V275	0.7663	0.2337	0	0	0	0
V276	0.03584	0.29881	0.06139	0.08546	0	0.5185
V277	0.48544	0.05212	0	0	0.08823	0.37421
V278	0.1338	0.15707	0.05903	0.31795	0.33215	0
V279	0.05618	0.06379	0.21817	0.0169	0	0.64496
V280	0.05726	0.0441	0	0.89864	0	0
V281	0	0.95458	0.02129	0.02413	0	0
V282	0	0.05861	0	0.09697	0.84442	0
V283	0	0.47648	0	0.01299	0.51053	0
V284	0	0.12159	0.35768	0.41196	0	0.10877
V285	0	0.02478	0	0.97522	0	0
V286	0.68306	0.10449	0.03577	0.17667	0	0
V287	0.01021	0.03219	0	0.12979	0.82083	0.00698
V288	0.00515	0.32013	0	0	0.07002	0.6047
V289	0	0.0989	0.80932	0.09177	0	0
V290	0	0.01316	0.21127	0.77557	0	0
V291	0	0.04389	0	0.95611	0	0
V292	0.10288	0.13124	0	0.68964	0.07624	0
V293	0	0.06262	0	0.02969	0.90769	0
V294	0.61682	0.0751	0	0	0.28122	0.02686
V295	0.04501	0	0	0	0	0.95499
V296	0	0.42599	0.07165	0.39078	0	0.11158
V297	0	0.02642	0	0	0	0.97358
V298	0	0.82593	0.17407	0	0	0
V299	0.12516	0.11082	0.76402	0	0	0
V300	0.84274	0.15726	0	0	0	0
V301	0.53258	0.45255	0.01486	0	0	0
V302	0	0.30387	0.03065	0.66548	0	0
V303	0	0.80746	0.06117	0.02581	0.10556	0
V304	0.00479	0.03076	0	0.01832	0.94612	0
V305	0	0.01894	0.17605	0.54809	0.04087	0.21605
V306	0.31946	0.11243	0	0	0	0.56811
V307	0.20848	0.0356	0	0.02429	0.71764	0.01398
V308	0	0.01288	0	0.98712	0	0
V309	0	0.55841	0	0.44159	0	0
V310	0.0176	0.41371	0.30551	0	0	0.26318
V311	0.45947	0.01967	0	0	0	0.52086
V312	0.11009	0.04547	0	0.43523	0.40921	0
V313	0.16417	0.02055	0	0	0	0.81528
V314	0.20776	0.06359	0	0.72865	0	0
V315	0.18626	0.80498	0	0	0.00877	0
V316	0.10011	0.01736	0	0.04308	0	0.83945
V317	0	0.02352	0	0.8275	0	0.14898
V318	0	0.01955	0	0.98045	0	0
V319	0.39417	0.22209	0.2527	0.13104	0	0
V320	0.27354	0.22349	0.3697	0.09397	0	0.0393
