Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V245	0.16913	0.13396	0.16954	0.01053	0.01932	0.44245	0.03668	0.0046	0.0138	0
V246	0	0.22093	0.01341	0.02017	0.04003	0	0.62737	0	0.05885	0.01925
V247	0.05793	0.02907	0.73983	0.07592	0.00698	0.00225	0.0096	0	0.03009	0.04832
V248	0.51414	0.06469	0.06627	0	0.03811	0.01589	0.15855	0.11882	0.02317	0.00037
V249	0.0603	0.02607	0.58372	0.05632	0.06348	0.00305	0.01055	0	0.03504	0.16148
V250	0.04137	0.05358	0.06194	0.24084	0.03867	0.29915	0.04962	0.17061	0.02733	0.01689
V251	0.56496	0.17131	0.05342	0.01837	0.07772	0.00284	0.01636	0.03495	0.05161	0.00847
V252	0.06261	0.527	0.01947	0.04459	0.01139	0.23925	0.03827	0.02639	0.03104	0
V253	0.03546	0.01228	0.32642	0.03754	0.03415	0.09263	0.01659	0	0.41801	0.02693
V254	0	0.16747	0	0.03307	0.61816	0.01	0.00706	0	0.01901	0.14522
V255	0	0.18469	0	0	0.7102	0.00234	0.01368	0	0.01836	0.07073
V256	0.0695	0.02602	0.14978	0.65108	0.0235	0.045	0.0046	0	0.02743	0.00309
V257	0.39911	0.00988	0.35834	0.04626	0.01405	0.12538	0.02606	0	0.01316	0.00776
V258	0	0.1512	0	0	0.58789	0.00184	0.02106	0	0.01795	0.22006
V259	0.09081	0.03039	0.02663	0.08073	0.16579	0.01723	0.07425	0.44546	0.04443	0.02428
V260	0.00948	0.22717	0.01346	0.00255	0.01805	0.02351	0.06286	0.57041	0.07251	0
V261	0.22036	0.01545	0.03061	0.00185	0.03524	0.26882	0.33578	0	0.05954	0.03236
V262	0.00117	0.4458	0.08744	0.02155	0.01838	0.33067	0.03119	0	0.02736	0.03645
V263	0.42137	0.38999	0.03352	0.00691	0.02626	0.00352	0.0555	0	0.02178	0.04115
V264	0.05562	0.06872	0.09661	0.43759	0.24753	0.01609	0.02511	0	0.02284	0.02989
V265	0.04622	0.30217	0.05366	0.23216	0.00793	0.01849	0.15408	0	0.03572	0.14958
V266	0.01138	0.70746	0.10778	0.02974	0.01086	0	0.02956	0	0.10323	0
V267	0.0023	0.17031	0	0.00927	0	0.01428	0.02587	0	0.02951	0.74846
V268	0.003	0.37142	0.02717	0.10623	0.35326	0.00037	0.02541	0	0.05871	0.05442
V269	0.09156	0.0179	0.3209	0.49164	0.0272	0.00028	0.00492	0	0.04023	0.00537
V270	0.0039	0.18222	0	0	0.70264	0.00274	0.00718	0	0.01934	0.08199
V271	0.04949	0.03187	0.1979	0.02049	0.07275	0.02287	0.03606	0	0.53755	0.03102
V272	0.02277	0.1813	0.07173	0.0126	0.02846	0.17412	0.05442	0.12907	0.21412	0.11141
V273	0.01518	0.01523	0.05533	0.15633	0.08491	0.63134	0.0311	0	0.01059	0
V274	0.0861	0.00717	0.03991	0.01292	0	0.15005	0.02822	0.02736	0.04098	0.60729
V275	0	0.20736	0	0	0.4291	0.05441	0.01473	0	0.01896	0.27546
V276	0.049	0.12086	0.08058	0.31751	0.05946	0	0.14074	0.00449	0.11535	0.112
V277	0.06133	0.22461	0.41322	0.23094	0.01891	0	0.01066	0	0.03031	0.01002
V278	0.1212	0.00945	0.01072	0	0	0.00296	0.02934	0	0.02598	0.80034
V279	0.03048	0.19721	0.05323	0.22657	0.21024	9e-04	0.23486	0	0.02471	0.02179
V280	0.10344	0.03279	0.03585	0.05203	0.14586	0.2357	0.28669	0.05559	0.02223	0.02981
