Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V283	0.07832	0	0.05527	0.05425	0.50954	0.03658	0.00665	0.03231	0.22707	0
V284	0.00779	0.00492	0.28647	0	0.15289	0	0	0.01075	0	0.53718
V285	0.01518	0.10137	0.03989	0	0.11694	0.00061	0.0316	0.41619	0.00313	0.27507
V286	0.01659	0	0.09077	0.03956	0.08395	0.45401	0.03775	0.00541	0	0.27196
V287	0.01693	0.04672	0.04133	0	0.08643	0.09719	0.34714	0.00719	0.01539	0.34168
V288	0.02028	0.00456	0.0173	0.0117	0.00378	0.22184	0.02022	0.70028	0	5e-05
V289	0.04536	0.12129	0.67605	0	0.13128	0	0	0.00542	0	0.0206
V290	0.00609	0.04704	0.18006	0	0	0.32619	0.38642	0.0216	0.02271	0.0099
V291	0.81295	0	0.04197	0.04486	0.01568	0.06759	0.00853	0.00708	0	0.00134
V292	0.04246	0	0.53916	0	0	0.38006	0.02783	0.00227	0.00821	0
V293	0.07641	0	0.84232	0	0.00472	0	0	0.05493	0.00633	0.01528
V294	0.06575	0.17086	0.17986	0.00538	0.09739	0.00387	0.04691	0.00837	0.4216	0
V295	0.05496	0.03453	0.71781	0	0.03267	0.01894	0.00072	0.09142	0	0.04896
V296	0.02114	0.00675	0.09384	0.13723	0.28272	0.00666	0.02132	0.13556	0.29477	0
V297	0.21763	0.05128	0.04474	0	0.20422	0.00048	0.03276	0.01165	0	0.43725
V298	0	0.02218	0.06567	0.80618	0.00433	0.01559	0.03741	0.01183	0.03681	0
V299	0.31201	0	0	0	0.11802	0.51129	0.03611	0.006	0	0.01658
V300	0.00633	0	0.02435	0.22004	0.17313	0.00614	0.01562	0.55254	0	0.00185
V301	0.0152	0	0	0.03189	0	0.00828	0	0.94462	0	0
V302	0.20523	0	0.07585	0	0	0	0	0.71893	0	0
