B_cells	NK_cells	T_cells_CD4.	Monocytes
V308	0.23285	0.25494	0.30475	0.20745
V309	0.34996	0.33691	0.02357	0.28956
V310	0.09456	0.3452	0.17356	0.38667
V311	0.52121	0.46103	0.01066	0.00709
V312	0.11878	0.69917	0.17227	0.00979
V313	0.00921	0.15571	0.03963	0.79545
V314	0.02596	0.50181	0.13606	0.33617
V315	0.14115	0.61912	0.05566	0.18406
V316	0.30621	0.16102	0.38767	0.14509
V317	0.10786	0.68174	0.07148	0.13892
V318	0.05712	0.57472	0.02591	0.34224
V319	0.056	0.09753	0.80884	0.03762
V320	0.07814	0.17637	0.63578	0.10972
V321	0.64295	0.35169	0.00536	0
V322	0.21369	0.34668	0.08277	0.35687
V323	0.10128	0.04626	0.11872	0.73374
V324	0.64991	0.26008	0.07227	0.01774
V325	0.31438	0.61041	0.07521	0
V326	0	0.58128	0.12088	0.29784
V327	0.04104	0.18301	0.12885	0.64709
V328	0.04578	0.06216	0.73874	0.15331
V329	0.19596	0.14183	0.18731	0.4749
V330	0.39338	0.02701	0.34132	0.23829
V331	0.37256	0.11219	0.04473	0.47052
V332	0.02845	0.08274	0.21103	0.67778
V333	0.41358	0.09684	0.38765	0.10193
V334	0.35981	0.02875	0.36383	0.24762
V335	0.02649	0.35311	0.51381	0.10658
V336	0.19451	0.67862	0.03803	0.08884
V337	0.28348	0.40232	0.30135	0.01285
V338	0.01259	0.90632	0.05183	0.02926
V339	0.11996	0.02887	0.83963	0.01153
V340	0.05613	0.25553	0.52696	0.16137
V341	0.06705	0.06534	0.09764	0.76997
V342	0.24288	0.02227	0.6138	0.12105
V343	0.92227	0.0407	0.00136	0.03566
V344	0.66245	0.15843	0.17913	0
V345	0.02731	0.07275	0.89993	0
V346	0.23984	0.14213	0.29563	0.3224
V347	0.08505	0.03417	0.15563	0.72515
V348	0.06936	0.6355	0.17236	0.12278
V349	0.33616	0.1891	0.3833	0.09144
V350	0.04172	0.7558	0.20248	0
V351	0.02729	0.06584	0.42074	0.48614
V352	0.04432	0.05374	0.82752	0.07443
V353	0.85598	0.0333	0.03023	0.08049
V354	0.06142	0.6599	0.25022	0.02846
V355	0.27102	0.10314	0.46149	0.16436
V356	0.07685	0.04915	0.12867	0.74533
V357	0.11854	0.35314	0.29396	0.23436
V358	0.54752	0.12305	0.0477	0.28173
V359	0.58367	0.07356	0.02469	0.31808
V360	0.54515	0.41777	0.02562	0.01146
V361	0	0.44913	0.54861	0.00226
V362	0.00387	0.90555	0.06379	0.02679
V363	0.1708	0.14905	0.47142	0.20873
V364	0.15405	0.09488	0.66568	0.08539
V365	0.30686	0.0495	0.00794	0.63571
V366	0.09488	0.66211	0.11239	0.13062
V367	0.57707	0.15253	0	0.2704
V368	0.10699	0.69931	0.11335	0.08035
V369	0.02202	0.40205	0.57593	0
V370	0.29112	0.28959	0.40533	0.01396
V371	0.20407	0.68996	0.05005	0.05591
V372	0.19576	0.07988	0.13969	0.58467
V373	0.08288	0.17392	0.47981	0.26339
V374	0.76918	0.02516	0.20566	0
V375	0.07641	0.06947	0.16871	0.68541
V376	0.07467	0.06187	0.12598	0.73748
V377	0.79864	0	0.00183	0.19954
V378	0.01283	0.06701	0.43279	0.48736
V379	0.35943	0.22527	0.00119	0.41411
V380	0.17406	0.10216	0.21922	0.50456
V381	0.72623	0.02008	0.09374	0.15995
V382	0.08098	0.06958	0.84142	0.00802
V383	0.82011	0.01086	0.04701	0.12201
V384	0.54939	0.09448	0.13694	0.21918
V385	0.83161	0.02348	0.07422	0.07068
V386	0.32456	0.02949	0.16306	0.48288
