CD56NK	CD4MemoryT	CD19B	CD14
V545	0.41842	0.09703	0.06935	0.41521
V546	0.06911	0.84601	0.07937	0.0055
V547	0.04887	0.57051	0.36883	0.0118
V548	0.21598	0.68377	0.09573	0.00452
V549	0.36908	0.01043	0.61123	0.00927
V550	0.62296	0.01523	0	0.36181
V551	0.24641	0.65571	0.03875	0.05913
V552	0.00158	0.46264	0.0043	0.53148
V553	0.27041	0.0987	0.6143	0.01659
V554	0.06181	0.05826	0.02212	0.85781
V555	0.11392	0.172	0.36055	0.35353
V556	0.00039	0.00965	0.95785	0.03211
V557	0.84917	0.01272	0.00929	0.12883
V558	0.09606	0.73248	0.03007	0.14139
V559	0.01268	0.75413	0.23317	2e-05
V560	0.76352	0.23271	0	0.00377
V561	0.00064	0.00658	0.9849	0.00788
V562	0.8131	0.00123	0.107	0.07867
V563	0.27617	1e-05	0.71973	0.00408
V564	0.07009	0.04386	0.87447	0.01159
V565	0.15592	0.19897	0.40912	0.236
V566	0.74661	0.06179	0.00389	0.18772
V567	0.27732	0.3667	0.02586	0.33011
V568	0.26824	0.00112	0.05356	0.67708
V569	0.71452	0.01419	0	0.27129
V570	0.03219	0.22555	0.67602	0.06624
V571	0.86749	0.08117	0	0.05135
V572	0.48815	0.00124	0.42369	0.08692
V573	0.07414	0.12911	0.0059	0.79085
V574	0.05161	0.73059	0.20545	0.01234
V575	0.02333	0.05419	0.12732	0.79516
V576	0.2181	0.72833	0.04137	0.0122
V577	0.04482	0.02503	0.21804	0.7121
V578	0.06726	0.03804	0.70962	0.18508
V579	0.01165	0.85078	0.11502	0.02256
V580	0.17037	0.00109	0.111	0.71754
V581	0.07385	0.0518	0.00223	0.87212
V582	0.64587	0.09804	0.02948	0.22661
V583	0.00831	0.02372	0.61739	0.35059
V584	0.58484	0.10356	0.28216	0.02943
V585	0.00934	0.00169	0.46107	0.52791
V586	0.27134	0.00184	0.64261	0.08421
V587	0.30422	0.00262	0.66927	0.0239
V588	0.67342	0.0249	0.02157	0.28011
V589	0.08075	0.77161	0.07426	0.07338
V590	0.06695	0.70076	0.22745	0.00483
V591	0.00222	0.02073	0.20769	0.76936
V592	0.18431	0.01688	0.79869	0.00013
V593	0.62192	0	0.17347	0.20462
V594	0.40356	0.21284	0.34324	0.04036
V595	0.02855	0.01221	0.01879	0.94046
V596	0.04488	0.21887	0.24831	0.48794
V597	0.00025	0.51192	0.39657	0.09127
V598	0.01962	0.0798	0.88856	0.01202
V599	0.7101	0.23548	0.03175	0.02267
V600	0.44794	0.37914	0.05262	0.12029
V601	0.19991	0.20963	0.08582	0.50464
V602	0.02903	0.01293	0.01106	0.94698
V603	0.01089	0.30863	0.01267	0.66781
V604	0.57597	0.07349	0.32877	0.02177
V605	0.08634	0.2586	0.44621	0.20885
V606	0.78647	0.10295	0.00983	0.10074
V607	0.68929	0.00403	0.10327	0.2034
V608	0.26357	0.11081	0.40162	0.224
V609	0.03272	0.18289	0.25644	0.52795
V610	0.80458	0.00735	0.0845	0.10357
V611	0.31692	0.00116	0.05172	0.6302
V612	0.03057	0.05505	0.84954	0.06484
V613	0.04365	0.26894	0.65073	0.03668
