Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V264	0.02658	0.07226	0.09428	0.45835	0.26295	0.01775	0.02857	0.00286	0.01575	0.02065
V265	0.02405	0.31565	0.06408	0.22746	0.01123	0.02193	0.15851	0.00286	0.01193	0.16231
V266	0	0.71858	0.12565	0.01254	0.05232	0.00266	0.01456	0.01747	0.05173	0.0045
V267	0	0.16674	0.00919	0.01921	0	0.01452	0.0198	0.00178	0.00168	0.76709
V268	0	0.38747	0.03474	0.10082	0.3818	0.00029	0.02477	0.0124	0.02039	0.0373
V269	0.05153	0.01932	0.32045	0.51166	0.03164	0.00301	0.00058	0.01052	0.04844	0.00285
V270	0.00845	0.18572	0	0	0.74988	0	0.0149	0.00726	0	0.03379
V271	0.03837	0.03186	0.23808	0.0149	0.07098	0.02103	0.05416	0.00044	0.50157	0.02861
V272	0.00907	0.2048	0.09384	0.00616	0.0257	0.17573	0.07149	0.14908	0.14209	0.12203
V273	0	0.01517	0.0596	0.15268	0.08875	0.61198	0.06552	0.00629	0	0
V274	0.07431	0	0.06119	0.02054	0	0.13993	0.03642	0.03404	0.0105	0.62308
V275	0	0.2167	0	0	0.44836	0.05089	0.02056	0.00579	0	0.25771
V276	0.02164	0.13222	0.0857	0.3313	0.05419	0.00017	0.15487	0.01663	0.07943	0.12386
V277	0.02588	0.23746	0.42036	0.22705	0.04029	0.00263	0.00357	0.00722	0.03103	0.00451
