HD30_PBMC_0	HD30_PBMC_1	HD30_PBMC_3	HD30_PBMC_7	HD31_PBMC_0	HD31_PBMC_1	HD31_PBMC_3	HD31_PBMC_7
ABI3BP	0.25609472575	0.14793634275	0.501813978125	0.310268377	0.390088407125	0.366632263375	0.2041701165	0.249950250125
ABL1	17.9998591775	18.57876955375	18.48784347	18.89180915625	14.6350278825	14.07161151125	15.08746341625	16.81937241875
ABL2	7.137187120125	7.30280172075	6.54413036975	7.241209747375	7.68191605725	8.5371017685	8.1031806405	7.366196472625
ABLIM1	87.79629241125	76.515013335	119.336686375	114.86702625	95.62034236375	106.7114855375	112.3750935	108.0453494125
ABLIM2	0.630803945625	0.62582522325	0.782323608625	0.796129917875	0.5554410835	0.8007755305	1.178162273	1.028200205625
ABLIM3	0.903450422625	1.537524482875	1.04930537975	0.926451278375	1.241314721625	1.361309295125	1.718752920625	0.730696088625
ABO	1.172411567125	1.563644804625	1.279911325875	1.13614293225	1.343340196	1.023502935625	1.262973440375	1.151553849625
ABR	82.95989474625	96.2214045025	75.01492085875	76.047886355	73.621344375	73.515184835	76.47962254375	79.16171586
ABRA	0.336521471	0.345847895	0.2572408675	0.19429085875	0.127966836375	0.377989691875	0.06067839075	0.033463643875
ABRACL	104.19074127625	94.38269893875	131.2326595125	115.0181978875	102.9293466425	120.83067015	106.2577978375	102.60029839375
ABT1	29.74238399	31.4235582925	31.80753264	30.44874557625	32.36054297625	29.65251622	34.73884568125	34.56528807875
ABTB1	156.1540340875	168.350265575	159.0185751625	175.523111925	174.3231648125	151.5512369625	165.4228450375	178.4594301625
ABTB2	1.07110278725	2.04790189975	1.837840336125	1.7230026445625	1.67676939575	1.35633754125	1.07397144825	1.46298556225
ACAA1	98.8010479	117.82828865	102.3211949725	111.5290523125	109.6410015625	109.4683251	118.0046642875	110.82647835
ACAA2	46.201586015	52.04903071125	52.60348250375	59.49854056375	40.43665040625	45.57670103375	36.819668065	37.53031724125
ACACA	8.6481391065	7.532958852875	8.5194008845	6.752527134125	6.986225071875	7.801904169625	8.5542883005	7.679972407125
