"gene_symbol","Monocytes","Neutrophils","B_cells","NK_cells","T_cells_CD4.","Macrophages",,,,,,,,,,,"Plasma_cells_CD138.","Platelets","Reticulocytes","Subcutaneous_Adipose","T_cells_CD3.",,"T_cells_CD8.","T_cells_Gamma_Delta","T_cells_Regulatory","Vascular_Endothelial_Cells"
"ABI3",60.949249,50.112241,46.335249,63.282025,51.437584,54.361129,,,,,,,,,,,46.580625,52.911076,62.2521,44.769481,55.457809,,58.782889,76.825225,46.24,64.738116
"ABI3BP",11.840481,12.222016,11.758041,12.152196,11.607649,12.802084,,,,,,,,,,,14.814801,13.490929,13.920361,43.970161,11.464996,,12.645136,11.122225,11.580409,30.614089
"ABL1",59.043856,41.563809,59.7529,66.634569,60.466176,64.016001,,,,,,,,,,,57.289761,37.3321,36.832761,82.482724,55.011889,,61.716736,59.721984,59.259204,78.836641
"ABL2",47.734281,34.786404,40.043584,37.552384,39.087504,58.553104,,,,,,,,,,,38.340864,32.775625,37.748736,40.208281,36.929929,,40.8321,39.325441,39.175081,56.460196
"ABLIM1",42.016324,46.635241,82.791801,62.900761,83.704201,34.798201,,,,,,,,,,,41.293476,78.216336,42.068196,90.668484,86.6761,,83.9056,43.678881,79.334649,81.866304
"ABLIM2",30.393169,34.140649,31.069476,30.349081,30.813601,30.525625,,,,,,,,,,,35.390601,32.993536,37.982569,27.331984,30.747025,,30.780304,29.3764,31.1364,31.854736
"ABLIM3",36.675136,35.129329,27.793984,27.815076,27.783441,34.774609,,,,,,,,,,,37.100281,112.593321,45.576001,75.290329,28.387584,,28.815424,27.636049,27.04,75.359761
"ABO",25.080064,24.740676,25.351225,21.307456,24.137569,24.373969,,,,,,,,,,,29.408929,31.047184,32.775625,22.410756,27.699169,,24.631369,27.730756,23.609881,24.740676
"ABP1",17.799961,22.819729,14.830201,14.077504,15.460624,22.344529,,,,,,,,,,,18.472804,15.816529,19.395216,13.623481,15.808576,,14.992384,20.994724,15.295921,14.569489
"ABR",60.590656,57.335184,55.175184,48.135844,49.098049,67.947049,,,,,,,,,,,33.477796,37.491129,39.175081,48.177481,48.902049,,46.854025,58.660281,48.177481,57.76
"ABRA",11.573604,12.194064,12.222016,11.235904,11.182336,11.478544,,,,,,,,,,,11.229201,11.992369,12.257001,10.647169,11.621281,,11.641744,11.7649,11.526025,11.410884
"ABT1",62.141689,55.815841,62.110161,66.667225,65.496649,56.610576,,,,,,,,,,,55.666521,43.0336,57.138481,51.380224,63.776196,,63.648484,74.459641,56.987401,60.590656
"ABTB1",33.535681,53.846244,31.618129,28.281124,31.036041,29.789764,,,,,,,,,,,29.789764,32.741284,45.724644,29.095236,31.36,,30.6916,30.107169,32.467204,29.116816
"ABTB2",35.462025,35.688676,33.362176,30.625156,30.536676,33.166081,,,,,,,,,,,31.058329,39.225169,43.983424,29.116816,33.895684,,31.866025,34.269316,34.035556,29.800681
"ACAA1",78.234025,83.265625,77.457601,74.269924,75.359761,80.263681,,,,,,,,,,,64.336441,69.205761,36.614601,71.436304,74.356129,,72.658576,75.655204,80.245764,70.610409
"ACAA2",60.202081,40.144896,56.190016,61.230625,54.449641,67.010596,,,,,,,,,,,58.094884,60.559524,46.881409,66.667225,57.365476,,58.415449,77.492809,55.6516,56.866681
"ACACA",38.950081,32.970564,41.925625,44.742721,42.706225,41.036836,,,,,,,,,,,41.4736,42.107121,42.719296,45.8329,38.750625,,41.692849,51.811204,46.936201,51.279921
"ACACB",33.7561,37.527876,36.857041,33.189121,40.627876,36.9664,,,,,,,,,,,37.4544,35.796289,45.792289,87.291649,39.904489,,38.713284,31.192225,43.983424,35.892081
"ACAD10",27.962944,26.708224,29.942784,25,27.154521,27.269284,,,,,,,,,,,27.552001,27.888961,31.685641,24.750625,28.419561,,27.489049,29.224836,27.331984,26.853124
