gene_symbol,ACD,ACN,ALO,ATD,BCC,BU,CHA,DLE,ENL,ICD,LL,MEL,MF,NS,PS,RR,SAR,SCC,SJS,WA,WPO
PLDN,467.037,342.279,245.193,297.976,342.616,354.915,328.111,222.095,407.567,309.627,484.638,343.550,523.615,316.087,408.122,355.462,343.589,341.327,518.033,445.406,557.073
PLEC,307.756,169.344,297.570,388.816,258.380,375.467,87.275,246.471,55.075,401.677,70.975,135.046,197.743,254.521,254.216,107.636,96.813,210.520,335.430,113.567,122.959
PLEK,255.511,313.872,68.070,85.114,112.153,498.306,654.400,178.529,691.692,80.082,780.321,173.021,590.939,95.484,174.534,701.307,475.017,126.120,932.390,107.717,397.150
PLEK2,271.467,295.622,128.340,316.859,341.507,509.856,566.000,113.314,285.767,419.764,183.129,190.171,141.686,288.150,305.654,221.314,297.667,422.740,89.940,123.783,341.882
PLEKHA1,665.556,556.745,365.530,772.932,901.377,492.261,444.058,246.943,311.083,872.941,426.614,355.075,209.080,978.341,643.635,370.829,467.467,764.385,85.520,598.800,440.282
PLEKHA2,183.119,173.622,333.207,101.517,137.858,185.815,345.950,495.462,322.011,175.424,758.424,191.419,405.724,156.687,211.537,501.381,655.529,184.443,613.040,157.911,206.973
PLEKHA3,70.922,110.993,99.593,72.339,82.171,84.633,75.017,84.214,170.794,53.903,140.667,102.210,129.671,84.045,77.714,89.424,204.231,69.757,107.447,156.361,131.491
PLEKHA4,100.878,76.206,47.140,64.032,71.960,60.367,70.883,47.700,50.117,37.164,44.443,72.229,44.818,56.443,72.853,60.043,54.767,47.520,48.480,82.167,71.627
PLEKHA5,124.928,135.335,56.820,158.977,173.610,123.106,132.083,34.636,140.733,140.205,119.304,196.254,84.936,225.602,180.234,115.614,175.427,164.360,19.450,204.375,143.532
PLEKHA6,26.367,24.479,29.350,29.582,34.767,20.267,22.742,26.686,25.025,26.227,37.618,35.707,28.927,32.902,25.804,32.686,29.447,21.600,27.120,46.533,22.964
PLEKHA7,39.489,64.701,33.680,75.632,111.947,51.078,46.217,25.471,31.683,50.836,29.057,33.643,32.973,65.125,48.169,32.814,140.000,47.650,78.100,90.350,71.436
PLEKHA8,32.850,42.633,26.203,32.229,33.916,36.785,38.594,25.974,41.228,44.252,38.857,41.763,28.122,34.139,31.161,39.624,41.480,33.565,31.800,44.711,52.259
PLEKHA9,74.856,59.219,36.440,47.400,54.200,57.544,85.550,38.286,77.283,36.000,73.507,67.214,73.805,48.618,52.442,71.214,89.247,51.840,86.840,72.317,75.173
PLEKHB1,29.233,30.406,69.200,30.962,24.340,26.689,27.206,42.433,38.561,32.891,30.793,112.090,59.394,29.043,29.746,27.524,22.487,27.133,32.433,38.172,27.218
PLEKHB2,420.252,432.549,311.447,368.258,332.849,432.752,421.161,326.067,670.000,287.991,774.879,488.610,553.868,335.492,406.392,508.305,816.387,334.437,533.500,353.056,627.585
PLEKHF1,145.356,125.219,95.640,143.923,198.640,129.144,76.533,106.057,80.600,105.009,101.843,159.300,354.655,128.614,135.899,153.857,93.293,152.050,251.920,164.683,134.500
PLEKHF2,197.083,258.870,281.190,200.873,220.050,211.500,275.742,223.893,84.667,212.932,205.393,136.768,266.198,373.120,380.062,123.543,313.380,333.745,145.690,284.050,294.423
PLEKHG1,69.289,152.575,109.740,83.036,63.313,70.433,84.350,72.800,35.567,176.118,57.329,65.843,59.664,125.214,85.766,104.286,210.140,107.220,17.880,156.517,162.255
PLEKHG2,75.389,64.390,96.433,105.598,104.187,84.715,62.689,107.200,70.900,126.667,67.995,106.750,104.330,73.576,63.607,84.724,42.971,88.587,155.800,62.333,66.718
PLEKHG3,87.622,82.032,92.753,79.915,97.149,91.211,69.906,85.486,62.744,92.903,58.238,74.945,64.261,73.899,83.508,70.081,51.253,93.340,76.213,71.428,74.206
PLEKHG4,123.656,144.107,63.560,197.655,152.560,96.867,89.800,52.343,52.033,128.882,64.050,116.043,121.091,131.807,117.498,99.257,82.007,103.200,96.520,157.033,108.845
