B_cells	NK_cells	T_cells_CD4.	Monocytes
V404	0.07141	0.23226	0.6068	0.08953
V405	0.23775	0.02854	0.17938	0.55433
V406	0.64549	0.2525	0	0.102
V407	0	0.97157	0.01057	0.01787
V408	0.07657	0.27796	0.40103	0.24445
V409	0.00365	0.01742	0.0622	0.91673
V410	0.08927	0.85827	0.03231	0.02016
V411	0.46474	0	0	0.53526
V412	0.14832	0.09942	0.50489	0.24738
V413	0.04762	0.51286	0.18962	0.24989
V414	0.01987	0.53491	0.33252	0.1127
V415	0.45131	0.03019	0.23297	0.28552
V416	0	0.11315	0.88685	0
V417	0.38569	0.6116	0	0.00271
V418	0.08228	0.11473	0.15604	0.64695
V419	0.04864	0	0.06449	0.88687
V420	0	0.90432	0.01372	0.08196
V421	0.14199	0.06782	0.67932	0.11086
V422	0.07917	0.06478	0.01417	0.84188
V423	0.05528	0.05234	0.86189	0.03049
V424	0	0.07841	0.62858	0.29301
V425	0.03624	0.27638	0.58889	0.09849
V426	0.06919	0.08002	0.78292	0.06787
V427	0.0604	0.42694	0.20004	0.31262
V428	0.08838	0.77674	0.05814	0.07674
V429	0.04402	0	0.07159	0.88439
V430	0.75564	0.16403	0	0.08033
V431	0.1767	0.03828	0.46422	0.3208
V432	0.13041	0.0964	0.05601	0.71719
V433	0.05429	0.75179	0	0.19392
V434	0.36077	0.07576	0.04774	0.51573
V435	0.52862	0	0.11839	0.35299
V436	0.40564	0	0.11851	0.47585
V437	0.24806	0.23726	0	0.51468
V438	0.61749	0.16453	0.01376	0.20423
V439	0.05836	0.10405	0.01076	0.82682
V440	0.51296	0.0273	0.01952	0.44022
V441	0.04823	0.16569	0.6002	0.18588
V442	0.31246	0.36123	0.13384	0.19247
V443	0.76061	0	0.07201	0.16738
V444	0	0.06937	0.93063	0
V445	0.61416	0.02067	0.33299	0.03219
V446	0.03184	0.83615	0.06257	0.06944
V447	0.62473	0.10064	0.17063	0.10401
V448	0.01798	0.07522	0.21309	0.69371
V449	0.55831	0.04689	0.29206	0.10275
V450	0.14152	0.84968	0.0088	0
V451	0.93143	0.0239	0	0.04467
V452	0.06139	0.00102	0.09694	0.84065
V453	0.81154	0.07003	0.05085	0.06758
V454	0	0.92939	0.05551	0.0151
V455	0.59799	0.03738	0.29766	0.06697
V456	0.31745	0.14423	0.38088	0.15744
V457	0.00121	0.03699	0.04173	0.92007
V458	0.28266	0.23471	0	0.48263
V459	0.00568	0.80591	0.10256	0.08585
V460	0.94756	0	0.01178	0.04066
V461	0.09595	0.03615	0.01713	0.85077
V462	0.35957	0.2435	0	0.39693
V463	0.24687	0.49069	0.15834	0.10411
V464	0.52734	0.08732	0	0.38534
V465	0.4049	0.44045	0.011	0.14365
V466	0.5915	0.18015	0	0.22835
V467	0.31394	0.57721	0.07801	0.03083
V468	0.49802	0.40967	0.04011	0.0522
V469	0.00146	0.20758	0.30535	0.48561
V470	0.5417	0.13448	0.17498	0.14884
V471	0.29116	0.11146	0.02946	0.56793
V472	0.33103	0.3334	0	0.33557
V473	0.09264	0.56547	0.33476	0.00713
