Symbol	A	B	C	D	E	F	G	H	I	J	K	L
LOC100129354	16.023735	46.711494	72.954338	17.469059	34.997234	70.127121	58.546745	9.889353	33.800575	63.759415	38.205799	36.925121
TSGA10	102.827477	139.827789	166.062103	161.724609	159.719986	74.304962	14.725038	17.577394	17.831612	194.692276	195.383102	163.901047
ZFP57	77.005234	29.467052	61.750465	11.362052	64.480812	32.56665	72.440056	78.910133	32.722031	62.021023	32.729343	29.977497
TSGA14	252.782776	291.10434	399.14563	400.085358	537.175232	289.158691	168.317474	187.012238	75.039261	366.164459	687.289185	280.092255
PRKD1	7.83161	5.135743	30.408112	10.772076	15.368841	13.082024	8.13101	4.087862	17.67635	6.368993	6.33631	12.891997
LOC100129359	29.791153	32.608482	9.800664	7.067864	13.17059	9.857149	12.966694	19.704321	24.219328	14.18172	3.820153	9.10373
IGSF21	1.658858	6.038403	1.425975	16.710857	1.743969	5.575377	4.573719	7.680784	5.822858	8.554563	2.307902	2.168849
HRSP12	344.431122	358.100159	487.404907	492.629791	415.190552	342.846069	332.320953	368.679138	370.107239	450.399811	527.314087	483.437347
LOC728026	342.058167	311.977142	309.481567	367.050629	341.923096	327.49881	317.707153	366.164459	369.675842	358.430084	502.893127	394.204926
LOC728027	59.198742	45.592445	14.031343	39.437572	28.810207	11.611635	87.030212	31.977118	22.199789	28.825861	11.203305	32.016247
LOC728024	125.092941	136.306976	123.763664	132.631943	103.486916	141.111359	107.901443	114.438698	105.315376	122.726898	135.490295	141.212463
ADIPOQ	128.203094	56.952763	137.349823	110.387871	96.528633	95.53244	32.493763	35.619396	79.44075	151.096588	73.919121	98.881866
CRBN	2369.53833	2388.27002	3375.35083	3861.304199	3129.799805	3201.27002	2137.598877	2106.839844	2118.570557	3918.900879	2945.480225	3731.125977
SNORD109A	9.915092	59.642391	35.243114	8.743278	9.029404	16.945326	13.74098	24.374821	7.425822	22.592772	11.124387	11.16853
SNORD109B	83.883514	20.850374	25.640188	18.955418	65.65786	23.506523	9.407834	50.088577	31.41424	114.631935	49.302734	106.639977
LOC145783	155.213318	55.344666	42.309589	78.088387	49.967232	120.721924	49.967232	64.17305	148.35585	41.216194	46.81934	130.642166
JRKL	20.11204	17.850134	66.092697	36.421021	25.767284	31.145267	13.045271	31.976503	22.28413	28.812469	29.852028	61.775108
MUC2	112.605019	79.045479	13.310381	32.649368	56.839901	32.207638	99.651939	16.097788	99.98687	24.092249	49.606251	23.572098
MUC1	178.389481	191.913101	337.272491	354.480682	202.852295	33.183029	150.803223	171.257416	166.860901	435.473328	244.119415	524.441223
CRB1	79.824989	91.685173	67.999458	62.520966	83.379906	101.066864	112.090034	142.461319	70.538162	140.755737	126.075233	21.81601
MUC6	116.254288	127.116112	85.930038	86.005234	120.498772	138.882751	154.810898	167.503265	78.521606	48.976929	166.988815	79.323799
CRB3	171.517822	138.887955	250.866516	231.231735	216.033051	148.956604	107.568192	118.496216	103.920532	270.69519	230.79805	258.300415
CRB2	51.045837	16.772642	6.600663	4.19405	14.981976	11.820535	4.556667	24.899937	14.740728	15.54679	12.602672	6.628287
LOC100128757	26.608496	22.158104	66.486977	64.265457	26.686661	7.019604	33.23661	9.107373	22.141834	118.497253	27.706949	18.571434
LOC100128750	130.722244	58.31551	115.153275	80.963921	53.792191	53.07806	94.628975	135.815491	43.112331	23.625349	55.647129	145.805771
LOC375010	16.07963	42.846027	27.241808	26.579926	11.817467	10.282948	10.5425	15.438842	18.18836	53.706612	1.761755	10.625433
DEFB109	19.738218	3.660313	5.382822	6.356822	3.865955	9.996683	4.702072	7.819065	16.902348	7.023173	20.157476	9.085608
LOC441666	48.105385	67.982819	86.882286	96.637909	77.863899	39.848221	37.337933	40.809826	59.409313	133.983246	92.522369	99.323997
LOC148003	8.165174	17.777966	88.960686	23.594208	8.49786	52.575466	14.806523	68.618515	46.67165	49.265137	28.288918	7.226392
PHKG1	8.388453	55.934334	102.174698	61.895664	120.639465	29.343531	51.315742	52.565018	52.014355	62.786301	16.784285	56.529087
LOC441662	106.107338	62.534645	52.168194	60.945793	45.290253	48.408287	13.082359	29.047174	11.402812	37.862743	20.64847	54.117729
TSG101	1778.769653	1983.545288	1323.880493	1387.833008	1569.53418	2106.593506	2020.322266	2095.939209	2369.53833	1339.570557	1804.15271	1529.559448
OR5AY1	11.644049	12.012353	5.356752	12.25584	19.587513	28.251062	32.340168	11.737017	10.556048	30.869875	72.65477	8.910363
LOC440132	12.312281	35.043896	80.577965	16.396143	60.228779	64.243607	22.992659	17.537893	13.536273	26.651669	81.430534	44.392139
LOC440131	130.099838	118.362106	210.142776	200.294357	136.167526	114.847923	104.018745	146.461136	154.524323	189.928726	134.660782	159.953186
SNORA70C	113.13121	126.744934	87.218872	98.147713	116.160309	75.780289	16.511795	121.946091	105.573769	108.497208	42.902241	103.009415
FLJ33630	152.106796	173.402893	219.227158	234.964676	224.985397	154.169632	156.572327	191.347427	158.935577	214.31546	256.537903	217.084702
DNASE1L2	8.884241	7.352332	5.357968	6.11243	12.754679	5.822858	8.992332	10.650458	11.028466	11.691367	6.90617	16.927961
DNASE1L3	145.876358	135.96936	55.043095	63.790222	21.718327	6.045753	212.023361	45.601627	103.284668	26.914995	36.295631	414.796753
LOC654096	52.067001	31.976768	85.311905	38.895172	17.180735	52.063396	50.091713	94.164955	62.302731	29.300333	54.867191	119.372345
LOC642249	41.410034	28.074055	57.817493	131.137726	48.711056	76.698524	63.278561	10.772076	106.466194	55.666641	79.857048	38.771744
LOC642248	16.511795	34.641502	40.010624	24.239384	42.940086	6.418647	10.250374	110.917297	33.828468	8.878945	9.372854	16.131138
LOC85389	186.729691	183.3255	233.567719	198.773788	219.627487	248.298325	58.066929	122.868874	132.056168	233.246246	256.710205	204.766678
LOC642245	94.279953	80.308159	10.64028	32.108891	7.644655	25.606421	10.84731	42.5854	13.152385	10.273234	23.120186	12.739978
LOC642244	13.815986	24.004799	18.827192	16.437937	32.198769	14.602031	15.769453	12.436039	8.58698	15.443282	55.060181	24.97311
HPDL	14.106993	13.843594	3.866557	31.130777	28.112806	30.414682	18.544268	33.166519	4.937701	59.647217	55.017429	8.445978
LOC642243	95.357513	116.466583	48.254002	114.038757	56.560677	133.925629	146.195572	161.910339	75.506874	138.372025	112.604317	123.988693
ZEB2	623.587524	573.464722	218.289063	198.798859	450.49765	887.257751	868.261597	1190.556152	1187.562256	123.604401	408.487091	194.19072
FLJ22662	6977.162109	6318.84375	611.662842	615.977051	1760.838257	3025.260742	8936.503906	10846.707031	11009.293945	95.123917	37.366985	408.547089
LOC729645	16.801104	20.721657	34.127396	43.450565	4.394775	41.529572	26.151604	22.501574	29.764345	13.372565	38.695251	113.154938
LOC729647	17.719585	62.071262	50.264572	40.69075	78.58403	99.593018	89.410782	13.067003	37.050781	64.115135	17.981537	44.097134
LOC729646	811.256653	634.370972	947.317993	1099.580811	826.594788	761.66626	1086.911987	897.252625	839.926941	1001.572571	1344.312378	1295.16333
LOC729643	13.107868	91.227333	14.725296	56.595409	22.376755	18.444927	85.424835	10.561548	22.743786	29.920116	23.525284	19.051071
