Symbol,MSC,Bronchial_Epithelial_cells,Fibroblasts,Endothelial_cells,Adipocytes,Keratinocytes,Schwann_cells,Smooth_muscle_cells,CD34+,Platelets,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,Macrophage,M1(IFNg),M2(IL-4),M(IFNa),Dendritic_cells_(BDCA1+),Dendritic_cells_(BDCA3+),Dendritic_cells_(plasmacytoid+),T_cells_(CD4+),T_cells_(CD8+),T_cells_(gamma-delta),NK_cells,Neutrophils,B_cells
FAM91A2,11.5,10.5,10.125,10.54545455,9.333333333,11.66666667,8.333333333,16.2,10.83333333,18.6,16.4375,12.33333333,10.45454545,11.5,11.6,10.66666667,11.58333333,11,10.16666667,34.90909091,36,10,17.08333333,29.2,27
FAM92A1,388.125,117.5,444.25,428,625,26.33333333,323.6666667,496.8,113.8333333,21,30.6875,21.83333333,97.54545455,188.125,64.2,98,19.58333333,36.5,15,23.40909091,23.19230769,34,18,17,27
FAM96A,746.75,917,954.75,1592.272727,893.3333333,932,890.6666667,906.6,1488,1052.2,2461.0625,2151.5,4989.636364,4301.75,3056.8,4116,1905.083333,1885.833333,2685.166667,982.6363636,922.4230769,2347,608.0833333,725.6,2598
FAM96B,1033,1035.5,1187.125,1364,1094.333333,1080.333333,2277.333333,1297.8,754.1666667,208.4,1047.8125,1018.833333,1063.181818,913.25,1104.6,1633.333333,1113.833333,985.75,1327,817.7727273,1198.038462,1945,1275.75,348.2,831
FAM98A,1703.25,310.5,1489.75,1557.545455,1397,1080,1292,1171.2,511.8333333,286.4,138.8125,120,564.7272727,441.5,630.8,522.3333333,224,206.25,321,297.2272727,206.1153846,502,403.4166667,48,126.75
FAM98B,170,121,193.625,295.0909091,109.6666667,76,128.6666667,106.6,346.1666667,58.4,82.9375,97,179.4545455,103,84.4,241.6666667,48.16666667,73.08333333,49.33333333,179.2272727,56.76923077,217,412.3333333,28.2,16.75
FAM98C,106,461.5,174.5,133.1818182,142.3333333,230,135.6666667,198.2,68.66666667,66.6,181.75,298.5,106.6363636,86.875,82.6,87.66666667,161.75,147.6666667,125.1666667,398.6363636,126.5384615,268,346.3333333,167,67.5
FAM9A,11.375,10.5,9.5,9.909090909,9,10.66666667,9.333333333,10.6,9.833333333,11.2,10.875,11.66666667,10.81818182,11.375,9.8,10.33333333,10.25,10.75,10.16666667,10.72727273,9.884615385,11,12,14.4,10.25
FAM9B,10.375,10,8.875,9.636363636,8.666666667,9.333333333,8,9.2,8.166666667,10.2,9.375,9.166666667,8.454545455,8.625,8.6,8.666666667,9.166666667,8.833333333,9.5,9.045454545,8.769230769,9,8.833333333,9.6,8.5
FAM9C,18.25,13,13.75,15,15.66666667,12.66666667,14.33333333,16.8,13.16666667,14.2,14.8125,16,15.72727273,14.75,15,23,18.16666667,15.75,15,13.04545455,12.84615385,14.5,16.41666667,15.4,13.25
FANCA,44,60.5,69.125,132.2727273,36.66666667,42.66666667,105.6666667,55.6,104.8333333,53.4,128.625,165.3333333,164.3636364,252.75,119.4,153.6666667,114.5,112.75,46.16666667,61.5,56.88461538,148.5,78.41666667,129.4,82.25
FANCB,14.75,16,16.75,18.81818182,10.66666667,11.33333333,29.33333333,11,16.66666667,19.4,15.875,14.66666667,14.09090909,13,11.8,16.66666667,13.33333333,12.66666667,15,13.81818182,14.53846154,25,15,14.6,16
FANCC,77.375,60,60.625,78.72727273,56,56.66666667,57.33333333,67.4,63.83333333,64,62.125,62.16666667,60.90909091,60.625,64.6,54,56.41666667,59.25,66.33333333,66.22727273,65.26923077,78,71.91666667,52,63.25
FANCD2,7.875,13.5,10,10.09090909,8.333333333,10,9,9.8,20.33333333,9.4,17.875,12.33333333,9.818181818,10,9.8,10.66666667,11.08333333,9.833333333,10.33333333,14.45454545,24.69230769,11,11.5,13.4,25.25
FANCE,99.875,154,147.875,128.3636364,88.66666667,296.6666667,117.3333333,93,124.5,116.2,78.5625,89.66666667,364.6363636,281.875,140.8,244,80.66666667,79.58333333,65,104.3181818,66.26923077,176,58.25,57.4,71.75
FANCF,73.25,96.5,114.875,140.5454545,65.33333333,64,164.3333333,100,97.16666667,54.4,99,83,89.54545455,113.375,82,100,75.33333333,81.5,92.16666667,128.6818182,124.7307692,217,103.3333333,46.4,212.5
FANCG,77.75,169.5,171.75,266.2727273,82.66666667,104.6666667,276.3333333,145,354,175.2,56.6875,79.66666667,115.0909091,88.625,140.8,91.66666667,138,182.4166667,164.8333333,146.4090909,102.3461538,531,93.41666667,64.2,82.75
FANCI,41.125,59.5,181.75,334.5454545,55,78.33333333,325,32.6,571.5,53.2,31.25,44.83333333,98.36363636,54.875,23,104.6666667,49.25,67.33333333,108.5,71.95454545,40.88461538,799.5,109.5,22.8,25.25
FANCL,77.25,122,202.625,246.8181818,125,132.6666667,211.3333333,271.8,674.1666667,72,69.1875,87.16666667,156.3636364,103.5,171.8,138.6666667,211.9166667,228.0833333,380.8333333,41.63636364,37.38461538,276,91.08333333,15,97.5
FANCM,30.375,26.5,43,95.72727273,48.33333333,28.33333333,77.66666667,33.6,53,48,31.875,33.33333333,44.54545455,35.375,36,39.33333333,44.75,46,146.8333333,50.09090909,60.42307692,111,55.16666667,21.8,44.5
FANK1,91.625,53,177.375,33.72727273,48,61,57.33333333,92.2,35.83333333,59,26,25.66666667,21.36363636,24.5,20.2,22.66666667,23.66666667,22.91666667,19.83333333,37.40909091,27.11538462,17.5,15.83333333,32.4,35.25
FAP,1624.5,23,2032.875,88.09090909,232.3333333,18.33333333,407.6666667,2213,19.33333333,23.6,24.125,18.5,17.90909091,20.875,14.4,21.33333333,17.33333333,17.83333333,16.66666667,17.68181818,24,18.5,22.91666667,23.2,34.75
FAR1,225.875,443.5,484.75,356.0909091,327,99.33333333,314,242.8,231.8333333,149.4,498.625,350.8333333,594.9090909,843.5,802.6,443.3333333,530.4166667,533.6666667,315.1666667,146.6818182,222.6153846,342.5,361.5833333,871.4,48
FAR2,59,38.5,117.875,918.9090909,265.6666667,31.33333333,31.66666667,47.4,248.6666667,95.6,327.1875,100.8333333,464.4545455,506.625,1152.2,419.3333333,23.25,151.9166667,18.33333333,77.59090909,58.53846154,452.5,18.75,1175.8,39.75
FARP1,301.25,172,517.625,224.6363636,187,72.33333333,417.6666667,230.6,55.5,65.8,78.6875,63.33333333,112.3636364,71,285.4,99.33333333,48,62,49.16666667,53.72727273,70.76923077,59.5,40.08333333,92.2,100
FARP2,42,93.5,69.625,52.54545455,83.33333333,152,138,67.4,40.33333333,33.4,38.25,43.33333333,47.18181818,65,49.6,43,73.75,153.9166667,145.3333333,42.90909091,40.69230769,29.5,49.33333333,36.2,54
FARS2,117.75,208,224.25,274.9090909,255,203.3333333,192.3333333,191,292.1666667,270.6,183.6875,225.3333333,212.3636364,168.125,157,175.6666667,393.1666667,1077.166667,281.3333333,234.9545455,86,446,245.75,34.4,128.5
FARSA,137.625,226,330.5,462.7272727,316,264,527.3333333,218.4,154.6666667,40.8,187.0625,204.1666667,386.4545455,442.25,387.4,206,269.5833333,291.25,188.6666667,181.5909091,69.15384615,570,62,67.2,78.5
FARSB,732.75,428,715.625,1185.545455,1092,1029.666667,952.6666667,723.6,1327.5,281.6,465.8125,341.3333333,657.7272727,578,476.2,659,801.25,828.5833333,811.1666667,560.3636364,657.1923077,727,192.1666667,116,918.5
FAS,498.25,184,565.625,90.63636364,313.3333333,132.3333333,61.33333333,510,101.8333333,183.8,318.8125,343.8333333,177.1818182,305.125,540.8,597,244.4166667,93.41666667,190.3333333,488.8181818,380.4615385,1538.5,256.6666667,2177.2,75.75
FASLG,20.5,29,24.25,27.09090909,29.33333333,26.66666667,23.33333333,24.4,23.83333333,70.4,33.625,36.16666667,35.18181818,40.625,27,39.33333333,32.08333333,27.25,29.33333333,32.77272727,103.9615385,647,72.83333333,44.6,31.75
FASN,131.75,5469.5,338,448.2727273,7668.333333,1295,661.6666667,146.6,95.66666667,72.6,106.375,138.6666667,267.0909091,239.5,419.8,310,101.5,118.3333333,95.83333333,324.9090909,103.6538462,383,127.9166667,69.8,86.25
FASTK,284,249.5,320.875,335.3636364,356,377.3333333,392.3333333,320.2,155,194.2,221.3125,285.5,287.3636364,280.875,366.2,236.3333333,293.9166667,297,331.8333333,356.4090909,168.3461538,268,216.9166667,105.6,119.25
FASTKD1,209.25,97,244.125,377.6363636,477.6666667,253,284.3333333,188.4,736.5,339,239.0625,152,576.8181818,537.625,724,365,601.5833333,461.9166667,754.5,310.6363636,161.5769231,455.5,132.25,31.6,140.25
FASTKD2,228.75,135.5,328.875,399.8181818,404.6666667,314,250.3333333,313.2,219.5,62.4,191.75,144.6666667,299.0909091,355.625,307.4,320,200.9166667,187.5833333,263.5,212.7727273,327.9615385,286,272,30.8,213.75
FASTKD3,159.375,85,264.625,271.7272727,201.6666667,167,143.3333333,151.8,330.1666667,196,276.1875,207.8333333,239,244.5,303.8,283.6666667,231.6666667,242.25,274,260.0909091,417.6538462,482.5,476.25,29.8,196.75
FASTKD5,127.5,207.5,244.5,288.1818182,286,465,190,115,286.3333333,391.6,232.625,280.6666667,319.1818182,420.875,303.6,334,556,655.25,418.1666667,294.8181818,321.0384615,330.5,803.75,395.4,169.25
FAT1,657.75,341.5,1472.625,98.63636364,547.6666667,974,643,548,17.16666667,22.6,20,16.83333333,16.27272727,15.25,16,18,14.58333333,15,15.66666667,15.54545455,19.80769231,16,15.75,20,18
FAT2,31.375,274.5,29.875,33.27272727,37.66666667,296,29,31.4,30.83333333,45.2,34.625,35.5,32.09090909,32.75,35,36.66666667,36.41666667,35.33333333,34,30.36363636,34.53846154,27,33.83333333,48.2,44.75
FAT3,15.375,15,92.75,19.63636364,13.66666667,13.66666667,23,12.4,22.5,21.4,18.875,17,11.45454545,12.5,12.4,13.33333333,14.33333333,15.75,13.83333333,14.54545455,19.07692308,13.5,13.16666667,16.8,25.5
FAT4,43.5,11.5,119.5,90.81818182,60.66666667,10,12.66666667,227.6,22,10.8,10.0625,10,9.272727273,9.375,8.8,8.333333333,9.916666667,8.416666667,9.166666667,10.04545455,11.11538462,9.5,36.08333333,10.2,11.25
FATE1,60.25,46.5,33,43.45454545,43.33333333,48,45.66666667,49.8,55.5,64.2,45.3125,45.16666667,49.54545455,55,45.2,48.33333333,57.33333333,55.25,51.33333333,37.22727273,43.30769231,42.5,50.58333333,51,57.5
FAU,2993.25,5700,5442.5,6112.909091,5319.333333,5523.333333,4725.333333,6482.8,7789.166667,2597.2,8673.1875,8283.833333,4541.909091,3972.875,4799.2,6153.666667,8529.5,8425.666667,8495.666667,9595.727273,10742.03846,7536.5,12201.58333,3710.6,9118
FBF1,108.625,65,46.5,54.27272727,57.33333333,91,45.66666667,43.8,62.66666667,68,57.3125,59.83333333,59,55.125,55.2,48,49.16666667,50.91666667,53.66666667,115.9090909,62.57692308,73.5,84.83333333,74.8,82.25
FBL,668.625,1493.5,936.5,1988.363636,981.6666667,1199.333333,1119.333333,1122.6,2854.166667,957,776.3125,806.8333333,576.7272727,590.375,669.2,795.3333333,2656.416667,2719.25,2143,2736.727273,1502.269231,2619,2379.166667,129.2,734.25
FBLIM1,116.5,148.5,85,198.7272727,73.33333333,107.3333333,58,82.8,54.83333333,58,72.875,72.33333333,54,53.25,50.8,60,58.16666667,61.5,56.5,59.72727273,62.03846154,46,52.58333333,69.8,84
FBLL1,44.75,33,36.875,43.27272727,68,30,49.33333333,49.2,29,65.2,45,44.66666667,43.72727273,45.375,43.2,68.66666667,59.66666667,57.16666667,60.83333333,29.27272727,34.19230769,36.5,57.08333333,59.8,45.25
FBLN1,825.875,341.5,2413.25,19.72727273,1220.666667,17,70.33333333,3237.6,13.33333333,14,16.1875,18.16666667,12.81818182,13.125,11.8,17.66666667,15.16666667,14.5,15.33333333,14.31818182,15.61538462,13.5,14.33333333,15.6,16.75
FBLN2,134.25,30,1322.25,57,166,41.33333333,932.3333333,751.8,36.5,53,45.75,40.83333333,35.45454545,38.25,31.6,34,239.25,168.4166667,61.33333333,31.09090909,44.42307692,31.5,47,62.4,65.75
FBLN5,1022.25,38.5,2452.625,562.2727273,182.3333333,44,173.6666667,1526,43.33333333,43.8,40.3125,47.5,50.81818182,42.75,33,58.33333333,23.33333333,23.08333333,24.5,294,119.8461538,95.5,25.58333333,48.6,50.75
FBLN7,76.25,39,82.5,47.72727273,121.3333333,35.66666667,31.66666667,54,39,73.6,40.8125,37.66666667,40.36363636,51.125,27.8,41.33333333,36.25,38.25,45.66666667,172.9090909,52.80769231,30,21.33333333,43,47.25
FBN1,6770.875,24,5865.375,948.0909091,2901.333333,18,1270.333333,5855.2,187.8333333,18.6,17.1875,17,18.18181818,17.625,20.8,21,20.16666667,45.83333333,29,17.77272727,19.61538462,20.5,25.25,23.2,19.25
FBN2,72.5,74.5,1117.375,620.7272727,269.3333333,169.3333333,31.66666667,166.4,38.83333333,21.6,216.375,55,27.72727273,42.5,29.8,26,40.5,16,13.16666667,14.04545455,17.11538462,12.5,15,25.4,18.25
FBN3,52.375,46,36.625,42.09090909,36.66666667,49.66666667,38,45.6,53.33333333,53,60.125,57.66666667,43.09090909,46.125,44.6,42.66666667,51,41.08333333,41.66666667,43.40909091,55.96153846,43.5,39.83333333,68.4,59.25
FBP1,49.875,122.5,48.625,60.90909091,52.66666667,163.6666667,37.66666667,49.4,100.8333333,76.8,719.9375,1138.5,7565.363636,6879.75,7545,6365,1368.166667,745.5833333,483.8333333,94.27272727,56.65384615,42.5,207.4166667,248.8,62.75
FBP2,41.625,43.5,36.125,43,45,38.66666667,30,46.8,31.33333333,57.2,41.875,44.66666667,40.72727273,44.25,45.4,45.33333333,38,37.91666667,35.83333333,32.45454545,36.11538462,35.5,46.5,40.8,36.75
FBRS,148,202.5,141.25,178.4545455,151,247.3333333,187.6666667,140,62.5,174.8,190.625,229,158.1818182,166.875,199.4,190.6666667,170.3333333,154.9166667,148.3333333,258.8636364,185.9230769,274.5,292.0833333,401.8,198.75
FBRSL1,73.375,263.5,146.875,241.7272727,105.6666667,371,117,81,130.5,146.8,252.0625,468.3333333,158.9090909,146.75,290.4,169.3333333,254.1666667,222.0833333,266.8333333,551.9545455,206.1153846,213,361.25,159.6,99.25
FBXL12,219.25,207,438.375,311.2727273,359,177.3333333,287.6666667,371.4,230.6666667,163.6,343.1875,368.3333333,277.5454545,285.625,305.4,335,418.5,325.5,369.1666667,314.2272727,325.7692308,263,817.75,282.8,250.25
FBXL13,13.125,10.5,9.75,12.09090909,10,9.333333333,11,171.6,9.833333333,9.6,9.5625,10.16666667,9.909090909,9.5,9.2,9.333333333,9.666666667,9.583333333,9,9.5,10.42307692,9,9.583333333,10.2,12
FBXL14,108.125,260.5,167.625,298,147.3333333,87,147,142.6,218.6666667,244.2,250.5,342.6666667,264.5454545,267.125,314,323.3333333,363.5833333,265.5,379,862.9545455,336.0384615,614.5,984.75,100.8,85.25
FBXL15,80,109,125.625,123.4545455,130,83.66666667,139,90,111.5,33.8,149.5,179.3333333,167.1818182,143.875,181,157.3333333,373.9166667,286.75,241.3333333,157.9090909,46.65384615,205,460,60.6,39.25
FBXL16,47,179.5,57.75,103.0909091,45,305.6666667,40.33333333,73.4,71.16666667,276.6,122.3125,110.3333333,98.09090909,109.125,116.8,70,52,52.5,40.66666667,1354.363636,180.3076923,191.5,50.58333333,68.4,109.25
FBXL17,93.875,135,224.75,122.9090909,257.6666667,77.33333333,159.3333333,98.6,194,326.4,126.25,131.5,156,134,199,134.6666667,141.0833333,191.75,207.8333333,214.5,96.76923077,119,474,83,98.5
FBXL18,208.625,383,148.5,215.1818182,203.6666667,302.3333333,137.6666667,262.4,209.6666667,191.4,265.5,328,246.9090909,237.75,235.8,260.6666667,113.75,125.5,115.8333333,229.5909091,217.1153846,187.5,192.4166667,203.8,195
FBXL19,85.125,202,133.625,176.2727273,99.33333333,201.3333333,131.6666667,108.8,65.5,123.6,123.5625,128.5,105.6363636,104.25,132.2,178,145.6666667,138.3333333,125.3333333,90.63636364,82.88461538,153,76.75,137,111.25
FBXL2,147.125,81.5,94.625,164.0909091,98.33333333,43,205,119.4,39.33333333,20.4,29.4375,20.33333333,29.27272727,26.5,19.2,27.66666667,21.66666667,25.25,23.33333333,31.45454545,54.92307692,18.5,15.58333333,30.8,50
FBXL20,62.25,82.5,157.125,96.27272727,122.3333333,520,143.3333333,84.4,122.1666667,61.4,48.3125,42.5,95,54.5,96.4,57,57.5,72.75,46.83333333,38.77272727,29.03846154,76.5,21.41666667,148.8,27.25
FBXL21,9,8.5,8.625,8.818181818,9,7,8.666666667,9.6,7.333333333,9.6,8.25,8.333333333,7.636363636,7.75,7.6,8.666666667,9.75,8.916666667,9,7.409090909,7.846153846,8,9.25,9,8.25
FBXL22,19.375,13,19.25,10.90909091,21.66666667,10,10,16.4,11.16666667,10.8,11.3125,11,12.63636364,13,12.8,12.66666667,12.16666667,11.41666667,12.83333333,10.04545455,11.69230769,11.5,13,10.6,10
FBXL3,62.5,22.5,73.875,88.18181818,98.33333333,113,124.6666667,210,719.5,448,171.125,271,168.6363636,206.75,147.2,118,351.1666667,352.5833333,649.3333333,461.8181818,423.0384615,111,811.5,344.6,190
FBXL4,104.25,48,179,86.18181818,133.3333333,66,177.3333333,98.8,73,142,79,65.5,91.90909091,74.625,105,51.33333333,55.25,59.41666667,95.83333333,75.27272727,57.26923077,103,46.08333333,92.2,51.25
FBXL5,1746.125,626.5,814.375,697.2727273,905.3333333,683.3333333,362.6666667,1061.8,1120,1169.8,3252.6875,2627.5,1154,1653,1021.2,847.3333333,1381.333333,1029.416667,811.1666667,1233.318182,822.7692308,945.5,1494.583333,4462.4,511
FBXL6,58.625,78.5,72.625,88.90909091,67.66666667,53.66666667,118,59.4,38.66666667,36.2,83.375,126.3333333,82.54545455,77.875,157.6,94,110.0833333,100.4166667,89.5,84.31818182,48.07692308,161,69.83333333,56.2,45
FBXL7,270.125,140.5,347.5,313.7272727,195,36.66666667,251,380.2,37.66666667,21.4,36.125,32.83333333,26.09090909,28.25,26.6,27,26.58333333,32.83333333,29,28.95454545,35.73076923,28.5,28.25,36.4,41
FBXL8,55.875,69,47.25,35.45454545,42.66666667,29.66666667,51,37.4,22.33333333,38.4,37.375,36,35.81818182,36.375,38.6,37.66666667,57.41666667,51,50.66666667,105.7727273,25.76923077,95,34.66666667,33.8,26
FBXO10,17.5,18.5,13.75,14.72727273,18.33333333,37,22,14,12.83333333,12.4,15.375,15,16.18181818,14.25,16,16.33333333,12.33333333,12.83333333,14,14.27272727,14.03846154,12,13.41666667,12.8,15.75
FBXO11,112.5,72,261.375,304.0909091,216.6666667,172,130.6666667,342,417.6666667,675.8,263.0625,369.6666667,307.6363636,275.875,294.2,163,403.9166667,394.9166667,363.8333333,403.1363636,403.0769231,281.5,527.0833333,518.8,156.75
FBXO15,45.5,41,34.625,33.54545455,41,30.33333333,41.66666667,51.8,60.83333333,62.8,36.4375,37,193.7272727,113.375,65.6,247.6666667,44.33333333,36.58333333,42.16666667,54.13636364,43.88461538,29.5,35.58333333,43.8,51.75
FBXO16,28.5,29,16,16.72727273,23.33333333,25,40.33333333,22,18.66666667,15.2,15.9375,16,17.90909091,14.75,14.8,19.66666667,16.75,22.91666667,33,14.95454545,16.69230769,16.5,13.25,13.8,18.75
FBXO18,261.25,168,248.75,294.6363636,307.3333333,228,255.3333333,241.4,138.5,85,164.6875,182.8333333,173.1818182,170.375,168.8,133.3333333,213.0833333,253.4166667,367.6666667,235.7272727,129.8846154,163,227.9166667,165.4,125.5
FBXO2,23.625,21,18,22.36363636,22,15.33333333,16,24.8,17.16666667,19.2,24.5,25,20,22.75,21,27.66666667,23.91666667,22.25,20,18.36363636,22.11538462,21.5,19.91666667,23,20.25
FBXO21,52.5,21,30,37.90909091,33.33333333,30,38.33333333,36.6,28.33333333,47.6,28.1875,28.66666667,30.45454545,30.625,31.8,34,40.91666667,40.25,40.16666667,31.04545455,34.57692308,34,67.25,32.8,36.75
FBXO22,147.5,95,183.625,192.5454545,175.6666667,166,132,157.2,33.16666667,25.6,52.875,44.5,77,78.875,106,80,47.25,51.16666667,57,39.45454545,40.88461538,191,33.91666667,43.2,50.25
FBXO24,36.5,31,33.75,34.54545455,34.33333333,29.33333333,44,40.2,27.83333333,42.2,36.375,34.5,35.72727273,33.25,31,34.66666667,54.41666667,42.5,44.66666667,32.72727273,29.65384615,34,38,39.4,32.75
FBXO25,264.125,379,442.625,272.6363636,449.6666667,441.3333333,379.3333333,349.6,215.1666667,147.8,239.6875,302.1666667,337.9090909,290,381.6,327.6666667,415.5,440.25,256.6666667,351,283.9615385,342,507.1666667,87.6,146.5
FBXO27,26.25,102.5,24,27.72727273,37.33333333,75.33333333,31.33333333,31.8,33.5,29.8,39.125,30.5,27.54545455,27,26.4,34,29.75,34.75,26.5,31.68181818,37.65384615,26.5,22.58333333,34.8,49.25
FBXO28,481.25,338.5,413.875,542.3636364,408.6666667,954.3333333,695,355,486,128.2,219.1875,200.3333333,481.7272727,510.5,313.8,363.6666667,236.3333333,218,199.1666667,204.7727273,155.7307692,491.5,260.5833333,306.4,115
FBXO3,13.5,24,15.5,13.18181818,12.66666667,27.66666667,13,14.4,13.5,14.4,15.1875,13.33333333,14.18181818,13.5,12,17.66666667,12.25,12.16666667,13,18.13636364,26.80769231,17.5,17.58333333,14.4,16.25
FBXO30,608.125,196.5,568.25,477.8181818,593.6666667,350,429,374,233.5,106.8,166,142.3333333,410.2727273,422.25,299,401.6666667,190.75,208.9166667,152.3333333,145.5454545,134.6153846,327,85.66666667,249.4,87.5
FBXO31,113.125,143.5,155.5,150.3636364,211,117.3333333,145,191.4,186.5,99,183.0625,197.8333333,138.6363636,119.625,153,149.6666667,175.0833333,195.0833333,149.3333333,151.4545455,151.3076923,133,126.5,113.4,213.25
FBXO32,694.625,605,317.25,97.27272727,132,47,630,605.6,36.66666667,44,38.9375,42.66666667,66.54545455,52.875,58.4,49,27.25,28.58333333,27.83333333,126.1363636,123.2692308,68.5,274.9166667,32,28.75
FBXO33,78.875,92,258.625,140.4545455,258.6666667,233.3333333,127.6666667,102,482.8333333,283.2,392.4375,798.6666667,214.9090909,157.125,380.2,207,612,521,308.3333333,377.7272727,683.3461538,258,1975.833333,1216.6,100.75
FBXO34,306.375,870.5,542.25,433.9090909,293.6666667,452.3333333,520.3333333,407.4,553.8333333,626.8,448.875,488,543.6363636,493.625,473,569.6666667,511,673.3333333,377,579.6363636,610.5384615,798.5,863.8333333,598,320
FBXO36,41.625,53.5,41.5,36,51.66666667,37,63.66666667,33.8,27,38.6,28.625,30.33333333,30.27272727,31,29,30.33333333,23.91666667,28.5,22.5,26.36363636,37.53846154,29,26.58333333,27.4,34
FBXO38,235,254,385.75,384,273.3333333,401.3333333,190.6666667,359,502.1666667,611.8,273.25,428.6666667,638.1818182,453.75,341.6,458,286,274.5833333,414.8333333,448.4545455,372.1153846,355,278.5833333,603.8,179
FBXO39,28.125,27.5,22.5,24.36363636,22.33333333,27,24,24,22.33333333,26.4,32.625,30.16666667,22.45454545,22.875,23.2,19.66666667,23,22.25,22,25.77272727,28.15384615,21.5,23,29.4,30.75
FBXO4,61.875,65.5,165.5,75.27272727,120.3333333,39.66666667,111.6666667,94.2,205.5,107.8,59.9375,104.5,100.4545455,78.875,96.8,76.33333333,189.0833333,193.75,188.8333333,98.22727273,44.38461538,166,68.58333333,22.8,58.25
FBXO40,45.25,44,32.25,34.72727273,41.66666667,48,42,34.4,35.5,49,50.6875,46.33333333,36.18181818,37.375,36.2,36,43.75,36.41666667,42.5,41.22727273,46.92307692,34.5,38.5,45.4,59.75
FBXO41,53.625,61,60.125,45.54545455,31.33333333,64,33.66666667,46.4,130.8333333,106.4,130.4375,229.3333333,105.5454545,104.125,107.4,96,306.3333333,323,310,137.1818182,86.23076923,147.5,252.1666667,57,108
FBXO42,109.125,148,151,140.7272727,225.6666667,250.3333333,141,135.2,250,213.6,209.5625,234,172.0909091,167.75,158,165,412.1666667,466.3333333,331,346.7272727,414.1153846,181.5,339.4166667,339,197.25
FBXO43,34.5,35.5,30.625,38.54545455,25,28,44.33333333,29,70.5,47.2,39.6875,32.66666667,31.54545455,27.25,25.4,33,30.25,30.08333333,36,34.95454545,46.69230769,59,29.25,32.8,46
FBXO44,90.625,57,76,74.81818182,94.66666667,76,107.3333333,90.2,45.83333333,99.2,77.5,73.83333333,68.81818182,67.375,70.4,79,86.33333333,71.5,72.33333333,108.3181818,71.03846154,93,64.66666667,79.6,92
FBXO45,124.75,164,298,337,201,1920,242.6666667,125.2,549.8333333,171.8,243.5,216.8333333,285.8181818,246.625,289.8,263,390.8333333,467.5833333,357.6666667,197.8181818,211.4230769,491.5,729.6666667,111.4,148.75
FBXO46,48.875,187,130.625,134.9090909,143,149.3333333,88,123,124.5,251,133.75,130.6666667,100,103.625,93.8,89.33333333,87.66666667,87.75,63.66666667,264.4545455,145.6538462,213,319.6666667,153.8,106.5
FBXO5,69.375,63.5,190.25,286.6363636,60.33333333,50,313,60,124.3333333,47.6,57.6875,84.5,99.72727273,77.125,71.8,59.33333333,77.5,77.83333333,84.5,91.22727273,77.84615385,869,324.5833333,31.8,80.75
FBXO6,71.375,350.5,176.875,81.36363636,124,113,69,74.4,74.5,69.2,433.75,703.3333333,531.0909091,1911,293.4,750.6666667,632.75,371,329.6666667,98.77272727,68.03846154,1483,472.6666667,140.2,58.75
FBXO7,802.5,1057,1060.75,996.2727273,790,674.6666667,2363.666667,821,932.1666667,1702.6,964.4375,1056.833333,1137.636364,1426,1124.6,1390,1161.333333,1332.333333,992.6666667,1061,1267.807692,1286,2090.5,573.4,842.25
FBXO8,232.875,251,346.5,205.0909091,494.3333333,257,443.3333333,313,163.3333333,204,134.6875,158,304,309.5,238,191.3333333,122,108,223,200.6818182,200.2692308,317.5,186.5833333,131.2,101.25
FBXO9,1210.375,764.5,2109.125,840.6363636,1860.666667,1143.666667,774.3333333,1042.6,1740.333333,3784.2,906.375,1030,927.2727273,884.375,1688.2,879.3333333,2391.5,2409.833333,2160,1678.818182,417.0384615,931,861.1666667,288.2,96.75
FBXW10,32.375,61.5,23.875,35,30.33333333,34,26,32.4,57,36,36.875,37.5,35.63636364,35.25,33.4,55.33333333,38.5,40.75,29,38.95454545,52.34615385,28,22.91666667,32.4,43.5
FBXW11,431.25,506,790.875,570.5454545,573.6666667,438.3333333,654.6666667,567.6,339.3333333,394.4,316.5,499.6666667,855.3636364,655.375,569,570,489.6666667,468.5,652.1666667,324.1818182,168.2307692,404.5,272.1666667,225.8,164
FBXW12,14.25,21.5,13.875,16.81818182,16,22.66666667,16,17.2,22.83333333,27.8,23.75,22.16666667,18,20,18.2,19,16,16.66666667,15.83333333,21.18181818,21.80769231,16.5,20.91666667,24,31
FBXW2,425,633.5,605,586.3636364,575.6666667,840,427,542.4,520.1666667,1115.4,445.875,393.6666667,652.6363636,530.875,897.4,413.3333333,692.75,790.8333333,1034.666667,991.8636364,364.0384615,930.5,521.6666667,555.2,262
FBXW4,178,343.5,237.375,143.0909091,207.3333333,198.3333333,278.3333333,211.2,130.3333333,153.6,127.375,166.1666667,166.1818182,163.875,175.4,201.3333333,280,343.3333333,535.6666667,404.7272727,344.7307692,271.5,526.1666667,86.6,187.25
FBXW5,233.625,301.5,353.125,272.9090909,351.6666667,279.3333333,353,240.4,123.5,137,274.5,328.8333333,318,362.625,436.6,359.3333333,389.9166667,442.3333333,439.6666667,309.3181818,143.7307692,358.5,312.5833333,178,163.25
FBXW7,67.875,122,157.625,88.72727273,79.33333333,208.6666667,115.3333333,85.8,116.3333333,67.4,205,224.5,100.0909091,97.125,82.8,88.33333333,84.5,82.66666667,72.66666667,182.4090909,270.3076923,190.5,479.4166667,311.8,144.5
