Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-ImmunoStates	CD4 T Cells	C	0.59929	0.828	0.22871	0.0523082641
Cibersort-ImmunoStates	CD8 T Cells	C	0.09539	0.102	0.00661	4.36921e-05
Cibersort-ImmunoStates	B Cells	D	0.00806	0.005	0.00306	9.3636e-06
Cibersort-ImmunoStates	Monocytes	D	0.03717	0.01	0.02717	0.0007382089
Cibersort-ImmunoStates	NK	D	0.21234	0.051	0.16134	0.0260305956
Cibersort-ImmunoStates	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-ImmunoStates	CD4 T Cells	D	0.5716	0.828	0.2564	0.06574096
Cibersort-ImmunoStates	CD8 T Cells	D	0.10027	0.102	0.00173	2.9929e-06
Cibersort-ImmunoStates	B Cells	E	0.01674	0.01	0.00674	4.54276e-05
Cibersort-ImmunoStates	Monocytes	E	0.096	0.026	0.07	0.0049
Cibersort-ImmunoStates	NK	E	0.27761	0.104	0.17361	0.0301404321
Cibersort-ImmunoStates	Neutrophils	E	0.0	0.008	0.008	6.4e-05
Cibersort-ImmunoStates	CD4 T Cells	E	0.13552	0.005	0.13052	0.0170354704
Cibersort-ImmunoStates	CD8 T Cells	E	0.35571	0.846	0.49029	0.2403842841
Cibersort-ImmunoStates	B Cells	F	0.01373	0.027	0.01327	0.0001760929
Cibersort-ImmunoStates	Monocytes	F	0.12371	0.055	0.06871	0.0047210641
Cibersort-ImmunoStates	NK	F	0.59287	0.885	0.29213	0.0853399369
Cibersort-ImmunoStates	Neutrophils	F	0.00709	0.017	0.00991	9.82081e-05
Cibersort-ImmunoStates	CD4 T Cells	F	0.0701	0.011	0.0591	0.00349281
Cibersort-ImmunoStates	CD8 T Cells	F	0.05135	0.005	0.04635	0.0021483225
Cibersort-ImmunoStates	B Cells	G	0.09132	0.159	0.06768	0.0045805824
Cibersort-ImmunoStates	Monocytes	G	0.4284	0.319	0.1094	0.01196836
Cibersort-ImmunoStates	NK	G	0.0	0.016	0.016	0.000256
Cibersort-ImmunoStates	Neutrophils	G	0.12097	0.395	0.27403	0.0750924409
Cibersort-ImmunoStates	CD4 T Cells	G	0.04395	0.08	0.03605	0.0012996025
Cibersort-ImmunoStates	CD8 T Cells	G	0.06821	0.032	0.03621	0.0013111641
Cibersort-ImmunoStates	B Cells	H	0.05994	0.1	0.04006	0.0016048036
Cibersort-ImmunoStates	Monocytes	H	0.64497	0.813	0.16803	0.0282340809
Cibersort-ImmunoStates	NK	H	0.0	0.01	0.01	0.0001
Cibersort-ImmunoStates	Neutrophils	H	0.0	0.001	0.001	1e-06
Cibersort-ImmunoStates	CD4 T Cells	H	0.06536	0.05	0.01536	0.0002359296
