Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Decon-HPCA	NK	HD31PBMC3	0.0263	0.049	0.0227	0.00051529
Decon-HPCA	T Cells	HD31PBMC7	0.34983	0.636	0.28617	0.0818932689
Decon-HPCA	Monocytes	HD31PBMC7	0.29792	0.144	0.15392	0.0236913664
Decon-HPCA	B Cells	HD31PBMC7	0.22765	0.097	0.13065	0.0170694225
Decon-HPCA	NK	HD31PBMC7	0.03949	0.036	0.00349	1.21801e-05
Decon-ImmunoStates	T Cells	HD30PBMC0	0.16288	0.514	0.35112	0.1232852544
Decon-ImmunoStates	Monocytes	HD30PBMC0	0.63031	0.155	0.47531	0.2259195961
Decon-ImmunoStates	B Cells	HD30PBMC0	0.14395	0.043	0.10095	0.0101909025
Decon-ImmunoStates	NK	HD30PBMC0	0.06287	0.178	0.11513	0.0132549169
Decon-ImmunoStates	T Cells	HD30PBMC1	0.12724	0.457	0.32976	0.1087416576
Decon-ImmunoStates	Monocytes	HD30PBMC1	0.75209	0.214	0.53809	0.2895408481
Decon-ImmunoStates	B Cells	HD30PBMC1	0.10936	0.048	0.06136	0.0037650496
Decon-ImmunoStates	NK	HD30PBMC1	0.01131	0.168	0.15669	0.0245517561
Decon-ImmunoStates	T Cells	HD30PBMC3	0.22128	0.58	0.35872	0.1286800384
Decon-ImmunoStates	Monocytes	HD30PBMC3	0.53825	0.153	0.38525	0.1484175625
Decon-ImmunoStates	B Cells	HD30PBMC3	0.16105	0.042	0.11905	0.0141729025
Decon-ImmunoStates	NK	HD30PBMC3	0.07942	0.148	0.06858	0.0047032164
Decon-ImmunoStates	T Cells	HD30PBMC7	0.22957	0.578	0.34843	0.1214034649
Decon-ImmunoStates	Monocytes	HD30PBMC7	0.52034	0.135	0.38534	0.1484869156
Decon-ImmunoStates	B Cells	HD30PBMC7	0.17406	0.066	0.10806	0.0116769636
Decon-ImmunoStates	NK	HD30PBMC7	0.07602	0.132	0.05598	0.0031337604
Decon-ImmunoStates	T Cells	HD31PBMC0	0.17357	0.59	0.41643	0.1734139449
Decon-ImmunoStates	Monocytes	HD31PBMC0	0.56338	0.181	0.38238	0.1462144644
Decon-ImmunoStates	B Cells	HD31PBMC0	0.19057	0.091	0.09957	0.0099141849
Decon-ImmunoStates	NK	HD31PBMC0	0.07248	0.045	0.02748	0.0007551504
Decon-ImmunoStates	T Cells	HD31PBMC1	0.19088	0.623	0.43212	0.1867276944
Decon-ImmunoStates	Monocytes	HD31PBMC1	0.518	0.17	0.348	0.121104
Decon-ImmunoStates	B Cells	HD31PBMC1	0.20477	0.093	0.11177	0.0124925329
Decon-ImmunoStates	NK	HD31PBMC1	0.08635	0.034	0.05235	0.0027405225
Decon-ImmunoStates	T Cells	HD31PBMC3	0.20604	0.654	0.44796	0.2006681616
Decon-ImmunoStates	Monocytes	HD31PBMC3	0.57413	0.175	0.39913	0.1593047569
