"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"CMTM1",33.767721,37.027225,27.583504,24.078649,25.623844,23.921881,22.127616,25.180324,23.863225,32.092225
"CMTM2",141.229456,26.163225,42.601729,26.9361,26.5225,21.5296,22.695696,30.294016,22.174681,73.376356
"CMTM3",54.0225,66.324736,59.938564,58.690921,55.190041,52.867441,38.825361,48.930025,59.29,47.803396
"CMTM4",27.164944,25.080064,33.977241,28.654609,24.413481,44.528929,44.235801,33.028009,37.736449,29.278921
"CMTM5",37.994896,32.512804,40.347904,31.990336,32.455809,29.408929,27.730756,40.717161,29.517489,96.530625
"CMTM6",70.3921,56.415121,61.842496,57.653649,49.815364,48.344209,50.608996,49.126081,52.896529,54.361129
"CMTM7",59.228416,53.846244,67.387681,67.010596,74.666881,43.283241,42.7716,63.760225,67.535524,47.761921
"CMTM8",31.393609,23.580736,29.822521,29.8116,57.6081,24.790441,47.100769,41.229241,54.508689,25.999801
"CMYA5",26.183689,22.043025,23.5225,23.7169,23.145721,25.351225,26.152996,21.949225,21.5296,23.299929
"CN5H6.4",19.1844,18.130564,18.905104,18.931201,19.070689,17.7241,17.884441,18.284176,17.875984,24.078649
"CNBD1",12.8881,11.209104,11.923209,12.243001,11.868025,11.115556,11.316496,11.992369,10.916416,12.089529
"CNBP",104.775696,97.0225,98.982601,94.264681,103.612041,90.897156,102.981904,97.318225,91.221601,69.3889
"CNDP1",26.501904,17.7241,21.353641,22.024249,21.473956,18.386944,18.292729,18.809569,17.447329,28.890625
"CNDP2",42.5104,50.154724,51.955264,58.339044,50.922496,45.859984,50.253921,50.9796,50.424201,49.491225
"CNFN",24.098281,20.802721,25.553025,23.990404,21.799561,24.000201,99.102025,23.6196,25.220484,31.259281
"CNGA1",24.334489,18.7489,23.174596,24.1081,21.538881,20.376196,30.393169,21.566736,20.657025,23.648769
"CNGA3",12.895281,11.343424,12.348196,12.397441,12.020089,12.8164,11.336689,12.006225,11.215801,13.667809
"CNGA4",17.783089,15.713296,16.982641,17.189316,17.455684,16.621929,16.4836,17.859076,17.363889,19.492225
"CNGB1",21.949225,21.613201,22.005481,21.040569,20.720704,20.620681,21.141604,20.775364,19.855936,25.080064
"CNGB3",13.439556,13.920361,13.823524,13.920361,13.191424,13.388281,13.300609,13.6161,13.293316,15.3664
"CNIH",58.384881,105.411289,103.042801,103.693489,102.6169,115.756081,105.411289,103.083409,112.699456,71.944324
"CNIH2",42.981136,42.627841,46.662561,43.626025,42.968025,45.576001,42.055225,44.395569,40.462321,54.848836
"CNIH3",12.866569,13.571856,13.300609,33.884041,15.155449,33.154564,14.417209,14.546596,15.178816,19.105641
"CNIH4",55.547209,58.568409,58.323769,60.202081,53.7289,62.964225,64.496961,52.5625,62.204769,34.951744
"CNKSR1",25.836889,24.720784,26.7289,24.930049,29.550096,24.453025,50.665924,29.116816,23.2324,32.194276
"CNKSR2",15.7609,14.791716,14.032516,13.823524,20.223009,15.642025,13.682601,15.657849,12.737761,16.900321
"CNKSR3",21.492496,20.133169,20.205025,24.354225,19.316025,37.527876,43.007364,39.212644,51.6961,24.980004
"CNN1",26.708224,25.583364,25.623844,24.492601,25.553025,65.869456,27.730756,25.3009,26.357956,35.224225
"CNN2",104.775696,93.760489,79.655625,64,78.375609,100.360324,73.925604,65.334889,79.798489,63.027721
"CNN3",16.184529,13.808656,16.556761,16.232841,18.524416,97.081609,59.336209,27.751824,110.061081,19.900521
"CNNM1",21.855625,18.369796,20.394256,20.820969,19.166884,22.024249,21.224449,19.236996,18.9225,23.648769
"CNNM2",26.9361,32.8329,29.138404,28.697449,30.349081,29.571844,29.181604,31.427236,30.239001,30.393169
"CNNM3",60.388441,59.567524,47.969476,46.621584,58.507201,45.1584,46.812964,51.480625,56.370064,32.775625
"CNNM4",40.170244,39.955041,43.2964,48.149721,37.015056,37.271025,48.413764,45.751696,35.247969,34.527376
"CNO",43.917129,69.288976,55.0564,53.085796,67.930564,61.230625,55.875625,52.9984,60.140025,28.483569
"CNOT1",60.699681,77.316849,63.536841,63.600625,64.754209,58.690921,65.755881,63.297936,63.744256,47.761921
"CNOT10",52.475536,70.3921,50.651689,49.084036,58.767556,51.883209,56.896849,67.617729,57.1536,35.964009
"CNOT2",42.876304,43.099225,44.475561,41.525136,46.335249,42.172036,46.212804,48.233025,40.921609,43.309561
"CNOT3",30.085225,37.027225,25.7049,24.2064,25.786084,30.758116,29.4849,23.415921,31.315216,23.309584
"CNOT4",28.912129,30.0304,30.184036,28.697449,30.118144,29.582721,29.3764,28.440889,27.751824,24.740676
"CNOT6",56.565441,77.827684,64.432729,62.220544,72.522256,54.997056,75.916369,76.860289,69.822736,65.999376
"CNOT6L",37.564641,40.271716,35.224225,32.160241,41.770369,26.842761,30.129121,33.895684,38.700841,30.3601
"CNOT7",52.591504,66.178225,57.471561,55.011889,69.422224,58.782889,60.793209,68.574961,69.655716,48.846121
"CNOT8",76.475025,76.230361,75.707401,63.744256,78.712384,67.420521,59.228416,71.7409,73.222249,51.940849
"CNP",40.780996,53.29,50.6944,51.279921,50.922496,57.108249,53.217025,52.620516,55.591936,47.706649
"CNPY1",12.830724,12.852225,12.6025,12.411529,12.222016,12.559936,12.773476,12.766329,12.215025,15.256836
"CNPY2",31.629376,65.885689,49.098049,53.348416,56.205009,61.7796,56.295009,59.166864,64.272289,34.1056
"CNPY3",66.357316,49.308484,64.304361,48.205249,49.056016,42.9025,32.455809,50.993881,45.077796,48.413764
"CNPY4",39.627025,44.4889,43.099225,39.879225,46.635241,49.294441,38.180041,40.615129,45.954841,51.036736
"CNR1",19.395216,16.81,17.614809,17.969121,16.949689,16.5649,16.016004,16.516096,15.768841,16.703569
"CNR2",46.321636,37.957921,37.884025,38.576521,36.421225,34.000561,32.684089,32.913169,34.4569,38.900169
"CNRIP1",27.604516,20.232004,31.270464,50.481025,25.482304,94.692361,24.8004,82.156096,112.444816,33.1776
"CNST",39.664804,44.662489,40.424164,36.433296,51.279921,47.914084,44.448889,54.893281,40.564161,76.090729
"CNTD1",29.041321,25.1001,26.574025,27.510025,26.863489,25.452025,23.746129,25.999801,25.2004,30.415225
"CNTD2",50.580544,49.674304,50.9796,47.087044,47.3344,46.799281,46.430596,44.3556,45.738169,47.858724
"CNTFR",40.081561,39.275289,36.893476,37.051569,35.5216,36.6025,35.034561,34.128964,36.324729,46.635241
