gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
GHR	11.512449	12.759184	11.4244	11.3569	34.035556	37.368769	37.711881	11.6281	11.655396	11.553201	12.054784	13.8384	19.838116	12.852225	123.187801	10.909809	11.068929	11.950849	11.195716	12.152196	45.657049
GIMAP1	22.619536	31.416025	26.9361	19.954089	17.522596	17.7241	75.359761	34.821801	52.200625	56.535361	26.429881	21.114025	41.7316	24.6016	51.825601	76.300225	77.880625	65.983129	41.165056	67.289209	61.387225
GIMAP2	55.771024	76.230361	62.5681	16.695396	17.297281	18.455616	72.607441	69.239041	77.951241	98.089216	51.868804	47.3344	79.014321	17.288964	61.168041	108.118404	113.337316	100.6009	97.871449	104.693824	86.229796
GIMAP5	39.8161	47.169424	53.304601	42.562576	37.711881	38.105929	104.4484	64.866916	70.829056	80.496784	55.980324	46.457856	70.610409	69.739201	81.775849	112.084569	111.5136	98.188281	78.996544	89.699841	97.891236
GIMAP7	18.861649	33.663204	28.387584	10.569001	11.594025	12.362256	75.777025	32.3761	60.855601	103.205281	32.706961	16.064064	78.163281	12.702096	86.694721	111.0916	110.944089	94.536729	57.395776	91.2025	84.989961
GJA1	12.7449	24.940036	14.243076	13.682601	135.862336	143.640225	121.484484	13.741849	12.047841	14.653584	11.861136	13.995081	34.727449	12.666481	110.145025	11.9025	12.794929	13.5424	19.820304	11.229201	154.7536
GJB2	13.454224	15.705369	45.900625	13.169641	13.653025	124.746561	18.249984	48.818169	29.844369	13.162384	28.376929	20.857489	16.908544	17.598025	14.032516	14.561856	17.023876	14.661241	12.489156	12.852225	14.737921
GJB6	14.653584	15.8404	13.905441	14.478025	12.902464	112.635769	16.0	18.957316	15.499969	15.397776	67.223601	16.532356	17.214201	19.660356	12.830724	18.809569	28.965924	21.576025	12.208036	44.970436	13.147876
GK5	16.305444	18.241441	15.824484	19.580625	18.524416	22.061809	17.572864	16.638241	19.642624	39.000025	15.3664	12.967201	14.010049	11.519236	22.127616	17.833729	18.198756	22.429696	22.9441	17.280649	15.578809
GLT1D1	28.3024	32.273761	41.550916	38.975049	30.4704	30.724849	25.563136	46.812964	73.2736	33.767721	112.699456	39.639616	33.443089	55.9504	31.967716	33.258289	31.9225	31.6969	28.633201	26.894596	32.182929
