Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
TNFRSF13B	28.812832	23.391291	26.532515	31.513506	42.298241	27.903774	22.042309	11.812012	23.614336	35.513618	36.996227	26.998066	18.112009	17.990255	375.271942	19.468847	143.426468	26.170534	170.333893	23.498703
TNFRSF25	25.308821	30.688305	273.328735	52.962521	54.508545	143.426468	18.229898	14.927616	10.596711	64.368958	37.646557	16.643427	15.414994	20.501995	20.178867	24.417809	22.13479	22.042309	19.558275	27.673843
TNNI2	27.903774	55.130535	16.975634	12.850965	21.653194	13.931892	15.619143	50.208652	19.160997	9.181261	29.139278	79.399162	29.75654	36.996227	19.160997	31.229664	18.112009	47.398479	14.13267	117.313843
TOMM22	90.182289	193.870102	149.063263	149.063263	91.284546	124.126831	149.063263	92.680656	21.503334	110.154976	143.426468	67.627823	101.992607	105.168152	163.1707	243.949341	115.355324	39.954044	122.015579	60.340691
TOMM34	57.691223	71.420731	101.992607	58.582626	35.240398	82.502571	117.313843	131.738464	57.106258	122.015579	99.472412	90.182289	90.182289	86.296898	64.368958	424.066406	90.182289	54.508545	143.426468	77.238762
TRAF3IP2	30.535194	15.753381	50.710217	30.688305	38.9128	41.440552	29.565622	67.627823	42.780045	31.680347	31.937752	28.096432	43.324879	27.352167	66.105049	39.279461	85.041138	30.969177	22.400589	21.503334
TRAK1	57.106258	80.29747	57.106258	68.344315	82.502571	63.405144	43.65892	83.578552	64.368958	52.109005	71.420731	83.578552	73.572762	80.29747	134.657242	99.472412	176.582184	46.962059	87.639282	37.380245
TRAT1	10.596711	13.931892	293.394714	29.309015	17.990255	188.055313	5.551838	88.529335	23.860415	198.738663	9.181261	18.112009	15.527487	13.002691	9.748645	17.259283	7.650875	26.337246	14.587454	45.686771
TREM1	182.220596	88.529335	24.575848	25.834925	18.453339	23.498703	22.13479	20.753363	39.954044	15.619143	35.920647	17.4568	47.972385	32.345612	24.303902	60.340691	41.055653	3825.404785	29.75654	27.153866
TREML2	27.352167	32.975945	24.666662	25.308821	18.945938	26.170534	29.139278	53.523853	78.17527	31.937752	29.565622	18.229898	24.417809	27.673843	41.949062	21.254532	67.627823	120.032059	31.937752	29.75654
TRIB1	99.472412	127.059723	77.238762	26.998066	38.128716	35.240398	129.484024	145.858078	793.726746	41.440552	35.240398	85.041138	203.580429	313.591827	44.500584	330.502472	34.082596	103.535278	950.926147	198.738663
TSPAN7	9.748645	15.287424	13.583591	9.532182	16.539188	13.583591	17.896976	14.695355	23.993692	29.00341	40.255306	9.532182	12.117452	38.128716	12.117452	16.18446	13.239426	21.153776	55.130535	15.287424
TUBB6	70.662674	42.298241	31.513506	29.139278	48.388988	36.996227	243.949341	27.352167	28.679478	37.380245	193.870102	103.535278	129.484024	163.1707	94.463287	193.870102	57.691223	17.990255	66.105049	193.870102
TULP2	22.785128	29.309015	18.572136	10.845968	23.860415	16.539188	19.468847	12.411798	20.935862	23.391291	19.750544	31.680347	9.748645	12.117452	26.757652	13.12596	48.388988	28.096432	26.757652	45.065201
TYRO3	18.945938	13.12596	16.796598	14.695355	13.716675	15.619143	22.967094	18.453339	10.371782	19.671268	18.572136	23.391291	21.399233	20.362188	14.695355	15.884336	20.178867	14.695355	22.862003	36.660488
UBE2J1	107.397041	261.633698	117.313843	122.015579	170.333893	110.154976	143.426468	261.633698	139.456406	90.182289	176.582184	76.026848	145.858078	145.858078	353.902588	170.333893	188.055313	97.926567	424.066406	122.015579
ULK2	29.972618	64.368958	31.680347	46.223537	65.056778	36.24918	25.051746	41.949062	29.75654	28.679478	25.834925	17.796587	32.975945	33.249577	22.13479	36.660488	18.641182	20.501995	16.643427	24.922846
WEE1	16.293543	17.051916	43.65892	51.621704	53.523853	65.056778	158.446075	77.238762	120.032059	101.992607	127.059723	23.993692	26.170534	23.391291	182.220596	32.682171	77.238762	32.682171	40.255306	19.558275
YTHDF3	112.568771	99.472412	127.059723	124.126831	569.837585	120.032059	137.642548	134.657242	203.580429	182.220596	137.642548	127.059723	74.89193	88.529335	131.738464	143.426468	105.168152	167.175339	69.894371	85.041138
ZC3H12A	66.105049	52.962521	103.535278	137.642548	94.463287	115.355324	68.344315	143.426468	32.345612	103.535278	31.513506	94.463287	176.582184	103.535278	85.041138	101.992607	110.154976	176.582184	145.858078	48.388988
ZDHHC13	22.862003	26.170534	48.738468	50.710217	51.621704	66.657135	58.582626	48.388988	176.582184	52.576218	30.535194	25.834925	34.082596	32.975945	52.962521	45.065201	53.523853	36.996227	34.949799	31.513506
ZNF180	35.240398	27.903774	36.24918	27.551815	49.547104	28.679478	51.621704	16.089027	53.523853	56.056652	40.624195	41.440552	13.002691	12.850965	30.230354	20.058748	27.673843	29.75654	16.089027	11.564937
ZNF189	52.576218	30.230354	50.208652	56.056652	44.500584	49.547104	90.182289	70.662674	66.105049	96.398735	149.063263	52.962521	41.055653	43.324879	56.056652	52.962521	58.582626	56.056652	62.770859	34.949799
ZNF34	32.975945	53.523853	34.082596	45.686771	37.646557	41.055653	29.00341	90.182289	14.370027	40.255306	33.756168	59.57922	31.937752	43.65892	28.096432	40.624195	29.75654	25.993835	25.308821	16.18446
ZNF552	26.532515	25.993835	39.279461	39.954044	46.223537	57.106258	33.249577	39.620373	261.633698	33.756168	25.051746	21.503334	21.153776	20.837421	57.106258	24.666662	62.770859	23.614336	29.00341	30.688305
ZNF593	43.115932	92.680656	83.578552	38.559151	52.576218	81.318825	94.463287	61.806778	12.117452	79.399162	73.572762	65.056778	88.529335	82.502571	61.806778	87.639282	52.109005	18.229898	131.738464	69.894371
