Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
CD22	2485.99585	1693.549072	24.367363	36.951077	61.775917	55.651569	44.20126	53.465744	113.605453	55.088787	36.951077	31.815218	31.305862	208.457199	64.264938	249.221298	208.457199	41.216347	386.983765	183.180893	67.699944	54.10239
CD244	69.171471	48.985622	35.938824	480.992065	227.854782	72.005432	28.306686	144.098297	75.96167	863.071533	2131.202637	1639.325928	882.021362	26.411583	51.687199	88.074013	29.827385	18.057825	109.458176	32.014259	2899.61084	42.260494
CD247	29.609581	64.674812	79.628654	4480.145508	6649.14209	6649.14209	3422.434814	4602.986328	11181.758789	6649.14209	13809.623047	9980.5625	35.938824	28.720709	29.609581	75.96167	56.086121	34.533569	138.674103	91.486671	351.045685	45.139194
CD27	362.228546	3422.434814	8650.460938	4287.536133	4287.536133	4602.986328	1384.61438	5103.837402	7878.514648	1800.605835	161.496582	130.110428	155.725891	114.302994	138.674103	133.538162	168.917679	123.377251	132.276779	77.739517	356.891388	211.234772
CD28	168.917679	161.496582	178.360687	428.31076	598.707947	845.849182	3812.246826	1116.786987	1423.656982	408.711609	67.159706	69.867012	80.563194	85.15728	67.699944	227.854782	111.349533	75.96167	62.195011	69.171471	56.972141	118.833199
CD300A	39.051083	83.058502	116.30175	574.789612	244.041504	402.207336	61.775917	54.597343	74.767288	1749.887451	4287.536133	4000.241211	2485.99585	1018.714722	206.69809	1693.549072	72.005432	26.926359	1384.61438	1089.345947	2814.357666	2899.61084
CD33	32.014259	19.48814	36.239407	21.306353	18.242476	14.805666	13.265934	18.057825	41.8694	101.174423	11.669181	13.785949	1693.549072	587.608154	244.041504	587.608154	1042.466675	15.491729	1453.447876	863.071533	22.363804	30.682217
CD37	16311.804688	13809.623047	1384.61438	3422.434814	3688.758057	5103.837402	973.252869	3070.837891	4856.819824	1453.447876	2413.373291	1493.347534	6308.292969	2131.202637	351.045685	2413.373291	611.586426	111.349533	1423.656982	1137.147827	2335.307861	2002.147705
CD38	574.789612	767.913879	11181.758789	288.690521	356.891388	224.949539	611.586426	1018.714722	611.586426	154.459473	1331.744507	908.754883	258.329712	113.605453	7360.620605	670.676941	81.148239	2814.357666	1493.347534	1453.447876	198.334778	271.723083
CD3D	107.673134	157.021622	101.174423	26056.392578	26056.392578	16311.804688	12117.945313	26056.392578	16311.804688	9980.5625	224.949539	279.228943	81.148239	95.813484	28.306686	12.901111	139.854202	151.624985	36.239407	10.217774	647.52655	162.813156
CD3E	1068.119873	826.968384	2335.307861	4856.819824	4000.241211	7878.514648	4856.819824	2602.697266	5335.622559	1331.744507	371.260681	402.207336	247.349472	275.834808	172.26033	188.412186	284.818665	299.240509	157.021622	110.304306	294.972473	565.239502
CD3G	67.699944	93.013641	39.051083	2335.307861	3422.434814	2899.61084	1493.347534	2053.601563	1137.147827	882.021362	227.854782	115.362389	32.286087	41.8694	22.766867	16.254467	36.239407	43.391136	16.093626	13.415968	75.96167	108.613419
CD4	139.854202	120.953827	521.508789	164.080719	2992.81665	4000.241211	2485.99585	3812.246826	5567.321289	271.723083	68.661942	73.92701	4480.145508	767.913879	1301.4021	12117.945313	1639.325928	574.789612	267.591217	247.349472	111.349533	256.268402
CD40	1331.744507	1493.347534	1493.347534	190.540955	155.725891	194.70517	178.360687	151.624985	275.834808	181.495316	138.674103	230.845993	327.613647	1639.325928	8650.460938	685.294067	1959.947876	4602.986328	117.881424	398.577698	136.846527	188.412186
CD40LG	76.996414	63.809605	43.391136	183.180893	611.586426	754.863159	721.179749	767.913879	21.435146	327.613647	24.949003	52.564182	26.710436	38.010654	28.968689	32.809681	24.367363	16.732615	13.785949	17.060171	22.583956	41.651775
CD5	437.052521	190.540955	738.010559	738.010559	1493.347534	1603.361206	1042.466675	1155.484375	3688.758057	398.577698	247.349472	224.949539	356.891388	371.260681	294.972473	206.69809	422.879303	291.78714	208.457199	198.334778	196.333496	146.713455
CD6	89.328087	97.222992	371.260681	1384.61438	973.252869	3070.837891	4602.986328	1493.347534	1959.947876	239.578339	565.239502	415.04068	93.755974	120.953827	137.760452	83.058502	127.967445	101.174423	36.951077	36.239407	224.949539	105.440369
CD68	3.80092	8.42998	9.669431	51.687199	22.171141	19.332794	34.127953	32.286087	16.55789	66.465591	81.803818	13.50417	826.968384	2335.307861	622.792786	3070.837891	1516.823242	565.239502	200.623703	204.177948	25.940304	30.369345
CD69	6308.292969	4480.145508	158.557175	2746.701172	4602.986328	7360.620605	1301.4021	5890.337891	447.613739	3422.434814	2053.601563	4287.536133	69.867012	42.260494	61.775917	29.609581	51.303722	79.628654	622.792786	1603.361206	6649.14209	294.972473
