Symbol	A	B	C	D	E	F	G	H	I	J	K	L
CETN2	195.486053	192.323669	203.535355	205.214371	209.853867	203.124664	175.12999	185.184402	189.424179	200.890335	209.895767	209.387985
CETN1	27.347851	16.125961	18.946848	13.591738	27.946007	35.427258	28.349648	35.474007	16.862743	35.065998	49.195892	23.666813
LTC4S	27.043602	32.922073	36.756809	41.159512	27.041048	28.090273	29.699949	29.605967	20.141348	24.382727	24.331354	25.691545
PCLO	16.828424	11.285681	20.63765	19.684145	18.076986	32.643414	24.991983	24.508657	17.100861	22.074791	19.104433	12.609114
UCK1	41.248192	48.108944	45.162098	50.836143	44.867939	50.154266	52.598064	44.374821	52.468082	47.030716	45.315022	50.39291
UCK2	63.490326	61.604164	43.181351	51.990593	58.455368	72.652184	70.353424	77.836716	82.867798	58.668205	46.039631	54.401253
PHRF1	187.655182	175.962036	192.306946	182.634125	184.953247	205.137573	178.933365	173.368256	175.362015	193.186661	180.254913	191.347458
LOC653904	23.856159	29.092594	28.288481	32.154442	23.4846	33.180931	33.294514	19.977058	17.337421	30.354265	41.341244	26.652569
LOC653905	15.139215	14.385622	15.49315	16.409676	26.425762	25.833614	13.729677	14.26527	20.770428	25.282475	23.385277	26.303728
LOC653907	47.033695	35.458286	30.069433	30.537077	20.521574	26.650301	45.539101	47.261341	55.750481	35.006554	20.562037	27.932892
FSIP2	28.883989	24.023195	18.874001	28.065832	25.194437	31.111416	19.340363	19.42042	30.682215	31.528879	32.624783	25.97036
FSIP1	33.898624	36.128048	45.337872	18.041546	25.352346	42.748653	32.841251	21.254885	40.249996	24.500608	17.240108	45.443859
DNAJC8	436.96994	425.008575	447.117462	448.251312	439.270111	482.422333	371.608704	375.10025	369.019318	428.021667	388.476013	430.424377
DNAJC9	172.525864	170.741272	216.123672	215.755844	211.822098	201.828674	121.566238	103.332932	105.041527	216.083939	210.045898	229.106552
DNAJC4	148.223282	142.762238	128.525818	130.798965	138.928986	123.593513	148.992432	168.984436	167.431137	135.901505	134.992706	129.376495
DNAJC5	67.675812	68.467117	64.648369	66.128708	68.806389	69.664902	78.095917	81.789986	81.206421	66.947601	70.486481	69.780228
DNAJC6	20.059778	17.153538	29.485415	20.493681	17.260056	21.408346	20.746534	26.144051	17.794262	18.085857	20.781254	21.046518
DNAJC7	129.72963	137.986176	123.012329	129.207687	134.682907	123.788528	118.440758	160.352875	148.420135	131.435379	134.204102	137.234116
DNAJC1	20.6479	29.382832	24.653336	19.609512	41.914139	47.52803	31.560032	31.393217	31.947048	27.56551	45.545769	35.59341
DNAJC2	15.628683	18.590511	13.352235	9.119144	22.48687	17.395071	25.754818	16.917982	24.757368	25.973219	21.143141	19.296747
