gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
ACAA1	607.0	701.625	1024.0	485.5	415.799988	626.377869	715.150879	823.25	706.776428	405.094757	839.0	591.0	544.5	534.840088	562.875	700.326782	353.614807	584.333313	992.200012	757.97998	578.799988
ACAA2	477.875	937.821045	1102.168091	148.5	630.0	379.0	419.333344	546.63446	403.833344	189.5	474.200012	468.0	452.0	396.974274	250.399994	327.666656	449.0	307.333344	407.399994	814.333313	498.308228
ACACA	207.25	271.397186	260.399994	281.0	324.0	270.25	225.199997	219.0	232.090912	298.576935	149.0	221.636368	108.166664	225.0	243.875	192.800003	130.5	330.166656	82.400002	323.666656	164.399994
ACACB	122.800003	152.0	627.208496	143.333328	101.666664	77.5	219.25	374.583344	109.5	109.333336	128.875	176.0	73.5	219.192307	87.0	204.545456	183.125046	96.430328	111.198814	384.0	75.0
ACAD10	41.75	37.333332	52.666668	37.833332	38.0	44.46154	34.25	58.400002	41.0	45.1875	33.0	33.727272	41.0	37.0	41.5	30.5	45.090908	37.81818	51.375	33.3125	32.599998
ACAD11 /// NPHP3	183.199997	96.0	256.333344	508.272736	112.125	136.199997	323.625	395.395447	199.666672	187.04744	339.5	202.01088	86.666664	279.75	121.0	202.166672	177.75	103.666664	148.600006	218.8125	113.583336
ACAD8	172.0	560.554871	779.25	244.333328	234.861298	182.363632	229.760986	359.875	20.875	612.166687	65.5	231.666672	155.25	387.75	328.642578	115.375	75.5	263.0	100.75	442.666656	258.0
ACAD9	253.666672	273.833344	275.0	429.0	212.875	270.431641	340.799988	210.555511	420.413757	480.667603	236.600006	211.25	152.75	412.799988	322.666656	238.875	192.0	347.911926	178.5	182.875	155.0
ACADL	28.59091	27.25	16.0	25.09091	13.75	14.25	39.75	13.0	12.333333	34.625	14.727273	15.0	13.4	49.0	19.0	19.0	31.0	15.6	13.0	80.199997	19.916666
ACADM	821.129578	2409.036865	1938.202515	798.609009	1244.0	550.666687	619.5	832.0	1348.492188	877.0	1622.333374	1735.451538	1223.924438	1475.833374	763.0	1362.0	451.166656	1011.0	433.083344	2406.016602	1085.353271
ACADS	81.333336	97.0	239.5	82.0	62.272728	91.199997	102.0	254.199997	88.666664	67.25	85.199997	80.5	119.729774	76.800003	74.833336	79.0	63.0	68.199997	192.5	151.916672	79.833336
ACADSB	80.443611	90.0	71.166664	122.166664	60.8125	49.875	115.666664	38.0	53.0	142.25	112.199997	63.833332	62.863636	126.230499	78.0	151.75	108.666664	54.666668	49.370182	264.799988	79.25
ACADVL	1543.901001	1258.726563	1722.0	2676.41626	1394.0	1668.827148	2278.0	1364.709961	1032.5	2293.838379	512.333313	1657.833374	978.404114	1792.050537	1316.412231	855.578918	648.5	1467.333374	2012.164063	1279.210083	1047.531494
ACAN	42.25	32.545456	55.333332	35.333332	35.333332	41.0	37.416668	62.727272	36.75	39.400002	37.333332	41.400002	42.0	35.666668	40.0	36.0	25.25	35.916668	57.200001	33.5	40.75
ACAP1	90.045456	51.5	52.5	59.666668	46.25	68.0	71.083336	67.75	77.5	53.5	79.5	48.25	416.322174	45.166668	59.166668	109.5	111.0	53.125	438.333344	45.0	49.375
ACAP2	182.666672	309.333344	488.547516	294.75	268.625	232.75	193.039856	550.168457	200.199997	458.553772	340.545441	237.247971	308.25	358.610687	315.0	325.416656	273.685669	401.333344	250.083328	339.666656	332.0
ACAP3	125.0	97.333336	47.375	946.75	151.875	202.75	72.25	52.666668	36.200001	893.667236	47.200001	91.875	107.333336	278.583344	153.826477	79.5	81.545456	229.25	108.36364	71.400002	61.333332
ACAT1	215.199997	343.833344	351.333344	237.600006	107.125	199.833328	239.0	176.0	130.666672	274.5	281.083344	289.875	289.774231	428.25	227.333328	251.333328	139.0	171.800003	139.75	623.484314	259.0
ACAT2	448.25	1050.965942	1615.333374	318.0	398.0	320.446075	172.125	527.0	94.0	439.638275	284.0	457.25	321.5	651.400024	460.250244	565.0	590.849854	683.0	138.25	853.424438	384.333344
ACBD3	642.157288	585.0	421.503204	364.666656	435.175812	450.666656	1009.5	331.657928	942.400024	434.75	1056.71875	580.276062	229.666672	570.200012	606.666687	824.673218	651.666687	532.780212	356.666656	549.666687	559.0
ACBD4	72.333336	60.583332	52.863636	92.545456	74.333336	64.666664	57.0	60.0	50.5	104.0625	58.272728	79.199997	101.0	79.25	66.666664	64.666664	40.0	65.916664	124.818184	66.666664	47.0
ACBD5	348.0	327.337585	167.399994	334.871796	275.200012	235.5	214.181824	128.199997	319.5	551.043823	457.5	211.666672	279.0	461.5	413.0	321.735779	397.666656	382.5495	278.799988	469.0	403.666656
ACBD6	261.200012	372.833344	338.685303	212.666672	287.0	231.416672	305.666656	302.875	476.0	284.916656	395.600006	245.5	345.5	227.030136	247.0	230.5	281.083344	212.375	202.688034	420.666656	314.666656
