CD56NK	CD4MemoryT	CD19B	CD14
V319	0.05801	0.04298	0.86599	0.03301
V320	0.07727	0.10209	0.68154	0.13911
V321	0.68003	0.31776	0.00221	0
V322	0.20299	0.2545	0.06198	0.48053
V323	0.04699	0.00243	0.08483	0.86575
V324	0.73128	0.2047	0.05178	0.01224
V325	0.34084	0.61373	0.04543	0
V326	0.00905	0.50979	0.08575	0.39542
V327	0.02306	0.08795	0.09634	0.79264
V328	0.04236	0.01428	0.7502	0.19316
V329	0.16406	0.06345	0.15342	0.61908
V330	0.39147	0	0.31792	0.29061
V331	0.33613	0.04453	0.03577	0.58357
V332	0.01414	0.01936	0.16835	0.79816
V333	0.45215	0.04429	0.38495	0.11861
V334	0.35368	0	0.34139	0.30493
V335	0.0289	0.28753	0.54305	0.14052
V336	0.19919	0.68075	0.01437	0.10569
V337	0.32004	0.36749	0.28969	0.02278
V338	0.02123	0.96462	0.01271	0.00144
V339	0.12962	0.01565	0.84554	0.00918
V340	0.05719	0.175	0.55066	0.21715
V341	0.02505	0.01351	0.06737	0.89408
V342	0.24634	0	0.61098	0.14268
V343	0.98902	0.00891	0	0.00207
V344	0.72833	0.1137	0.15796	0
V345	0.03359	0.03901	0.91983	0.00758
V346	0.23212	0.06798	0.27245	0.42746
V347	0.03851	0	0.1165	0.84499
V348	0.06845	0.63514	0.13549	0.16092
V349	0.37713	0.12056	0.39149	0.11082
V350	0.04425	0.79177	0.16398	0
V351	0.01631	0.00959	0.37207	0.60203
V352	0.04358	0.01602	0.858	0.0824
V353	0.922	0.00378	0.01931	0.05491
V354	0.057	0.68992	0.21971	0.03336
V355	0.28311	0.04477	0.46458	0.20754
V356	0.03114	0.00412	0.09406	0.87067
V357	0.11991	0.27363	0.28072	0.32574
V358	0.56122	0.059	0.03685	0.34293
V359	0.57744	0.02242	0.02323	0.37691
V360	0.60308	0.38165	0.01101	0.00426
V361	0.00764	0.42255	0.56656	0.00324
V362	0.02072	0.95907	0.01934	0.00087
V363	0.16979	0.07519	0.47776	0.27726
V364	0.15358	0.04004	0.70448	0.1019
V365	0.24251	0.00456	0.01817	0.73476
V366	0.09115	0.66317	0.0748	0.17088
V367	0.5892	0.08941	0	0.32139
V368	0.10188	0.72607	0.07501	0.09705
V369	0.02383	0.36832	0.60475	0.00309
V370	0.32673	0.23145	0.41734	0.02449
V371	0.21285	0.70454	0.02228	0.06033
V372	0.1465	0.01979	0.10614	0.72757
V373	0.07566	0.09061	0.47769	0.35604
V374	0.8073	0.00656	0.18614	0
V375	0.03704	0.01341	0.13102	0.81854
V376	0.03129	0.00833	0.09324	0.86714
V377	0.79111	0	0.00198	0.20691
V378	0.00925	0.01013	0.38114	0.59948
V379	0.33634	0.13461	0.00803	0.52102
V380	0.13753	0.03485	0.18055	0.64706
V381	0.76206	0	0.07138	0.16656
V382	0.08646	0.0285	0.87561	0.00943
V383	0.85757	0	0.03201	0.11042
V384	0.58361	0.03979	0.11357	0.26303
V385	0.89896	0	0.05452	0.04651
V386	0.28138	0	0.12564	0.59298
V387	0.64305	0.10228	0.17332	0.08135
V388	0.41652	0.27801	0.1357	0.16977
V389	0.4585	0.47838	0.00443	0.05869
V390	0.32137	0.21564	0.46187	0.00112
V391	0.41028	0.05847	0.01324	0.518
V392	0.46142	0.16778	0.15265	0.21815
V393	0.30455	0.17935	0.3539	0.1622
V394	0.0893	0.15893	0.10126	0.65051
V395	0.242	0.34577	0.19639	0.21584
V396	0.02559	0.94875	0.01024	0.01543
V397	0.83899	0.05044	0.08073	0.02984
V398	0.46166	0.0864	0.08114	0.3708
V399	0.21666	0.53052	0.14268	0.11015
V400	0.00903	0.52806	0.05844	0.40447
V401	0.03641	0.11597	0.76527	0.08235
V402	0.83577	0.13969	0.02454	0
V403	0.02541	0.00772	0.07461	0.89226
V404	0.0917	0.15091	0.65292	0.10447
V405	0.20413	0.00762	0.14821	0.64004
V406	0.69806	0.19641	0.00734	0.09819
V407	0.02123	0.96462	0.01271	0.00144
V408	0.09261	0.1889	0.40757	0.31091
V409	0.01999	0.0136	0.04355	0.92286
V410	0.10368	0.85694	0.02641	0.01297
V411	0.41428	0	0.00126	0.58446
V412	0.15244	0.0442	0.50416	0.2992
V413	0.06358	0.43811	0.17603	0.32229
V414	0.04197	0.47878	0.33956	0.13969
V415	0.44905	0.00921	0.21353	0.32821
V416	0.02703	0.07062	0.89667	0.00568
V417	0.41685	0.57999	0.00317	0
V418	0.06489	0.05649	0.12763	0.75099
V419	0.02506	0.00579	0.04855	0.9206
V420	0.01391	0.87855	0.01373	0.09381
V421	0.15149	0.02542	0.6992	0.1239
V422	0.04451	0.03272	0.02723	0.89553
V423	0.08105	0.01929	0.8752	0.02446
V424	0.00202	0.0283	0.61151	0.35816
V425	0.05907	0.19029	0.63374	0.1169
V426	0.08422	0.03015	0.81459	0.07104
V427	0.07191	0.33841	0.18557	0.4041
V428	0.10167	0.76641	0.04819	0.08373
V429	0.02415	0.00526	0.05441	0.91618
V430	0.80852	0.11864	0.00738	0.06546
V431	0.16985	0.01008	0.44175	0.37832
V432	0.09596	0.04896	0.04655	0.80853
V433	0.06805	0.69901	0	0.23294
V434	0.32276	0.03761	0.04329	0.59634
V435	0.50301	0	0.10334	0.39365
V436	0.36255	0	0.09854	0.53891
V437	0.22662	0.16341	0.004	0.60597
V438	0.64803	0.10839	0.02117	0.22241
V439	0.03433	0.06066	0.02457	0.88043
V440	0.47083	0.01121	0.02565	0.49232
V441	0.06615	0.0895	0.6175	0.22685
V442	0.34831	0.28859	0.12747	0.23562
V443	0.76471	0	0.07064	0.16465
V444	0.03359	0.03901	0.91983	0.00758
V445	0.64804	0.00615	0.3217	0.02411
V446	0.04746	0.82962	0.04983	0.07309
V447	0.68062	0.05914	0.1589	0.10135
V448	0.02148	0.03027	0.17643	0.77183
V449	0.59518	0.02004	0.28164	0.10314
V450	0.16675	0.81627	0.01698	0
V451	0.95643	0.02871	0	0.01486
V452	0.03317	0.00248	0.07443	0.88992
V453	0.86379	0.04144	0.04772	0.04705
V454	0.01567	0.93128	0.04634	0.00671
V455	0.63731	0.01518	0.28686	0.06065
V456	0.34616	0.08129	0.38849	0.18406
V457	0.0195	0.0202	0.03674	0.92356
V458	0.26384	0.16341	0.00316	0.56959
V459	0.02677	0.79013	0.08633	0.09677
V460	0.97729	0	0.01486	0.00785
V461	0.05435	0.0167	0.02837	0.90058
V462	0.35031	0.18329	0	0.4664
V463	0.28458	0.44203	0.15084	0.12255
V464	0.50604	0.0588	0.00032	0.43483
V465	0.44144	0.37966	0.01653	0.16237
V466	0.61209	0.13365	0	0.25426
V467	0.35296	0.54762	0.06856	0.03086
V468	0.55275	0.36005	0.03793	0.04927
V469	0.0194	0.11692	0.27438	0.58929
V470	0.59027	0.08284	0.16536	0.16153
V471	0.25365	0.05942	0.03103	0.65589
V472	0.33291	0.26867	0	0.39842
V473	0.11188	0.53027	0.34313	0.01473
V474	0.10062	0	0.09425	0.80512
V475	0.19548	0.33954	0.07014	0.39484
V476	0.14458	4e-05	0.05474	0.80064
V477	0.62928	0.01566	0.18749	0.16756
V478	0.14585	0.53907	0.00232	0.31276
V479	0.01768	0.0594	0.82997	0.09295
V480	0.08022	0.23685	0.04057	0.64236
V481	0.14662	0.01721	0.82119	0.01498
V482	0.75928	0.11707	0.09346	0.03019
V483	0.11705	0.06276	0.06639	0.75379
V484	0.0254	0.03901	0.03852	0.89706
V485	0.1367	0.7144	0.0086	0.1403
V486	0.2837	0.20576	0.11653	0.39402
V487	0.06411	0.01809	0.0809	0.83691
V488	0.00886	0.01359	0.86175	0.1158
V489	0.22091	0.07564	0.69187	0.01157
V490	0.36659	0.25556	0.05796	0.3199
V491	0.48948	0.42774	0.02374	0.05904
V492	0.04029	0.83556	0.12416	0
V493	0.03159	0.01191	0.0334	0.92309
V494	0.20189	0.11609	0.5435	0.13851
V495	0.25513	0.60242	0.12978	0.01267
V496	0.30206	0.65803	0	0.03991
V497	0.02653	0.02668	0.93376	0.01303
V498	0.30428	0.05977	0.04349	0.59246
V499	0.67138	0.22274	0.10587	0
V500	0.1006	0.09137	0.76811	0.03992
V501	0.01879	0.0077	0.05722	0.91629
V502	0.60794	0.23334	0.13745	0.02127
V503	0.18758	0.0568	0.18381	0.57182
V504	0.26	0.67237	0.00786	0.05977
V505	0.20353	0.16076	0.24804	0.38767
V506	0.09334	0.20391	0.47126	0.23149
V507	0.65445	0.06267	0.1032	0.17968
V508	0.81376	0.1205	0.0276	0.03814
V509	0.22847	0.0378	0.51309	0.22063
V510	0.25339	0.49321	0.2534	0
V511	0.051	0.34987	0.04043	0.55869
V512	0.22658	0.01814	0.07009	0.68519
V513	0.09092	0.63301	0.21109	0.06498
V514	0.02374	0.04093	0.02726	0.90808
V515	0.80977	0.03166	0.03329	0.12528
V516	0.93622	0.06234	0	0.00144
V517	0.03512	0.00668	0.23014	0.72806
V518	0.97557	0.02219	0	0.00224
V519	0.03824	0.85058	0.00634	0.10484
V520	0.02331	0.00057	0.60055	0.37557
V521	0.59948	0.02585	0.35059	0.02408
V522	0.00877	0.0863	0.58126	0.32367
V523	0.37076	0.0844	0.24982	0.29502
V524	0.01788	0.77294	0.18567	0.02351
V525	0.25227	0.14464	0.0221	0.58099
V526	0.67589	0.04471	0.05894	0.22046
V527	0.1946	0.00797	0.38377	0.41365
V528	0.11515	0.84273	0.00056	0.04156
V529	0.05249	0.02936	0.20349	0.71466
V530	0.00964	0.16083	0.71388	0.11565
V531	0.03709	0.85414	0.10877	0
V532	0.17356	0.2591	0.02276	0.54458
V533	0.30641	0.30111	0.12896	0.26352
V534	0.0082	0.00947	0.69954	0.28279
V535	0.52454	0	0.00703	0.46843
V536	0.17662	0	0.35115	0.47222
V537	0.64717	0.21309	0.13452	0.00521
V538	0.44998	0.02489	0.0724	0.45274
V539	0.2968	0.39326	0.14974	0.1602
V540	0.22602	0.67942	0.06348	0.03108
V541	0.0248	0.44493	0.05785	0.47242
V542	0.19282	0.08408	0.24084	0.48226
V543	0.89928	0	0.00194	0.09878
V544	0.09512	0.04864	0.15372	0.70253
V545	0.36357	0.095	0.0585	0.48293
V546	0.06073	0.87803	0.06124	0
V547	0.04655	0.63109	0.31558	0.00678
V548	0.17467	0.74968	0.07565	0
V549	0.33305	0.02384	0.63158	0.01152
V550	0.57304	0.00613	0	0.42082
V551	0.20081	0.71885	0.02983	0.0505
V552	0.01034	0.46189	0.00803	0.51975
V553	0.23805	0.11567	0.62748	0.01879
V554	0.04899	0.04871	0.03266	0.86964
V555	0.09164	0.17256	0.3321	0.4037
V556	0.01114	0.03003	0.92254	0.03629
