B_cells	NK_cells	T_cells_CD4.	Monocytes
V290	0.83773	0.153	0.00927	0
V291	0.50379	0.08295	0.39399	0.01927
V292	0.90314	0.00686	0	0.09
V293	0.32795	0.0394	0.59134	0.04131
V294	0.13725	0.38187	0	0.48088
V295	0.06122	0.22091	0.1798	0.53807
V296	0.21382	0.14832	0.5569	0.08096
V297	0.15982	0.00974	0.08405	0.7464
V298	0.32968	0.12413	0.53669	0.0095
V299	0.12486	0.30693	0	0.56822
V300	0.03624	0.07323	0.22344	0.6671
V301	0.16101	0.14381	0.59007	0.1051
V302	0.66164	0.30806	0	0.03031
V303	0.02851	0.58473	0.35894	0.02782
V304	0.09865	0.06388	0.69177	0.14571
V305	0.16033	0.19097	0.4274	0.2213
V306	0.79131	0.09504	0.04159	0.07207
V307	0.07345	0.87586	0.01549	0.03519
V308	0.26315	0.25007	0.27285	0.21394
V309	0.37143	0.32561	0.00706	0.2959
V310	0.12228	0.34647	0.1384	0.39285
V311	0.53808	0.44073	0	0.02119
V312	0.14511	0.69336	0.14061	0.02092
V313	0.03353	0.16007	0.01075	0.79565
V314	0.05207	0.5031	0.10004	0.34479
V315	0.16512	0.61344	0.02671	0.19473
V316	0.33709	0.15507	0.35581	0.15203
V317	0.13232	0.678	0.04092	0.14875
V318	0.08131	0.56854	0	0.35015
V319	0.09873	0.09902	0.76207	0.04017
V320	0.11649	0.17612	0.59416	0.11323
V321	0.66282	0.33689	3e-04	0
V322	0.23917	0.34316	0.05481	0.36286
V323	0.13122	0.05486	0.08176	0.73216
V324	0.66087	0.24353	0.06209	0.03352
V325	0.34108	0.59914	0.05384	0.00594
V326	0.02243	0.58236	0.08672	0.30849
V327	0.06945	0.19106	0.09052	0.64897
V328	0.08791	0.06486	0.69323	0.154
V329	0.22577	0.14338	0.15563	0.47523
V330	0.42158	0.02455	0.31196	0.24191
V331	0.39513	0.11123	0.02598	0.46766
V332	0.05996	0.09117	0.17126	0.67761
V333	0.44178	0.09089	0.35753	0.10981
V334	0.38956	0.02679	0.33269	0.25096
V335	0.06071	0.3525	0.47476	0.11203
