Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V273	0	0.02759	0.06263	0.19596	0.0778	0.56506	0.03396	0.01189	0.0251	0
V274	0.08223	0.01013	0.07209	0.03671	0	0.15053	0.05062	0.04311	0.01516	0.53941
V275	0	0.21234	0	0.00384	0.44002	0.05478	0.01211	0.00051	0.05536	0.22103
V276	0.01682	0.11194	0.1117	0.34622	0.0496	0.01037	0.12822	0.01781	0.1319	0.07542
V277	0.04991	0.22888	0.3788	0.2784	0.00814	0	0	0	0.05588	0
V278	0.12577	0	0.04853	0.01377	0	0	0.05121	0.00481	0	0.75592
V279	0.01277	0.17322	0.07868	0.24674	0.1855	0.02466	0.21292	0.00388	0.06163	0
V280	0.08779	0.02608	0.05039	0.06893	0.14091	0.23179	0.27448	0.07224	0.04739	0
V281	0	0.05606	0.02731	0.02134	0.03181	0.64834	0.07523	0.02089	0.02374	0.09527
V282	0.01937	0.01433	0.18394	0.67588	0.01698	0	0	0.02163	0.05945	0.00842
