Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V160	0.03365	0.71051	0.0114	0	0.24444	0	0	0	0	0
V161	0.00383	0.04092	1e-04	0.89144	0	0.03156	0.00683	0.0143	0.01103	0
V162	0	0.01201	0.0897	0	0.17472	0	0	0.00023	0	0.72334
V163	0.15958	0	0.81108	0	0	0.00408	0	0.02526	0	0
V164	0.07754	0	0.90694	0	0	0.01388	0.00164	0	0	0
V165	0.03206	0	0.40661	0	0.10989	0	0	0.01576	0	0.43568
V166	0.05275	0.11322	0.00136	0.65562	1e-05	0.02131	0.00983	0.09772	0.03291	0.01527
V167	0.92015	0	0	0	0	0	0	0	0.07985	0
V168	0.0707	0.01576	0	0.01345	0	0.25403	0.00122	0.47746	0.16067	0.00672
V169	0	0.01356	0.05221	0.20438	0.07598	0.19899	0.00632	0.02832	0	0.42025
V170	0.03179	0.04825	0.01163	0.01198	0	0	0.00333	0	0.89302	0
V171	0.02707	0.0121	0.25282	0.04559	0	0.42366	0.04568	0.07735	0.11572	0
V172	0	0.11511	0	0	0	0.28679	0.47567	0.04743	0.07499	0
V173	0.01257	0.09866	0.00682	0	0	0.1232	0.40801	0.03128	0.07087	0.24858
V174	0.02269	0.07097	0.23008	0.42145	0.14891	0.03266	0.00213	0.02466	0	0.04644
V175	0.90657	0	0.07219	0	0	0.00337	0.00719	0.01068	0	0
V176	0.17738	0	0	0	0	0.73524	0.03599	0.01267	0.03442	0.00429
V177	0.77915	0.00452	0	0.08557	0	0.00036	0	0.02427	0.00354	0.1026
V178	0.20204	0	0	0.0161	0.04836	0.65076	0.03282	0.01063	0	0.0393
V179	0.17415	0	0.01687	0	0.80898	0	0	0	0	0
V180	0.47998	0.11962	0	0.37235	0	0.01887	0.00297	0.00621	0	0
V181	0.06767	0.13524	0.68677	0	0.04292	0.01667	0.0505	0.00024	0	0
V182	0.02665	0	0.01155	0.04733	0.35776	0	0	0.55567	0.00104	0
V183	0.01619	0.18102	0	0.64916	0.00062	0.0468	0.09008	0.01614	0	0
V184	0.19288	0.00174	0	0.00228	0	0.61071	0.02378	0.05274	0	0.11587
V185	0.63652	0	0	0.18989	0	0	0	0.12072	0.05287	0
V186	0.8926	0.00192	0	0.07168	0	0.00865	0.00592	0.01621	0.00302	0
V187	0.82138	0	0.08048	0	0	0	0	0.0091	0.08016	0.00889
V188	0.09049	0.08219	0.02549	0.06101	0.72812	0.0021	0	0.0106	0	0
V189	0.92865	0	0	0.0345	0	0.01973	0	0.01498	0.00214	0
V190	0.02155	0.05361	0.01578	0.0046	0.05939	0.08491	0.00672	0	0.75343	0
V191	0.02637	0.01827	0.06556	0.40074	0.41684	0.01687	0.02309	0.03225	0	0
